placename,needs to be Xed,needs Xed,needs Xing,longitude,latitude
Welshpool,0.8973105,0.0048899756,0.09779951, -3.1464070,52.66035
Mold,0.8580046,0.0041763341,0.13781903, -3.1419030,53.16720
Mold,0.8580046,0.0041763341,0.13781903, -3.1419030,53.16720
Taunton,0.9705642,0.0024529845,0.02698283, -3.1068490,51.01534
Wick,0.9367397,0.0145985401,0.04866180, -3.0937160,58.43894
John o' Groats,0.9318735,0.0145985401,0.05352798, -3.0688997,58.63734
Dalkeith,0.8936266,0.0309694794,0.07540395, -3.0666060,55.89312
Oswestry,0.8770344,0.0036166365,0.11934901, -3.0564120,52.85715
Blackpool,0.8152130,0.0097001051,0.17508690, -3.0356748,53.81751
Birkenhead,0.8395586,0.0025466893,0.15789474, -3.0230090,53.38999
Cupar,0.9212121,0.0181818182,0.06060606, -3.0101370,56.32023
Southport,0.8121558,0.0115953232,0.17624891, -3.0101130,53.64571
Bridgwater,0.9571953,0.0012229923,0.04158174, -3.0036320,51.12789
Langholm,0.9129534,0.0062176166,0.08082902, -2.9989130,55.15306
Newport,0.9570312,0.0000000000,0.04296875, -2.9976640,51.58415
Axminster,0.9696691,0.0027573529,0.02757353, -2.9949370,50.78273
Wrexham,0.8586850,0.0029440628,0.13837095, -2.9924940,53.04304
Liverpool,0.8395263,0.0024499796,0.15802368, -2.9915726,53.40837
Weston-super-Mare,0.9543198,0.0000000000,0.04568024, -2.9772550,51.34741
Dundee,0.9171598,0.0177514793,0.06508876, -2.9707210,56.46202
Kirkwall,0.9318735,0.0145985401,0.05352798, -2.9622491,58.98467
Ambleside,0.8612919,0.0150225338,0.12368553, -2.9613330,54.42874
Orkney Islands,0.9318735,0.0145985401,0.05352798, -2.9605206,58.98094
Lyme Regis,0.9689850,0.0028195489,0.02819549, -2.9366390,50.72516
Carlisle,0.8672566,0.0132743363,0.11946903, -2.9329310,54.89247
Chester,0.8543809,0.0037021802,0.14191691, -2.8930750,53.19339
Forfar,0.9079755,0.0184049080,0.07361963, -2.8890620,56.64356
Morecambe,0.8334032,0.0150994044,0.15149736, -2.8649680,54.07417
Selkirk,0.8882766,0.0315631263,0.08016032, -2.8385240,55.55066
Galashiels,0.8868778,0.0316742081,0.08144796, -2.8144490,55.62373
Lancaster,0.8334032,0.0150994044,0.15149736, -2.8007399,54.04657
St Andrews,0.9052523,0.0185375901,0.07621009, -2.7967214,56.33978
Hawick,0.8939962,0.0337711069,0.07223265, -2.7809140,55.42706
Bridport,0.9677419,0.0035842294,0.02867384, -2.7583010,50.73358
Shrewsbury,0.8630528,0.0028530670,0.13409415, -2.7553268,52.70730
Penrith,0.8612778,0.0158842217,0.12283798, -2.7527080,54.66410
Kendal,0.8596166,0.0123685838,0.12801484, -2.7462900,54.32801
Street,0.9390519,0.0013544018,0.05959368, -2.7429190,51.12468
Glastonbury,0.9429988,0.0012391574,0.05576208, -2.7184540,51.14743
Hereford,0.9540816,0.0000000000,0.04591837, -2.7159740,52.05640
Ludlow,0.9388954,0.0000000000,0.06110458, -2.7139129,52.36775
Preston,0.8230820,0.0112686637,0.16564936, -2.7030900,53.76320
Whitchurch,0.8767123,0.0024174053,0.12087027, -2.6820450,52.96872
Wells,0.9426434,0.0012468828,0.05610973, -2.6445979,51.20935
Yeovil,0.9754386,0.0035087719,0.02105263, -2.6333080,50.94206
Wigan,0.8526987,0.0000000000,0.14730135, -2.6325074,53.54506
Warrington,0.8728653,0.0000000000,0.12713472, -2.5969501,53.39004
Arbroath,0.9074074,0.0185185185,0.07407407, -2.5915430,56.55911
Bristol,0.9307479,0.0000000000,0.06925208, -2.5879100,51.45451
Guernsey,0.9156010,0.0000000000,0.08439898, -2.5852780,49.46569
Ross-on-Wye,0.9537445,0.0000000000,0.04625551, -2.5824460,51.91445
Jedburgh,0.9028101,0.0380308472,0.05915910, -2.5549369,55.47772
Sedbergh,0.8524713,0.0074887668,0.14003994, -2.5281740,54.32363
Sedbergh,0.8524713,0.0074887668,0.14003994, -2.5281740,54.32363
Nantwich,0.8692372,0.0025146689,0.12824811, -2.5241020,53.06719
Banff,0.9316038,0.0141509434,0.05424528, -2.5240380,57.66651
Dunbar,0.8892554,0.0353440151,0.07540057, -2.5167370,56.00209
Cinderford,0.9418605,0.0000000000,0.05813953, -2.5009579,51.82530
Banchory,0.9064935,0.0155844156,0.07792208, -2.4909599,57.05386
Blackburn,0.7932548,0.0051621784,0.20158307, -2.4875290,53.74858
Market Drayton,0.8717056,0.0000000000,0.12829438, -2.4834850,52.90355
Telford,0.9053905,0.0044004400,0.09020902, -2.4672611,52.67759
Montrose,0.9111111,0.0098765432,0.07901235, -2.4661150,56.70692
Turriff,0.9292237,0.0136986301,0.05707763, -2.4623000,57.53893
Weymouth,0.9344262,0.0027322404,0.06284153, -2.4576210,50.61443
Crewe,0.8792487,0.0000000000,0.12075134, -2.4438209,53.10041
Fortuneswell,0.9354839,0.0026881720,0.06182796, -2.4422190,50.55919
Dorchester,0.9344262,0.0027322404,0.06284153, -2.4411810,50.71116
Alston,0.9098294,0.0097481722,0.08042242, -2.4386850,54.81217
Kelso,0.8945926,0.0297787862,0.07562866, -2.4322070,55.60003
Wincanton,0.9546926,0.0032362460,0.04207120, -2.4160070,51.05569
Clitheroe,0.7950246,0.0068783675,0.19809698, -2.3930830,53.87110
Sark,0.8805970,0.0000000000,0.11940299, -2.3666256,49.43007
Bath,0.9299720,0.0000000000,0.07002801, -2.3590167,51.38106
Kidderminster,0.9080695,0.0020429009,0.08988764, -2.2496839,52.38860
Manchester,0.8617036,0.0000000000,0.13829643, -2.2426305,53.48076
Burnley,0.8087713,0.0053267045,0.18590199, -2.2405035,53.78929
Gloucester,0.9536424,0.0000000000,0.04635762, -2.2381560,51.86424
Newcastle-under-Lyme,0.8472851,0.0000000000,0.15271493, -2.2273002,53.01321
Worcester,0.9313380,0.0000000000,0.06866197, -2.2215750,52.19364
Trowbridge,0.9271028,0.0000000000,0.07289720, -2.2088530,51.31966
Shaftesbury,0.9135802,0.0030864198,0.08333333, -2.1980830,51.00460
Alderney,0.9033233,0.0000000000,0.09667674, -2.1973557,49.71500
Stoke-on-Trent,0.8478016,0.0000000000,0.15219842, -2.1794040,53.00267
Colne,0.8448807,0.0000000000,0.15511932, -2.1769910,53.85564
Blandford Forum,0.9148936,0.0030395137,0.08206687, -2.1653530,50.85691
Rochdale,0.8590450,0.0016783686,0.13927662, -2.1561000,53.60971
Jersey,0.8912387,0.0000000000,0.10876133, -2.1312500,49.21444
Wolverhampton,0.9113514,0.0064864865,0.08216216, -2.1288200,52.58697
Stafford,0.8674157,0.0044943820,0.12808989, -2.1206600,52.80669
Macclesfield,0.8524845,0.0000000000,0.14751553, -2.1192870,53.25866
Hexham,0.9457426,0.0108514794,0.04340592, -2.1121439,54.97266
Aberdeen,0.9067358,0.0155440415,0.07772021, -2.0942780,57.14972
Dudley,0.9132156,0.0054811206,0.08130329, -2.0811120,52.51226
Cheltenham,0.9549763,0.0000000000,0.04502370, -2.0782533,51.89939
Bromsgrove,0.9263190,0.0018192844,0.07186173, -2.0619060,52.33559
Skipton,0.8642413,0.0000000000,0.13575865, -2.0162787,53.96285
Fraserburgh,0.9295455,0.0136363636,0.05681818, -2.0076310,57.69335
Berwick,0.8946448,0.0289841737,0.07637100, -2.0053950,55.77024
Poole,0.9231547,0.0000000000,0.07684530, -1.9872480,50.71505
Walsall,0.9143383,0.0055265582,0.08013509, -1.9829190,52.58621
Cirencester,0.9259259,0.0049382716,0.06913580, -1.9682430,51.71849
Evesham,0.9258751,0.0041180508,0.07000686, -1.9467700,52.09215
Buxton,0.8431818,0.0000000000,0.15681818, -1.9148300,53.25908
Keighley,0.8944606,0.0000000000,0.10553936, -1.9123580,53.86780
Birmingham,0.9098027,0.0056373317,0.08455997, -1.8904010,52.48624
Bournemouth,0.9170984,0.0000000000,0.08290155, -1.8807690,50.71916
Halifax,0.8888154,0.0000000000,0.11118465, -1.8575400,53.72702
Salisbury,0.8962231,0.0000000000,0.10377691, -1.7944720,51.06878
Ringwood,0.8998261,0.0000000000,0.10017391, -1.7888170,50.84495
Huddersfield,0.8757022,0.0000000000,0.12429775, -1.7850351,53.64579
Peterhead,0.9212598,0.0104986877,0.06824147, -1.7840660,57.50812
Swindon,0.9169550,0.0069204152,0.07612457, -1.7797176,51.55577
Bradford,0.8919548,0.0000000000,0.10804515, -1.7593980,53.79598
Ashbourne,0.8303078,0.0047355959,0.16495659, -1.7321790,53.01663
Marlborough,0.9044586,0.0063694268,0.08917197, -1.7270620,51.42007
Stratford-upon-Avon,0.9125683,0.0036429872,0.08378871, -1.7082980,52.19173
Alnwick,0.9578998,0.0082146769,0.03388554, -1.7062990,55.41274
Otley,0.8859734,0.0000000000,0.11402663, -1.6917860,53.90583
Bishop Auckland,0.9190476,0.0047619048,0.07619048, -1.6787880,54.66382
Burton upon Trent,0.8822335,0.0060913706,0.11167513, -1.6371359,52.81403
Newcastle,0.9494080,0.0107642626,0.03982777, -1.6177800,54.97825
Durham,0.9211045,0.0118343195,0.06706114, -1.5848520,54.77525
Ashington,0.9536178,0.0103071532,0.03607504, -1.5659829,55.18298
Darlington,0.9153846,0.0038461538,0.08076923, -1.5594580,54.52361
Leeds,0.8890116,0.0000000000,0.11098840, -1.5490774,53.80076
Harrogate,0.8915542,0.0000000000,0.10844578, -1.5418120,53.99212
Leamington Spa,0.9131514,0.0049627792,0.08188586, -1.5200789,52.28519
Coventry,0.9119300,0.0037476577,0.08432230, -1.5196930,52.40682
Blyth,0.9515564,0.0103071532,0.03813647, -1.5102770,55.12696
Wakefield,0.8861035,0.0000000000,0.11389646, -1.5059240,53.68330
Andover,0.9075801,0.0000000000,0.09241994, -1.4919233,51.21120
Witney,0.8933218,0.0104076323,0.09627060, -1.4850544,51.78594
Barnsley,0.8521127,0.0024855012,0.14540182, -1.4797260,53.55263
Derby,0.8706231,0.0035608309,0.12581602, -1.4746186,52.92253
Sheffield,0.8522876,0.0026143791,0.14509804, -1.4700850,53.38113
Nuneaton,0.9120000,0.0000000000,0.08800000, -1.4653820,52.52049
Northallerton,0.9078947,0.0043859649,0.08771930, -1.4299590,54.33796
South Shields,0.9451503,0.0111558723,0.04369383, -1.4274060,54.99942
Chesterfield,0.8472419,0.0028288543,0.14992928, -1.4216290,53.23505
Southampton,0.9257426,0.0000000000,0.07425743, -1.4043509,50.90970
Wetherby,0.8947069,0.0000000000,0.10529311, -1.3848160,53.92706
Sunderland,0.9488746,0.0115755627,0.03954984, -1.3838010,54.90687
Rotherham,0.8563969,0.0026109661,0.14099217, -1.3635009,53.43260
Castleford,0.8925319,0.0000000000,0.10746812, -1.3459680,53.72347
Thirsk,0.9019964,0.0000000000,0.09800363, -1.3413770,54.23385
Banbury,0.9205508,0.0127118644,0.06673729, -1.3397750,52.06290
Stockton,0.9229782,0.0038510911,0.07317073, -1.3289821,54.57046
Newbury,0.8943249,0.0058708415,0.09980431, -1.3231139,51.40141
Isle of Wight,0.9296247,0.0000000000,0.07037534, -1.3047340,50.69385
Isle of Wight,0.9296247,0.0000000000,0.07037534, -1.3047340,50.69385
Abingdon,0.8852459,0.0109289617,0.10382514, -1.2879529,51.67078
Shetland Islands,0.9367397,0.0145985401,0.04866180, -1.2659409,60.52965
Rugby,0.8991416,0.0042918455,0.09656652, -1.2650320,52.37088
Oxford,0.8674569,0.0129310345,0.11961207, -1.2577263,51.75202
Middlesbrough,0.9264392,0.0063965885,0.06716418, -1.2349560,54.57423
Hartlepool,0.9180242,0.0063058329,0.07566999, -1.2129260,54.69174
Loughborough,0.8894831,0.0000000000,0.11051693, -1.2061660,52.77210
Mansfield,0.8625954,0.0000000000,0.13740458, -1.1986740,53.14720
Nottingham,0.8631995,0.0000000000,0.13680045, -1.1581086,52.95478
Bicester,0.8746736,0.0104438642,0.11488251, -1.1535899,51.89960
Leicester,0.9140555,0.0000000000,0.08594449, -1.1397592,52.63688
Doncaster,0.8536269,0.0025906736,0.14378238, -1.1284620,53.52282
Worksop,0.8571429,0.0026702270,0.14018692, -1.1227450,53.30930
Basingstoke,0.9001009,0.0000000000,0.09989909, -1.0923964,51.26654
Portsmouth,0.9198081,0.0000000000,0.08019191, -1.0879769,50.81977
York,0.8969007,0.0000000000,0.10309930, -1.0872979,53.95997
Selby,0.8951049,0.0000000000,0.10489510, -1.0671890,53.78352
Helmsley,0.8935658,0.0000000000,0.10643416, -1.0562636,54.24651
Towcester,0.9072438,0.0132508834,0.07950530, -0.9896880,52.13511
Reading,0.8669778,0.0000000000,0.13302217, -0.9781303,51.45426
Retford,0.8409586,0.0000000000,0.15904139, -0.9455030,53.32136
