placename,aint,arent,ent,innit,int,isnt,longitude,latitude
Aberfeldy,0.08047059,0.0000000000,0.0000000000,0.10400000,0.0014117647,0.8141176, -3.8669690,56.62175
Machynlleth,0.08867700,0.0000000000,0.0000000000,0.08295590,0.0000000000,0.8283671, -3.8534850,52.59027
Brora,0.06623846,0.0000000000,0.0000000000,0.08550783,0.0072260136,0.8410277, -3.8525480,58.01216
Llandudno,0.05188199,0.0015259410,0.0000000000,0.13402848,0.0015259410,0.8110376, -3.8276090,53.32406
Llandudno,0.05188199,0.0015259410,0.0000000000,0.13402848,0.0015259410,0.8110376, -3.8276090,53.32406
Aviemore,0.07345361,0.0000000000,0.0000000000,0.10051546,0.0077319588,0.8182990, -3.8238120,57.19449
Dalbeattie,0.07811038,0.0037418148,0.0000000000,0.09027128,0.0324290614,0.7954475, -3.8225270,54.93422
Falkirk,0.12106643,0.0000000000,0.0026223776,0.10358392,0.0196678322,0.7530594, -3.7839131,56.00188
Kingsbridge,0.10451883,0.0000000000,0.0000000000,0.10669456,0.0000000000,0.7887866, -3.7774930,50.28395
Pitlochry,0.06675749,0.0000000000,0.0000000000,0.08900999,0.0013623978,0.8428701, -3.7297110,56.70436
Colwyn Bay,0.05159252,0.0015793630,0.0000000000,0.12924454,0.0015793630,0.8160042, -3.7276400,53.29318
Totnes,0.10430934,0.0000000000,0.0000000000,0.10648071,0.0000000000,0.7892100, -3.6857970,50.43374
Grantown-on-Spey,0.07219917,0.0000000000,0.0000000000,0.09336100,0.0074688797,0.8269710, -3.6096280,57.33041
Dumfries,0.08156780,0.0042372881,0.0000000000,0.08845339,0.0367231638,0.7890184, -3.6051200,55.07086
Whitehaven,0.08754321,0.0026764804,0.0000000000,0.07248801,0.0091446415,0.8281477, -3.5892330,54.54970
Dartmouth,0.10425710,0.0000000000,0.0000000000,0.10692821,0.0000000000,0.7888147, -3.5788070,50.35252
Bridgend,0.22464757,0.0000000000,0.0000000000,0.10732151,0.0000000000,0.6680309, -3.5769450,51.50429
Paignton,0.10320014,0.0000000000,0.0000000000,0.10641720,0.0010159160,0.7893667, -3.5642350,50.43508
Workington,0.08092137,0.0028943560,0.0000000000,0.07296189,0.0127834057,0.8304390, -3.5427520,54.64357
Llanidloes,0.09561167,0.0000000000,0.0000000000,0.09414072,0.0000000000,0.8102476, -3.5401950,52.44779
Exeter,0.07652303,0.0000000000,0.0000000000,0.09843982,0.0014858841,0.8235513, -3.5338990,50.71841
Torquay,0.08225214,0.0000000000,0.0000000000,0.10024480,0.0014687882,0.8160343, -3.5253150,50.46192
Thurso,0.06799205,0.0000000000,0.0000000000,0.07992048,0.0095427435,0.8425447, -3.5220800,58.59357
Livingston,0.11005484,0.0000000000,0.0021937843,0.12029250,0.0109689214,0.7564899, -3.5180680,55.90071
Rhyl,0.03793892,0.0000000000,0.0000000000,0.10776268,0.0028252388,0.8514732, -3.4916340,53.31914
Tiverton,0.07614318,0.0012414649,0.0012414649,0.10045520,0.0024829299,0.8184358, -3.4912070,50.90205
Tiverton,0.07614318,0.0012414649,0.0012414649,0.10045520,0.0024829299,0.8184358, -3.4912070,50.90205
Minehead,0.15006635,0.0023417376,0.0000000000,0.10857857,0.0000000000,0.7390133, -3.4811520,51.20428
Dunfermline,0.07443366,0.0005247966,0.0015743899,0.08764104,0.0049855681,0.8308405, -3.4521510,56.07174
Perth,0.06897851,0.0000000000,0.0000000000,0.09121749,0.0011307953,0.8386732, -3.4308381,56.39499
Prestatyn,0.04018012,0.0000000000,0.0000000000,0.10010391,0.0024246623,0.8572913, -3.4076130,53.33651
Builth Wells,0.24840764,0.0042462845,0.0000000000,0.07218684,0.0000000000,0.6751592, -3.4045920,52.15002
Braemar,0.08215548,0.0000000000,0.0000000000,0.09628975,0.0000000000,0.8215548, -3.3979439,57.00647
Brecon,0.26760563,0.0031298905,0.0000000000,0.09389671,0.0000000000,0.6353678, -3.3914630,51.94895
Merthyr Tydfil,0.26631854,0.0000000000,0.0000000000,0.08746736,0.0000000000,0.6462141, -3.3816460,51.74873
Llandrindod Wells,0.11384217,0.0025873221,0.0000000000,0.09120310,0.0000000000,0.7923674, -3.3777420,52.24170
Corwen,0.14187150,0.0000000000,0.0000000000,0.10435533,0.0000000000,0.7537732, -3.3692420,52.98005
Cockermouth,0.07776954,0.0029673591,0.0000000000,0.06960930,0.0131058358,0.8365480, -3.3679850,54.66326
Lockerbie,0.07227332,0.0039421813,0.0000000000,0.08015769,0.0213534823,0.8222733, -3.3490080,55.12224
Blairgowrie,0.06216328,0.0000000000,0.0000000000,0.08744302,0.0000000000,0.8503937, -3.3378318,56.58941
Elgin,0.07944097,0.0000000000,0.0000000000,0.08937109,0.0066200809,0.8245679, -3.3184850,57.64945
Newtown,0.10523897,0.0000000000,0.0000000000,0.10386029,0.0000000000,0.7909007, -3.3131060,52.51211
Ruthin,0.12157330,0.0000000000,0.0000000000,0.11799762,0.0000000000,0.7604291, -3.3103108,53.11487
