placename,needs to be Xed,needs Xed,needs Xing,longitude,latitude
Dundee,0.5492355,0.36146789,0.08929664, -2.9707210,56.46202
Kirkwall,0.6576485,0.24222503,0.10012642, -2.9622491,58.98467
Ambleside,0.4981571,0.22965693,0.27218599, -2.9613330,54.42874
Orkney Islands,0.6576485,0.24222503,0.10012642, -2.9605206,58.98094
Lyme Regis,0.7008892,0.14066289,0.15844786, -2.9366390,50.72516
Carlisle,0.4852136,0.31161008,0.20317634, -2.9329310,54.89247
Chester,0.5865685,0.11624275,0.29718876, -2.8930750,53.19339
Forfar,0.5574495,0.35795455,0.08459596, -2.8890620,56.64356
Morecambe,0.5681629,0.07567054,0.35616655, -2.8649680,54.07417
Selkirk,0.5710383,0.32786885,0.10109290, -2.8385240,55.55066
Galashiels,0.5694444,0.32777778,0.10277778, -2.8144490,55.62373
Lancaster,0.5715584,0.07549109,0.35295048, -2.8007399,54.04657
St Andrews,0.5358650,0.36889693,0.09523810, -2.7967214,56.33978
Hawick,0.5280066,0.33607908,0.13591433, -2.7809140,55.42706
Bridport,0.7089552,0.10696517,0.18407960, -2.7583010,50.73358
Shrewsbury,0.6467785,0.12529559,0.22792593, -2.7553268,52.70730
Penrith,0.4829412,0.28588235,0.23117647, -2.7527080,54.66410
Kendal,0.5336522,0.13836693,0.32798087, -2.7462900,54.32801
Street,0.7157111,0.14251675,0.14177215, -2.7429190,51.12468
Glastonbury,0.7107080,0.14011101,0.14918099, -2.7184540,51.14743
Hereford,0.7051916,0.12237330,0.17243511, -2.7159740,52.05640
Ludlow,0.6858352,0.10853871,0.20562609, -2.7139129,52.36775
Preston,0.5719913,0.06643542,0.36157328, -2.7030900,53.76320
Whitchurch,0.6400804,0.09941912,0.26050045, -2.6820450,52.96872
Wells,0.7083047,0.13877831,0.15291695, -2.6445979,51.20935
Yeovil,0.7237852,0.10741688,0.16879795, -2.6333080,50.94206
Wigan,0.5333498,0.07238142,0.39426877, -2.6325074,53.54506
Warrington,0.5319480,0.08020975,0.38784230, -2.5969501,53.39004
Arbroath,0.5658475,0.34215501,0.09199748, -2.5915430,56.55911
Bristol,0.7043118,0.13948136,0.15620684, -2.5879100,51.45451
Guernsey,0.7369668,0.08957346,0.17345972, -2.5852780,49.46569
Ross-on-Wye,0.7231280,0.09541063,0.18146135, -2.5824460,51.91445
Jedburgh,0.5433255,0.33372365,0.12295082, -2.5549369,55.47772
Sedbergh,0.5451289,0.14684814,0.30802292, -2.5281740,54.32363
Sedbergh,0.5451289,0.14684814,0.30802292, -2.5281740,54.32363
Nantwich,0.5483570,0.08719193,0.36445108, -2.5241020,53.06719
Banff,0.6652140,0.23942579,0.09536016, -2.5240380,57.66651
Dunbar,0.6130120,0.28771084,0.09927711, -2.5167370,56.00209
Cinderford,0.7270756,0.09045849,0.18246592, -2.5009579,51.82530
Banchory,0.6575307,0.23910206,0.10336727, -2.4909599,57.05386
Blackburn,0.5486823,0.06100176,0.39031597, -2.4875290,53.74858
Market Drayton,0.5718911,0.07808037,0.35002857, -2.4834850,52.90355
Telford,0.6651390,0.10771753,0.22714348, -2.4672611,52.67759
Montrose,0.6208628,0.27961653,0.09952066, -2.4661150,56.70692
Turriff,0.6626568,0.24520092,0.09214231, -2.4623000,57.53893
Weymouth,0.7506812,0.09809264,0.15122616, -2.4576210,50.61443
Crewe,0.5092038,0.08197774,0.40881849, -2.4438209,53.10041
Fortuneswell,0.7476636,0.09612817,0.15620828, -2.4422190,50.55919
Dorchester,0.7253012,0.11746988,0.15722892, -2.4411810,50.71116
Alston,0.4370277,0.27581864,0.28715365, -2.4386850,54.81217
Kelso,0.5657895,0.31220096,0.12200957, -2.4322070,55.60003
Wincanton,0.6831683,0.11287129,0.20396040, -2.4160070,51.05569
Clitheroe,0.5467292,0.05965431,0.39361648, -2.3930830,53.87110
Sark,0.7439670,0.08475574,0.17127722, -2.3666256,49.43007
Bath,0.6983814,0.14313863,0.15847994, -2.3590167,51.38106
Kidderminster,0.6555635,0.14202636,0.20241018, -2.2496839,52.38860
Manchester,0.6153491,0.08305032,0.30160053, -2.2426305,53.48076
Burnley,0.5484595,0.06486217,0.38667831, -2.2405035,53.78929
Gloucester,0.7248062,0.10316041,0.17203339, -2.2381560,51.86424
Newcastle-under-Lyme,0.5419492,0.07584746,0.38220339, -2.2273002,53.01321
Worcester,0.6849817,0.13333333,0.18168498, -2.2215750,52.19364
Trowbridge,0.7010801,0.14013186,0.15878805, -2.2088530,51.31966
Shaftesbury,0.7312883,0.10306748,0.16564417, -2.1980830,51.00460
Alderney,0.7435604,0.10417859,0.15226102, -2.1973557,49.71500
Stoke-on-Trent,0.5436387,0.07511941,0.38124186, -2.1794040,53.00267
Colne,0.5372556,0.06574511,0.39699933, -2.1769910,53.85564
Blandford Forum,0.7519473,0.10065908,0.14739365, -2.1653530,50.85691
Rochdale,0.6051036,0.08113002,0.31376638, -2.1561000,53.60971
Jersey,0.7521174,0.09599097,0.15189159, -2.1312500,49.21444
Wolverhampton,0.6411237,0.11962544,0.23925088, -2.1288200,52.58697
Stafford,0.5657036,0.08900494,0.34529148, -2.1206600,52.80669
Macclesfield,0.5995851,0.06431535,0.33609959, -2.1192870,53.25866
Hexham,0.5034785,0.27571083,0.22081065, -2.1121439,54.97266
Aberdeen,0.6679438,0.23397190,0.09808429, -2.0942780,57.14972
Dudley,0.6836272,0.13823197,0.17814088, -2.0811120,52.51226
Cheltenham,0.7308620,0.10066305,0.16847498, -2.0782533,51.89939
Bromsgrove,0.6883747,0.14077872,0.17084661, -2.0619060,52.33559
Skipton,0.5050976,0.08039615,0.41450626, -2.0162787,53.96285
Fraserburgh,0.6646325,0.24621916,0.08914832, -2.0076310,57.69335
Berwick,0.5185857,0.30734361,0.17407072, -2.0053950,55.77024
Poole,0.7485007,0.10719640,0.14430285, -1.9872480,50.71505
Walsall,0.6866084,0.13383352,0.17955806, -1.9829190,52.58621
Cirencester,0.7118857,0.12437312,0.16374122, -1.9682430,51.71849
Evesham,0.7117421,0.12752647,0.16073147, -1.9467700,52.09215
Buxton,0.5679513,0.06085193,0.37119675, -1.9148300,53.25908
Keighley,0.5123399,0.07497657,0.41268354, -1.9123580,53.86780
Birmingham,0.6967475,0.12782654,0.17542592, -1.8904010,52.48624
Bournemouth,0.7468973,0.10567883,0.14742384, -1.8807690,50.71916
Halifax,0.4595078,0.06845638,0.47203579, -1.8575400,53.72702
Salisbury,0.7094188,0.11503006,0.17555110, -1.7944720,51.06878
Ringwood,0.7413578,0.10995419,0.14868805, -1.7888170,50.84495
Huddersfield,0.4544834,0.06304051,0.48247610, -1.7850351,53.64579
Peterhead,0.6860944,0.21887868,0.09502692, -1.7840660,57.50812
Swindon,0.6636616,0.16019417,0.17614424, -1.7797176,51.55577
Bradford,0.5277892,0.06952420,0.40268663, -1.7593980,53.79598
Ashbourne,0.5614859,0.05721605,0.38129804, -1.7321790,53.01663
Marlborough,0.7109589,0.14383562,0.14520548, -1.7270620,51.42007
Stratford-upon-Avon,0.6870809,0.10952168,0.20339741, -1.7082980,52.19173
Alnwick,0.5120602,0.28504540,0.20289444, -1.7062990,55.41274
Otley,0.5522796,0.07173252,0.37598784, -1.6917860,53.90583
Bishop Auckland,0.4574713,0.10000000,0.44252874, -1.6787880,54.66382
Burton upon Trent,0.6145890,0.06859009,0.31682090, -1.6371359,52.81403
Newcastle,0.4980905,0.28951234,0.21239718, -1.6177800,54.97825
Durham,0.4260355,0.13346483,0.44049967, -1.5848520,54.77525
Ashington,0.4969622,0.29480806,0.20822977, -1.5659829,55.18298
Darlington,0.4284452,0.06802120,0.50353357, -1.5594580,54.52361
Leeds,0.5204626,0.06642942,0.41310795, -1.5490774,53.80076
Harrogate,0.5647345,0.06854242,0.36672308, -1.5418120,53.99212
Leamington Spa,0.6998734,0.09497678,0.20514985, -1.5200789,52.28519
Coventry,0.6845504,0.09703593,0.21841364, -1.5196930,52.40682
Blyth,0.5012315,0.29269294,0.20607553, -1.5102770,55.12696
Wakefield,0.4897009,0.05882353,0.45147554, -1.5059240,53.68330
Andover,0.7226453,0.10901804,0.16833667, -1.4919233,51.21120
Witney,0.7099402,0.13525258,0.15480717, -1.4850544,51.78594
Barnsley,0.3478996,0.06132303,0.59077740, -1.4797260,53.55263
Derby,0.5793651,0.05612245,0.36451247, -1.4746186,52.92253
Sheffield,0.4388941,0.05110483,0.51000105, -1.4700850,53.38113
Nuneaton,0.6684680,0.09348825,0.23804377, -1.4653820,52.52049
Northallerton,0.4723214,0.07232143,0.45535714, -1.4299590,54.33796
South Shields,0.5014955,0.25722832,0.24127617, -1.4274060,54.99942
Chesterfield,0.4787098,0.04292841,0.47836176, -1.4216290,53.23505
Southampton,0.7197279,0.11462585,0.16564626, -1.4043509,50.90970
Wetherby,0.5631445,0.07473276,0.36212279, -1.3848160,53.92706
Sunderland,0.4947735,0.25087108,0.25435540, -1.3838010,54.90687
Rotherham,0.4341262,0.05017921,0.51569458, -1.3635009,53.43260
Castleford,0.5290075,0.06919851,0.40179404, -1.3459680,53.72347
Thirsk,0.5499896,0.06568281,0.38432758, -1.3413770,54.23385
Banbury,0.6873239,0.11830986,0.19436620, -1.3397750,52.06290
Stockton,0.4144345,0.06324405,0.52232143, -1.3289821,54.57046
Newbury,0.7327874,0.11586291,0.15134971, -1.3231139,51.40141
Isle of Wight,0.7332809,0.11526357,0.15145555, -1.3047340,50.69385
Isle of Wight,0.7332809,0.11526357,0.15145555, -1.3047340,50.69385
Abingdon,0.7407602,0.11428571,0.14495413, -1.2879529,51.67078
Shetland Islands,0.6556592,0.24149231,0.10284850, -1.2659409,60.52965
Rugby,0.6791597,0.10026259,0.22057770, -1.2650320,52.37088
Oxford,0.7444795,0.11356467,0.14195584, -1.2577263,51.75202
Middlesbrough,0.4344774,0.06318253,0.50234009, -1.2349560,54.57423
Hartlepool,0.4274519,0.08128079,0.49126735, -1.2129260,54.69174
Loughborough,0.6520693,0.09239654,0.25553417, -1.2061660,52.77210
Mansfield,0.4559367,0.05277045,0.49129288, -1.1986740,53.14720
Nottingham,0.5674467,0.07639367,0.35615967, -1.1581086,52.95478
Bicester,0.7469512,0.10594512,0.14710366, -1.1535899,51.89960
Leicester,0.6440191,0.09043062,0.26555024, -1.1397592,52.63688
Doncaster,0.3745432,0.07612667,0.54933009, -1.1284620,53.52282
Worksop,0.4500861,0.06196213,0.48795181, -1.1227450,53.30930
Basingstoke,0.7459893,0.11818182,0.13582888, -1.0923964,51.26654
Portsmouth,0.7311375,0.12255841,0.14630410, -1.0879769,50.81977
York,0.5526609,0.07971499,0.36762414, -1.0872979,53.95997
Selby,0.4943705,0.08393040,0.42169908, -1.0671890,53.78352
Helmsley,0.5211268,0.08702213,0.39185111, -1.0562636,54.24651
Towcester,0.6769808,0.09282700,0.23019222, -0.9896880,52.13511
Reading,0.7572700,0.10801187,0.13471810, -0.9781303,51.45426
Retford,0.4121232,0.06927518,0.51860167, -0.9455030,53.32136
Petersfield,0.7042983,0.11600207,0.17969964, -0.9389900,51.00759
Northampton,0.6775813,0.09058317,0.23183556, -0.9026560,52.24048
Melton Mowbray,0.6591793,0.08812095,0.25269978, -0.8871260,52.76640
Aylesbury,0.7245851,0.10684647,0.16856846, -0.8084000,51.81561
Newark-on-Trent,0.5716809,0.07948190,0.34883721, -0.8065700,53.07004
Malton,0.5387870,0.07005172,0.39116126, -0.7978970,54.13684
Chichester,0.7014463,0.14566116,0.15289256, -0.7749360,50.83761
