placename,control,doubled,longitude,latitude
Jedburgh,0.9888889,0.0111111111, -2.5549369,55.47772
Sedbergh,0.9816607,0.0183392766, -2.5281740,54.32363
Sedbergh,0.9816607,0.0183392766, -2.5281740,54.32363
Nantwich,0.9814471,0.0185528757, -2.5241020,53.06719
Banff,0.9860753,0.0139247035, -2.5240380,57.66651
Dunbar,0.9904853,0.0095147479, -2.5167370,56.00209
Cinderford,0.9892665,0.0107334526, -2.5009579,51.82530
Banchory,0.9846999,0.0153001177, -2.4909599,57.05386
Blackburn,0.9911602,0.0088397790, -2.4875290,53.74858
Market Drayton,0.9841986,0.0158014287, -2.4834850,52.90355
Telford,0.9864264,0.0135735925, -2.4672611,52.67759
Montrose,0.9825243,0.0174757282, -2.4661150,56.70692
Turriff,0.9860753,0.0139247035, -2.4623000,57.53893
Weymouth,0.9791395,0.0208604954, -2.4576210,50.61443
Crewe,0.9775869,0.0224131490, -2.4438209,53.10041
Fortuneswell,0.9795396,0.0204603581, -2.4422190,50.55919
Dorchester,0.9791938,0.0208062419, -2.4411810,50.71116
Alston,0.9893805,0.0106194690, -2.4386850,54.81217
Kelso,0.9887006,0.0112994350, -2.4322070,55.60003
Wincanton,0.9855335,0.0144665461, -2.4160070,51.05569
Clitheroe,0.9899160,0.0100840336, -2.3930830,53.87110
Sark,0.9812793,0.0187207488, -2.3666256,49.43007
Bath,0.9866100,0.0133900106, -2.3590167,51.38106
Kidderminster,0.9888797,0.0111202636, -2.2496839,52.38860
Manchester,0.9794478,0.0205522435, -2.2426305,53.48076
Burnley,0.9765013,0.0234986945, -2.2405035,53.78929
Gloucester,0.9825347,0.0174652933, -2.2381560,51.86424
Newcastle-under-Lyme,0.9817629,0.0182370821, -2.2273002,53.01321
Worcester,0.9804502,0.0195497630, -2.2215750,52.19364
Trowbridge,0.9879215,0.0120785103, -2.2088530,51.31966
Shaftesbury,0.9780220,0.0219780220, -2.1980830,51.00460
Alderney,0.9823465,0.0176535491, -2.1973557,49.71500
Stoke-on-Trent,0.9815100,0.0184899846, -2.1794040,53.00267
Colne,0.9743746,0.0256253813, -2.1769910,53.85564
Blandford Forum,0.9831054,0.0168946098, -2.1653530,50.85691
Rochdale,0.9770564,0.0229436039, -2.1561000,53.60971
Jersey,0.9848866,0.0151133501, -2.1312500,49.21444
Wolverhampton,0.9827218,0.0172781570, -2.1288200,52.58697
Stafford,0.9774021,0.0225979243, -2.1206600,52.80669
Macclesfield,0.9878111,0.0121889284, -2.1192870,53.25866
Hexham,0.9747424,0.0252576024, -2.1121439,54.97266
Aberdeen,0.9829157,0.0170842825, -2.0942780,57.14972
Dudley,0.9853165,0.0146834631, -2.0811120,52.51226
Cheltenham,0.9803493,0.0196506550, -2.0782533,51.89939
Bromsgrove,0.9902729,0.0097271008, -2.0619060,52.33559
Skipton,0.9619737,0.0380262562, -2.0162787,53.96285
Fraserburgh,0.9863291,0.0136708861, -2.0076310,57.69335
Berwick,0.9893674,0.0106326422, -2.0053950,55.77024
Poole,0.9850622,0.0149377593, -1.9872480,50.71505
Walsall,0.9848585,0.0151414860, -1.9829190,52.58621
Cirencester,0.9799843,0.0200156986, -1.9682430,51.71849
Evesham,0.9843206,0.0156794425, -1.9467700,52.09215
Buxton,0.9892031,0.0107969152, -1.9148300,53.25908
Keighley,0.9632653,0.0367346939, -1.9123580,53.86780
Birmingham,0.9857704,0.0142296005, -1.8904010,52.48624
Bournemouth,0.9834123,0.0165876777, -1.8807690,50.71916
