placename,preposition_drop_determiner,preposition_drop_no_determiner,preposition_retained,longitude,latitude
Totnes,0.010008579,0.214612525,0.7753789, -3.6857970,50.43374
Grantown-on-Spey,0.008866201,0.011821601,0.9793122, -3.6096280,57.33041
Dumfries,0.059433310,0.058742225,0.8818245, -3.6051200,55.07086
Whitehaven,0.063623293,0.075305536,0.8610712, -3.5892330,54.54970
Dartmouth,0.010000000,0.213571429,0.7764286, -3.5788070,50.35252
Bridgend,0.034682081,0.052023121,0.9132948, -3.5769450,51.50429
Paignton,0.010017172,0.213938180,0.7760446, -3.5642350,50.43508
Workington,0.067182410,0.077768730,0.8550489, -3.5427520,54.64357
Llanidloes,0.035847647,0.055638536,0.9085138, -3.5401950,52.44779
Exeter,0.012136698,0.157777068,0.8300862, -3.5338990,50.71841
Torquay,0.010000000,0.211857143,0.7781429, -3.5253150,50.46192
Thurso,0.008052709,0.016105417,0.9758419, -3.5220800,58.59357
Livingston,0.021940928,0.013502110,0.9645570, -3.5180680,55.90071
Rhyl,0.453354718,0.059743384,0.4869019, -3.4916340,53.31914
Tiverton,0.011674450,0.153769179,0.8345564, -3.4912070,50.90205
Tiverton,0.011674450,0.153769179,0.8345564, -3.4912070,50.90205
Minehead,0.021084416,0.110823333,0.8680923, -3.4811520,51.20428
Dunfermline,0.017276841,0.022213081,0.9605101, -3.4521510,56.07174
Perth,0.013201320,0.021452145,0.9653465, -3.4308381,56.39499
Prestatyn,0.537933051,0.049517614,0.4125493, -3.4076130,53.33651
Builth Wells,0.033259424,0.055432373,0.9113082, -3.4045920,52.15002
Braemar,0.016544118,0.018612132,0.9648438, -3.3979439,57.00647
Brecon,0.032098765,0.076543210,0.8913580, -3.3914630,51.94895
Merthyr Tydfil,0.036093418,0.082802548,0.8811040, -3.3816460,51.74873
Llandrindod Wells,0.027303754,0.056029579,0.9166667, -3.3777420,52.24170
Corwen,0.236842105,0.034829721,0.7283282, -3.3692420,52.98005
Cockermouth,0.065346535,0.077425743,0.8572277, -3.3679850,54.66326
Lockerbie,0.057952350,0.061815840,0.8802318, -3.3490080,55.12224
Blairgowrie,0.016359918,0.019427403,0.9642127, -3.3378318,56.58941
Elgin,0.005884713,0.013240605,0.9808747, -3.3184850,57.64945
Newtown,0.040061633,0.078325629,0.8816127, -3.3131060,52.51211
Ruthin,0.322811060,0.053456221,0.6237327, -3.3103108,53.11487
Ruthin,0.322811060,0.053456221,0.6237327, -3.3103108,53.11487
Sidmouth,0.012628256,0.172454617,0.8149171, -3.2375600,50.67865
Barrow-in-Furness,0.051950198,0.179869987,0.7681798, -3.2188940,54.10897
Peebles,0.011202987,0.024006402,0.9647906, -3.1936420,55.65307
Edinburgh,0.015553385,0.029754302,0.9546923, -3.1882670,55.95325
Cardiff,0.020940865,0.079614068,0.8994451, -3.1790900,51.48158
Llangollen,0.297160731,0.038498556,0.6643407, -3.1716600,52.96921
Kirkcaldy,0.016891474,0.025615642,0.9574929, -3.1581370,56.11682
Welshpool,0.092921017,0.070440126,0.8366389, -3.1464070,52.66035
Mold,0.398960014,0.047247624,0.5537924, -3.1419030,53.16720
Mold,0.398960014,0.047247624,0.5537924, -3.1419030,53.16720
Taunton,0.008530344,0.156958323,0.8345113, -3.1068490,51.01534
Wick,0.008052709,0.017447535,0.9744998, -3.0937160,58.43894
John o' Groats,0.008052709,0.017447535,0.9744998, -3.0688997,58.63734
Dalkeith,0.014738115,0.029022750,0.9562391, -3.0666060,55.89312
Oswestry,0.216254560,0.064045399,0.7197000, -3.0564120,52.85715
Blackpool,0.088076965,0.182250568,0.7296725, -3.0356748,53.81751
Birkenhead,0.538314555,0.051525334,0.4101601, -3.0230090,53.38999
Cupar,0.015735641,0.019669552,0.9645948, -3.0101370,56.32023
Southport,0.190488604,0.203523015,0.6059884, -3.0101130,53.64571
Bridgwater,0.012891344,0.146101903,0.8410068, -3.0036320,51.12789
Langholm,0.049807653,0.066410204,0.8837821, -2.9989130,55.15306
Newport,0.013371151,0.087520259,0.8991086, -2.9976640,51.58415
Axminster,0.015198411,0.161685222,0.8231164, -2.9949370,50.78273
Wrexham,0.353537580,0.038241128,0.6082213, -2.9924940,53.04304
Liverpool,0.542911802,0.051586516,0.4055017, -2.9915726,53.40837
Weston-super-Mare,0.018740179,0.096497634,0.8847622, -2.9772550,51.34741
Dundee,0.016423358,0.020072993,0.9635036, -2.9707210,56.46202
Kirkwall,0.008052709,0.017447535,0.9744998, -2.9622491,58.98467
Ambleside,0.076287545,0.093236044,0.8304764, -2.9613330,54.42874
Orkney Islands,0.008052709,0.017447535,0.9744998, -2.9605206,58.98094
Lyme Regis,0.024677318,0.152442145,0.8228805, -2.9366390,50.72516
Carlisle,0.063696919,0.082014988,0.8542881, -2.9329310,54.89247
Chester,0.412595156,0.061937716,0.5254671, -2.8930750,53.19339
Forfar,0.015223597,0.019029496,0.9657469, -2.8890620,56.64356
Morecambe,0.051420918,0.177469136,0.7711099, -2.8649680,54.07417
Selkirk,0.008693552,0.021733881,0.9695726, -2.8385240,55.55066
Galashiels,0.015492852,0.028740364,0.9557668, -2.8144490,55.62373
Lancaster,0.058124673,0.164274489,0.7776008, -2.8007399,54.04657
St Andrews,0.016274864,0.021699819,0.9620253, -2.7967214,56.33978
Hawick,0.010727969,0.036781609,0.9524904, -2.7809140,55.42706
Bridport,0.035476864,0.136378595,0.8281445, -2.7583010,50.73358
Shrewsbury,0.042467469,0.083301573,0.8742310, -2.7553268,52.70730
Penrith,0.061370124,0.091579448,0.8470504, -2.7527080,54.66410
Kendal,0.052081646,0.093552568,0.8543658, -2.7462900,54.32801
Street,0.011305953,0.140516844,0.8481772, -2.7429190,51.12468
Glastonbury,0.009239704,0.129355861,0.8614044, -2.7184540,51.14743
Hereford,0.009538129,0.095545741,0.8949161, -2.7159740,52.05640
Ludlow,0.029849705,0.093619529,0.8765308, -2.7139129,52.36775
Preston,0.104745244,0.167911031,0.7273437, -2.7030900,53.76320
Whitchurch,0.282918528,0.076437637,0.6406438, -2.6820450,52.96872
Wells,0.016728625,0.109665428,0.8736059, -2.6445979,51.20935
Yeovil,0.018647541,0.130532787,0.8508197, -2.6333080,50.94206
Wigan,0.232591250,0.179653119,0.5877556, -2.6325074,53.54506
Warrington,0.449108241,0.093173432,0.4577183, -2.5969501,53.39004
Arbroath,0.014746544,0.021198157,0.9640553, -2.5915430,56.55911
Bristol,0.019147817,0.118896487,0.8619557, -2.5879100,51.45451
Guernsey,0.023206251,0.175230879,0.8015629, -2.5852780,49.46569
Ross-on-Wye,0.013911620,0.099509002,0.8865794, -2.5824460,51.91445
Jedburgh,0.004981320,0.029887920,0.9651308, -2.5549369,55.47772
Sedbergh,0.046430856,0.092313317,0.8612558, -2.5281740,54.32363
Sedbergh,0.046430856,0.092313317,0.8612558, -2.5281740,54.32363
Nantwich,0.384463955,0.111618568,0.5039175, -2.5241020,53.06719
