placename,after_perfective,after_perfective_with_modifier,control,longitude,latitude
Macclesfield,0.0000000000,0.0000000000,1.0000000, -2.1192870,53.25866
Hexham,0.0030988179,0.0000000000,0.9969012, -2.1121439,54.97266
Aberdeen,0.0059635704,0.0005185713,0.9935179, -2.0942780,57.14972
Dudley,0.0000000000,0.0000000000,1.0000000, -2.0811120,52.51226
Cheltenham,0.0000000000,0.0000000000,1.0000000, -2.0782533,51.89939
Bromsgrove,0.0000000000,0.0000000000,1.0000000, -2.0619060,52.33559
Skipton,0.0000000000,0.0000000000,1.0000000, -2.0162787,53.96285
Fraserburgh,0.0060706038,0.0005278786,0.9934015, -2.0076310,57.69335
Berwick,0.0044933723,0.0000000000,0.9955066, -2.0053950,55.77024
Poole,0.0000000000,0.0000000000,1.0000000, -1.9872480,50.71505
Walsall,0.0000000000,0.0000000000,1.0000000, -1.9829190,52.58621
Cirencester,0.0000000000,0.0000000000,1.0000000, -1.9682430,51.71849
Evesham,0.0000000000,0.0000000000,1.0000000, -1.9467700,52.09215
Buxton,0.0000000000,0.0000000000,1.0000000, -1.9148300,53.25908
Keighley,0.0000000000,0.0000000000,1.0000000, -1.9123580,53.86780
Birmingham,0.0000000000,0.0000000000,1.0000000, -1.8904010,52.48624
Bournemouth,0.0000000000,0.0000000000,1.0000000, -1.8807690,50.71916
Halifax,0.0000000000,0.0000000000,1.0000000, -1.8575400,53.72702
Salisbury,0.0000000000,0.0000000000,1.0000000, -1.7944720,51.06878
Ringwood,0.0000000000,0.0000000000,1.0000000, -1.7888170,50.84495
Huddersfield,0.0000000000,0.0000000000,1.0000000, -1.7850351,53.64579
Peterhead,0.0060786257,0.0005285761,0.9933928, -1.7840660,57.50812
Swindon,0.0000000000,0.0000000000,1.0000000, -1.7797176,51.55577
Bradford,0.0000000000,0.0000000000,1.0000000, -1.7593980,53.79598
Ashbourne,0.0000000000,0.0000000000,1.0000000, -1.7321790,53.01663
Marlborough,0.0000000000,0.0000000000,1.0000000, -1.7270620,51.42007
Stratford-upon-Avon,0.0000000000,0.0000000000,1.0000000, -1.7082980,52.19173
Alnwick,0.0036842282,0.0003349298,0.9959808, -1.7062990,55.41274
Otley,0.0000000000,0.0000000000,1.0000000, -1.6917860,53.90583
Bishop Auckland,0.0048836074,0.0004883607,0.9946280, -1.6787880,54.66382
Burton upon Trent,0.0000000000,0.0000000000,1.0000000, -1.6371359,52.81403
Newcastle,0.0042455660,0.0002768847,0.9954775, -1.6177800,54.97825
Durham,0.0050130548,0.0000000000,0.9949869, -1.5848520,54.77525
Ashington,0.0028901425,0.0003211269,0.9967887, -1.5659829,55.18298
Darlington,0.0031446541,0.0006289308,0.9962264, -1.5594580,54.52361
Leeds,0.0000000000,0.0000000000,1.0000000, -1.5490774,53.80076
Harrogate,0.0000000000,0.0000000000,1.0000000, -1.5418120,53.99212
Leamington Spa,0.0000000000,0.0000000000,1.0000000, -1.5200789,52.28519
Coventry,0.0000000000,0.0000000000,1.0000000, -1.5196930,52.40682
Blyth,0.0023037346,0.0002559705,0.9974403, -1.5102770,55.12696
Wakefield,0.0000000000,0.0000000000,1.0000000, -1.5059240,53.68330
Andover,0.0000000000,0.0000000000,1.0000000, -1.4919233,51.21120
Witney,0.0000000000,0.0000000000,1.0000000, -1.4850544,51.78594
Barnsley,0.0000000000,0.0000000000,1.0000000, -1.4797260,53.55263
Derby,0.0000000000,0.0000000000,1.0000000, -1.4746186,52.92253
Sheffield,0.0000000000,0.0000000000,1.0000000, -1.4700850,53.38113
Nuneaton,0.0000000000,0.0000000000,1.0000000, -1.4653820,52.52049
Northallerton,0.0021648145,0.0008659258,0.9969693, -1.4299590,54.33796
South Shields,0.0039510075,0.0001975504,0.9958514, -1.4274060,54.99942
Chesterfield,0.0000000000,0.0000000000,1.0000000, -1.4216290,53.23505
Southampton,0.0000000000,0.0000000000,1.0000000, -1.4043509,50.90970
Wetherby,0.0000000000,0.0000000000,1.0000000, -1.3848160,53.92706
Sunderland,0.0041753653,0.0000000000,0.9958246, -1.3838010,54.90687
Rotherham,0.0000000000,0.0000000000,1.0000000, -1.3635009,53.43260
Castleford,0.0000000000,0.0000000000,1.0000000, -1.3459680,53.72347
Thirsk,0.0010249402,0.0000000000,0.9989751, -1.3413770,54.23385
Banbury,0.0000000000,0.0000000000,1.0000000, -1.3397750,52.06290
Stockton,0.0041522491,0.0003321799,0.9955156, -1.3289821,54.57046
Newbury,0.0000000000,0.0000000000,1.0000000, -1.3231139,51.40141
Isle of Wight,0.0000000000,0.0000000000,1.0000000, -1.3047340,50.69385
Isle of Wight,0.0000000000,0.0000000000,1.0000000, -1.3047340,50.69385
Abingdon,0.0000000000,0.0000000000,1.0000000, -1.2879529,51.67078
Shetland Islands,0.0023974519,0.0006849862,0.9969176, -1.2659409,60.52965
Rugby,0.0000000000,0.0000000000,1.0000000, -1.2650320,52.37088
Oxford,0.0000000000,0.0000000000,1.0000000, -1.2577263,51.75202
Middlesbrough,0.0041202054,0.0000000000,0.9958798, -1.2349560,54.57423
Hartlepool,0.0042431451,0.0000000000,0.9957569, -1.2129260,54.69174
Loughborough,0.0000000000,0.0000000000,1.0000000, -1.2061660,52.77210
Mansfield,0.0000000000,0.0000000000,1.0000000, -1.1986740,53.14720
Nottingham,0.0000000000,0.0000000000,1.0000000, -1.1581086,52.95478
Bicester,0.0000000000,0.0000000000,1.0000000, -1.1535899,51.89960
Leicester,0.0000000000,0.0000000000,1.0000000, -1.1397592,52.63688
