placename,a load of,a lot of,bare,loads of,lots of,longitude,latitude
Dartmouth,0.006321765,0.4740034,0.0054186557,0.13237002,0.3818862, -3.5788070,50.35252
Bridgend,0.020197853,0.5094848,0.0118020706,0.15804220,0.3004730, -3.5769450,51.50429
Paignton,0.006383533,0.4727723,0.0054715998,0.13366337,0.3817092, -3.5642350,50.43508
Workington,0.012700797,0.5528076,0.0064580324,0.11875604,0.3092776, -3.5427520,54.64357
Llanidloes,0.011948383,0.4981281,0.0050183209,0.09080771,0.3940975, -3.5401950,52.44779
Exeter,0.003809814,0.4742457,0.0054861323,0.13121000,0.3852484, -3.5338990,50.71841
Torquay,0.006383533,0.4735539,0.0054715998,0.13288171,0.3817092, -3.5253150,50.46192
Thurso,0.008763957,0.5665412,0.0023370553,0.10536224,0.3169956, -3.5220800,58.59357
Livingston,0.003596889,0.5626863,0.0005832793,0.12318535,0.3099482, -3.5180680,55.90071
Rhyl,0.028349468,0.5248613,0.0245543306,0.16646758,0.2557674, -3.4916340,53.31914
Tiverton,0.007909363,0.4715690,0.0042753313,0.12740487,0.3888414, -3.4912070,50.90205
Tiverton,0.007909363,0.4715690,0.0042753313,0.12740487,0.3888414, -3.4912070,50.90205
Minehead,0.017116619,0.4980846,0.0122261567,0.13870801,0.3338646, -3.4811520,51.20428
Dunfermline,0.003797117,0.5603217,0.0005556756,0.12319020,0.3121353, -3.4521510,56.07174
Perth,0.005045509,0.5778591,0.0011871785,0.13306292,0.2828453, -3.4308381,56.39499
Prestatyn,0.028230037,0.5228153,0.0249465137,0.16741837,0.2565898, -3.4076130,53.33651
Builth Wells,0.014231728,0.4683203,0.0057891775,0.15679022,0.3548685, -3.4045920,52.15002
Braemar,0.006300603,0.5716199,0.0021915140,0.12309003,0.2967980, -3.3979439,57.00647
Brecon,0.011846902,0.4573208,0.0054678007,0.19911908,0.3262454, -3.3914630,51.94895
Merthyr Tydfil,0.016133679,0.4907808,0.0051858254,0.19115529,0.2967445, -3.3816460,51.74873
Llandrindod Wells,0.016296172,0.4641902,0.0075213104,0.15544041,0.3565519, -3.3777420,52.24170
Corwen,0.012887888,0.5231481,0.0045045045,0.11874374,0.3407157, -3.3692420,52.98005
Cockermouth,0.012976051,0.5582690,0.0018874256,0.11763380,0.3092337, -3.3679850,54.66326
Lockerbie,0.015711473,0.5519073,0.0000000000,0.12959180,0.3027894, -3.3490080,55.12224
Blairgowrie,0.005462725,0.5739075,0.0000000000,0.13903171,0.2815981, -3.3378318,56.58941
Elgin,0.009541479,0.5726875,0.0023853697,0.10932945,0.3060562, -3.3184850,57.64945
Newtown,0.013146405,0.4992861,0.0063102743,0.09725471,0.3840025, -3.3131060,52.51211
Ruthin,0.024723871,0.5255571,0.0210184309,0.16109246,0.2676082, -3.3103108,53.11487
Ruthin,0.024723871,0.5255571,0.0210184309,0.16109246,0.2676082, -3.3103108,53.11487
Sidmouth,0.008865815,0.4615016,0.0033546326,0.13051118,0.3957668, -3.2375600,50.67865
Barrow-in-Furness,0.009953442,0.5253002,0.0105734923,0.12549822,0.3286746, -3.2188940,54.10897
Peebles,0.004312867,0.5548219,0.0006017954,0.12198058,0.3182829, -3.1936420,55.65307
Edinburgh,0.003942434,0.5606109,0.0005769416,0.11992372,0.3149460, -3.1882670,55.95325
Cardiff,0.017149639,0.5162293,0.0120701274,0.14872409,0.3058269, -3.1790900,51.48158
Llangollen,0.011798637,0.5233351,0.0068169900,0.11230554,0.3457438, -3.1716600,52.96921
Kirkcaldy,0.003945089,0.5625281,0.0005773302,0.11788761,0.3150619, -3.1581370,56.11682
Welshpool,0.013926640,0.4842838,0.0088807557,0.09838801,0.3945208, -3.1464070,52.66035
Mold,0.026681766,0.5286095,0.0226482552,0.16518456,0.2568759, -3.1419030,53.16720
Mold,0.026681766,0.5286095,0.0226482552,0.16518456,0.2568759, -3.1419030,53.16720
Taunton,0.011505906,0.4711950,0.0057931834,0.14009848,0.3714074, -3.1068490,51.01534
Wick,0.009406846,0.5693102,0.0023517115,0.10837471,0.3105566, -3.0937160,58.43894
John o' Groats,0.008767372,0.5687102,0.0023379660,0.10754643,0.3126380, -3.0688997,58.63734
Dalkeith,0.003969342,0.5567406,0.0005808794,0.11958048,0.3191287, -3.0666060,55.89312
Oswestry,0.012834013,0.5191993,0.0050771921,0.11265725,0.3502322, -3.0564120,52.85715
Blackpool,0.009639459,0.5128818,0.0169003505,0.14029169,0.3202867, -3.0356748,53.81751
Birkenhead,0.027265558,0.5312753,0.0229530589,0.17160228,0.2469038, -3.0230090,53.38999
Cupar,0.004342117,0.5635501,0.0005371691,0.11662538,0.3149452, -3.0101370,56.32023
Southport,0.022943764,0.5203699,0.0232282595,0.16945919,0.2639989, -3.0101130,53.64571
Bridgwater,0.017794515,0.4922770,0.0114836694,0.13765919,0.3407856, -3.0036320,51.12789
Langholm,0.017550102,0.5543369,0.0000000000,0.13814291,0.2899701, -2.9989130,55.15306
Newport,0.015726676,0.5115346,0.0111375801,0.15021295,0.3113882, -2.9976640,51.58415
Axminster,0.009634055,0.4605676,0.0040328603,0.12912621,0.3966393, -2.9949370,50.78273
Wrexham,0.013942166,0.5238271,0.0092947772,0.12511065,0.3278253, -2.9924940,53.04304
Liverpool,0.026726557,0.5300814,0.0228085273,0.17263816,0.2477454, -2.9915726,53.40837
Weston-super-Mare,0.015935153,0.4987282,0.0150932958,0.13241811,0.3378252, -2.9772550,51.34741
Dundee,0.004347956,0.5630977,0.0000000000,0.11853036,0.3140240, -2.9707210,56.46202
Kirkwall,0.008839707,0.5686878,0.0023572551,0.10961236,0.3105029, -2.9622491,58.98467
Ambleside,0.013856848,0.5543505,0.0087275177,0.11276872,0.3102964, -2.9613330,54.42874
Orkney Islands,0.008839707,0.5686878,0.0023572551,0.10961236,0.3105029, -2.9605206,58.98094
Lyme Regis,0.009217626,0.4679257,0.0040467626,0.12642386,0.3923861, -2.9366390,50.72516
Carlisle,0.014725063,0.5626416,0.0012356697,0.12336102,0.2980367, -2.9329310,54.89247
Chester,0.026970785,0.5284611,0.0209112697,0.16116275,0.2624941, -2.8930750,53.19339
Forfar,0.005516960,0.5781423,0.0021016989,0.13013019,0.2841088, -2.8890620,56.64356
Morecambe,0.009400508,0.5307306,0.0140505821,0.12864981,0.3171685, -2.8649680,54.07417
Selkirk,0.005685624,0.5507867,0.0005881680,0.11863022,0.3243093, -2.8385240,55.55066
Galashiels,0.004831791,0.5534537,0.0005916479,0.12376945,0.3173534, -2.8144490,55.62373
Lancaster,0.010050086,0.5310597,0.0138394622,0.12948464,0.3155661, -2.8007399,54.04657
St Andrews,0.004327009,0.5626152,0.0005353001,0.11671028,0.3158122, -2.7967214,56.33978
Hawick,0.006333537,0.5529504,0.0005352284,0.11767592,0.3225049, -2.7809140,55.42706
Bridport,0.011069837,0.4638930,0.0044576523,0.12169391,0.3988856, -2.7583010,50.73358
Shrewsbury,0.012756741,0.5249563,0.0141837663,0.11305500,0.3350482, -2.7553268,52.70730
