placename,merger,no merger,longitude,latitude
Banchory,0.00000000,1.00000000, -2.4909599,57.05386
Blackburn,0.00000000,1.00000000, -2.4875290,53.74858
Market Drayton,0.00000000,1.00000000, -2.4834850,52.90355
Telford,0.05882353,0.94117647, -2.4672611,52.67759
Montrose,0.00000000,1.00000000, -2.4661150,56.70692
Turriff,0.00000000,1.00000000, -2.4623000,57.53893
Weymouth,0.76470588,0.23529412, -2.4576210,50.61443
Crewe,0.00000000,1.00000000, -2.4438209,53.10040
Fortuneswell,0.76470588,0.23529412, -2.4422190,50.55919
Dorchester,0.82352941,0.17647059, -2.4411810,50.71116
Alston,0.00000000,1.00000000, -2.4386850,54.81217
Kelso,0.00000000,1.00000000, -2.4322070,55.60003
Wincanton,0.82352941,0.17647059, -2.4160070,51.05569
Clitheroe,0.00000000,1.00000000, -2.3930830,53.87110
Sark,0.52941176,0.47058824, -2.3666256,49.43007
Bath,0.70588235,0.29411765, -2.3590167,51.38106
Kidderminster,0.14705882,0.85294118, -2.2496839,52.38860
Manchester,0.00000000,1.00000000, -2.2426305,53.48076
Burnley,0.00000000,1.00000000, -2.2405035,53.78929
Gloucester,0.35294118,0.64705882, -2.2381560,51.86424
Newcastle-under-Lyme,0.00000000,1.00000000, -2.2273002,53.01321
Worcester,0.26470588,0.73529412, -2.2215750,52.19364
Trowbridge,0.82352941,0.17647059, -2.2088530,51.31966
Shaftesbury,0.94117647,0.05882353, -2.1980830,51.00460
Alderney,0.64705882,0.35294118, -2.1973557,49.71500
Stoke-on-Trent,0.00000000,1.00000000, -2.1794040,53.00267
Colne,0.00000000,1.00000000, -2.1769910,53.85564
Blandford Forum,0.94117647,0.05882353, -2.1653530,50.85691
Rochdale,0.00000000,1.00000000, -2.1561000,53.60971
Jersey,0.70588235,0.29411765, -2.1312500,49.21444
Wolverhampton,0.08823529,0.91176471, -2.1288200,52.58697
Stafford,0.00000000,1.00000000, -2.1206600,52.80669
Macclesfield,0.00000000,1.00000000, -2.1192870,53.25866
Hexham,0.00000000,1.00000000, -2.1121439,54.97266
Aberdeen,0.00000000,1.00000000, -2.0942780,57.14972
Dudley,0.08823529,0.91176471, -2.0811120,52.51225
Cheltenham,0.35294118,0.64705882, -2.0782533,51.89939
Bromsgrove,0.20588235,0.79411765, -2.0619060,52.33559
Skipton,0.00000000,1.00000000, -2.0162787,53.96285
