,variant,theme,goal,theme_type,goal_type,goal_det,goal_noun,theme_det,theme_noun,verb_form,verb_stem,verb_tag,latitude,longitude,weight
731,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,get,get,VB,51.573583628206656,-1.79914277253852,1.0
732,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,get,get,VB,53.456307,-2.737095,1.0
733,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,get,get,VB,55.77818563061301,-4.066227041446629,1.0
734,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,get,get,VBP,50.967608674602644,-2.3158845801395374,1.0
735,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,gift,gift,VB,50.9097004,-1.4043508999999998,1.0
736,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,gift,gift,VB,51.5974177,-1.1335613000000002,2.0
737,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,gift,gift,VB,51.66807818099647,-0.392275090622134,2.0
738,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,gift,gift,VB,52.12283814354897,0.17132915168879098,3.0
739,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,gift,gift,VB,52.2729944,-0.8755514999999999,1.0
740,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,gift,gift,VB,52.38064810101636,-2.1304424747624577,4.0
741,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,gift,gift,VB,52.576614,-1.543763,2.0
742,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,gift,gift,VB,53.6104213,-0.9614398,3.0
743,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,gift,gift,VB,53.9628495,-2.0162787,1.0
744,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,gift,gift,VBP,51.23642018292308,-0.570117091743099,1.0
745,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,50.2660471,-5.0527125,1.0
746,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,50.3754565,-4.1426565,1.0
747,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,50.40221466757534,-4.142929569798644,0.5
748,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,50.718412,-3.533899,1.0
749,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,50.719164,-1.880769,1.0
750,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,50.7531235,-1.6550806,1.0
751,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,50.81787,-0.372882,1.0
752,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,50.8197675,-1.0879769,1.0
753,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,50.82253,-0.137163,0.5
754,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,50.873872,0.00878,1.0
755,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,50.8980097,-1.3969836000000002,1.0
756,prepositional_dative,it,me,pronominal_it,pronominal,no value,no value,no value,no value,give,give,VB,50.9280143,-0.4617075,1.0
