,userid,construction_type,tag,verb,pronoun,preposition,goal,goal_det,goal_noun,theme_type,goal_type,latitude,longitude
5015,949168,it+nominal,prepositional_dative,teach,it,to,the boys,the,boys,pronominal,nominal,52.90501166737354,-1.28007457691794
5016,2282390,it+nominal,prepositional_dative,stick,it,to,the man,the,man,pronominal,nominal,52.6308859,1.297355
5017,2446391,it+nominal,prepositional_dative,bringing,it,to,your attention,your,attention,pronominal,nominal,53.432603500000006,-1.3635008999999998
5018,6412920,it+nominal,prepositional_dative,say,it,to,your face,your,face,pronominal,nominal,53.3900441,-2.5969501
5019,370597,it+nominal,prepositional_dative,say,it,to,my face,my,face,pronominal,nominal,51.5073509,-0.12775830000000002
5020,271582,it+nominal,prepositional_dative,explained,it,to,my dad,my,dad,pronominal,nominal,53.381129,-1.470085
5021,4236481,it+nominal,prepositional_dative,bring,it,to,your attention,your,attention,pronominal,nominal,53.40837140000001,-2.9915726
5022,3232973,it+nominal,prepositional_dative,sold,it,to,a friend,a,friend,pronominal,nominal,50.3754565,-4.1426565
5023,4546650,it+nominal,prepositional_dative,brought,it,to,my attention,my,attention,pronominal,nominal,52.6139686,0.8864021000000001
5024,6186755,it+nominal,prepositional_dative,give,it,to,my mum,my,mum,pronominal,nominal,55.637652,-4.7834899
5025,288270,it+nominal,prepositional_dative,teach,it,to,my kids,my,kids,pronominal,nominal,50.2660471,-5.0527125
5026,6289350,it+nominal,prepositional_dative,say,it,to,my face,my,face,pronominal,nominal,54.597285,-5.93012
5027,5939807,it+nominal,prepositional_dative,transferred,it,to,the details,the,details,pronominal,nominal,53.04304000000001,-2.992494
5028,5939807,it+nominal,prepositional_dative,transferred,it,to,the details,the,details,pronominal,nominal,53.193392,-2.893075
5029,3412081,it+nominal,prepositional_dative,lent,it,to,a friend,a,friend,pronominal,nominal,51.481581,-3.17909
5030,2879165,it+nominal,prepositional_dative,given,it,to,my dad,my,dad,pronominal,nominal,50.3754565,-4.1426565
5031,2879165,it+nominal,prepositional_dative,give,it,to,my dad,my,dad,pronominal,nominal,50.3754565,-4.1426565
5032,6025419,it+nominal,prepositional_dative,say,it,to,your face,your,face,pronominal,nominal,53.8007554,-1.5490774
5033,3697933,it+nominal,prepositional_dative,bringing,it,to,my attention,my,attention,pronominal,nominal,51.94921,-0.283414
5034,5035966,it+nominal,prepositional_dative,said,it,to,his face,his,face,pronominal,nominal,53.4807593,-2.2426305
5035,3089881,it+nominal,prepositional_dative,stick,it,to,the man,the,man,pronominal,nominal,50.9097004,-1.4043508999999998
5036,2930745,it+nominal,prepositional_dative,sent,it,to,my friends,my,friends,pronominal,nominal,51.5073509,-0.12775830000000002
5037,2457061,it+nominal,prepositional_dative,send,it,to,my boyfriend,my,boyfriend,pronominal,nominal,50.9097004,-1.4043508999999998
5038,6574616,it+nominal,prepositional_dative,show,it,to,my daughter,my,daughter,pronominal,nominal,51.77553066337346,-3.258085568820742
5039,5225540,it+nominal,prepositional_dative,owe,it,to,your family,your,family,pronominal,nominal,51.50607313936089,-0.7215676477961579
5040,4474484,it+nominal,prepositional_dative,say,it,to,my face,my,face,pronominal,nominal,50.92132718030879,-1.3964665872724658
5041,1605193,it+nominal,prepositional_dative,brought,it,to,my attention,my,attention,pronominal,nominal,52.486243,-1.890401
5042,1899749,it+nominal,prepositional_dative,say,it,to,my face,my,face,pronominal,nominal,51.668666159302866,-4.0487550637387
5043,5701197,it+nominal,prepositional_dative,saying,it,to,my friend,my,friend,pronominal,nominal,51.6055748,-0.06816649999999999
5044,1506418,it+nominal,prepositional_dative,gave,it,to,my dad,my,dad,pronominal,nominal,51.5073509,-0.12775830000000002
5045,4941120,it+nominal,prepositional_dative,gave,it,to,his friend,his,friend,pronominal,nominal,52.772571,-1.2052126
5046,5636912,it+nominal,prepositional_dative,pass,it,to,a man,a,man,pronominal,nominal,53.09847516571273,-1.336774075399616
5047,277364,it+nominal,prepositional_dative,releasing,it,to,the world,the,world,pronominal,nominal,51.3810641,-2.3590167
5048,6108732,it+nominal,prepositional_dative,recommended,it,to,my mum,my,mum,pronominal,nominal,52.923512668136546,-1.1285905779263172
5049,4518556,it+nominal,prepositional_dative,send,it,to,the family,the,family,pronominal,nominal,51.565195182438536,-0.26314009219365603
5050,2622070,it+nominal,prepositional_dative,suggest,it,to,the club,the,club,pronominal,nominal,51.4542645,-0.9781303
5051,2084710,it+nominal,prepositional_dative,say,it,to,my face,my,face,pronominal,nominal,53.368393155465526,-2.740722063765359
5052,417863,it+nominal,prepositional_dative,give,it,to,my mum,my,mum,pronominal,nominal,52.73187566580529,-1.7472365744786942
5053,1089842,it+nominal,prepositional_dative,taught,it,to,my daughter,my,daughter,pronominal,nominal,52.63687779999999,-1.1397592
5054,1089842,it+nominal,prepositional_dative,showed,it,to,my wife,my,wife,pronominal,nominal,52.63687779999999,-1.1397592
5055,1178744,it+nominal,prepositional_dative,gave,it,to,the man,the,man,pronominal,nominal,53.568935,-2.885057
5056,3713955,it+nominal,prepositional_dative,saying,it,to,a girl,a,girl,pronominal,nominal,53.389991,-3.023009
5057,5664280,it+nominal,prepositional_dative,sticking,it,to,the man,the,man,pronominal,nominal,50.8197675,-1.0879769
5058,4821624,it+nominal,prepositional_dative,bringing,it,to,my attention,my,attention,pronominal,nominal,50.7155591,-3.530875
5059,6307211,it+nominal,prepositional_dative,sent,it,to,that email,that,email,pronominal,nominal,51.280233,1.0789089
5060,4349639,it+nominal,prepositional_dative,say,it,to,my face,my,face,pronominal,nominal,53.609713600000006,-2.1561
5061,5867299,it+nominal,prepositional_dative,give,it,to,his daughter,his,daughter,pronominal,nominal,51.5117026,-0.3154027
5062,6468982,it+nominal,prepositional_dative,bringing,it,to,the kids,the,kids,pronominal,nominal,51.127889,-3.003632
5063,1780400,it+nominal,prepositional_dative,bringing,it,to,my attention,my,attention,pronominal,nominal,55.953252,-3.188267
5064,3898277,it+nominal,prepositional_dative,stuck,it,to,his face,his,face,pronominal,nominal,53.5768647,-2.4282192000000005
8322,3154339,it+nominal,prepositional_dative,say,it,to,my face,my,face,pronominal,nominal,53.4807593,-2.2426305
5066,4677261,it+nominal,prepositional_dative,delivered,it,to,my door,my,door,pronominal,nominal,52.766404,-0.887126
5067,1293368,it+nominal,prepositional_dative,say,it,to,my face,my,face,pronominal,nominal,53.5450645,-2.6325074
5068,1293368,it+nominal,prepositional_dative,say,it,to,my face,my,face,pronominal,nominal,53.541714,-2.73097
5069,5856908,it+nominal,prepositional_dative,say,it,to,my face,my,face,pronominal,nominal,53.801955659532176,-1.565489569728704
5070,5856908,it+nominal,prepositional_dative,say,it,to,my face,my,face,pronominal,nominal,53.801955659532176,-1.565489569728704
5071,1051106,it+nominal,prepositional_dative,report,it,to,our team,our,team,pronominal,nominal,53.72957265809434,-1.8900300678065551
5072,3468416,it+nominal,prepositional_dative,say,it,to,my face,my,face,pronominal,nominal,52.44722566752533,-1.7874950757883938
5073,1414844,it+nominal,prepositional_dative,bringing,it,to,their attention,their,attention,pronominal,nominal,51.59355766430928,-3.312431569417714
5074,5454178,it+nominal,prepositional_dative,giving,it,to,the players,the,players,pronominal,nominal,51.5073509,-0.12775830000000002
5075,5454178,it+nominal,prepositional_dative,leaving,it,to,the boy,the,boy,pronominal,nominal,51.5073509,-0.12775830000000002
5076,5879160,it+nominal,prepositional_dative,playing,it,to,my daughter,my,daughter,pronominal,nominal,53.66139616046632,-1.57061107049248
5077,6320376,it+nominal,prepositional_dative,give,it,to,my dad,my,dad,pronominal,nominal,53.381129,-1.470085
5078,6265295,it+nominal,prepositional_dative,explaining,it,to,my children,my,children,pronominal,nominal,51.5073509,-0.12775830000000002
5079,666928,it+nominal,prepositional_dative,bringing,it,to,my attention,my,attention,pronominal,nominal,51.5073509,-0.12775830000000002
5080,1479463,it+nominal,prepositional_dative,give,it,to,a friend,a,friend,pronominal,nominal,53.4807593,-2.2426305
5081,1479463,it+nominal,prepositional_dative,give,it,to,a friend,a,friend,pronominal,nominal,53.4807593,-2.2426305
5082,507164,it+nominal,prepositional_dative,brought,it,to,my attention,my,attention,pronominal,nominal,55.956476,-4.771983000000001
5083,6398456,it+nominal,prepositional_dative,report,it,to,the wife,the,wife,pronominal,nominal,51.216025194063214,1.3792348931130192
5084,1122072,it+nominal,prepositional_dative,announced,it,to,the team,the,team,pronominal,nominal,51.7520209,-1.2577263
5085,1783573,it+nominal,prepositional_dative,leave,it,to,the kids,the,kids,pronominal,nominal,52.45689100000001,-2.148731
5086,572418,it+nominal,prepositional_dative,stick,it,to,the man,the,man,pronominal,nominal,51.5073509,-0.12775830000000002
8321,287235,it+nominal,prepositional_dative,send,it,to,the team,the,team,pronominal,nominal,54.97825200000001,-1.61778
5088,5704104,it+nominal,prepositional_dative,sent,it,to,my dad,my,dad,pronominal,nominal,53.383164163093134,-1.449611572954178
5089,6527424,it+nominal,prepositional_dative,mention,it,to,the club,the,club,pronominal,nominal,51.5073509,-0.12775830000000002
5090,844674,it+nominal,prepositional_dative,say,it,to,his face,his,face,pronominal,nominal,51.5742447,0.4856781
5091,5977647,it+nominal,prepositional_dative,bringing,it,to,my attention,my,attention,pronominal,nominal,50.82253,-0.137163
5092,2081532,it+nominal,prepositional_dative,send,it,to,my email,my,email,pronominal,nominal,55.829856627449686,-4.509903038270664
5093,808929,it+nominal,prepositional_dative,bringing,it,to,my attention,my,attention,pronominal,nominal,54.597285,-5.93012
5094,2159230,it+nominal,prepositional_dative,sells,it,to,another party,another,party,pronominal,nominal,51.31034368395314,-0.30219809335969394
5095,6604378,it+nominal,prepositional_dative,give,it,to,your friends,your,friends,pronominal,nominal,51.5073509,-0.12775830000000002
