index,userid,negation,participial_form,verb_stem,variant,latitude,longitude
2216,2651792,affirmative,sat,sit,past participle,52.68433866570557,-1.8192450742210984
2217,6328826,affirmative,sat,sit,past participle,53.4807593,-2.2426305
2218,621237,affirmative,stood,stand,past participle,51.5073509,-0.12775830000000002
2219,621237,affirmative,stood,stand,past participle,51.5073509,-0.12775830000000002
2220,2140909,affirmative,standing,stand,present participle,51.5073509,-0.12775830000000002
2221,2140909,affirmative,sitting,sit,present participle,51.5073509,-0.12775830000000002
2222,2776083,affirmative,sat,sit,past participle,51.4622878,-0.1142945
2223,762396,affirmative,stood,stand,past participle,52.95478320000001,-1.1581086
2224,5027575,affirmative,standing,stand,present participle,50.71505,-1.987248
2225,5027575,affirmative,standing,stand,present participle,50.719164,-1.880769
2226,2499808,affirmative,sitting,sit,present participle,51.5742447,0.4856781
2227,3973409,affirmative,sat,sit,past participle,53.40837140000001,-2.9915726
2228,4081986,affirmative,sitting,sit,present participle,51.58985218776186,0.704251400541562
2229,5567907,affirmative,stood,stand,past participle,54.10896700000001,-3.218894
2230,6296025,affirmative,sat,sit,past participle,51.481581,-3.17909
2231,2521612,affirmative,sat,sit,past participle,52.0406224,-0.7594171
2232,2517131,affirmative,sitting,sit,present participle,50.69939157287919,-1.300637821510982
2233,6119219,affirmative,sat,sit,past participle,51.209347,-2.6445979
2234,2012575,affirmative,stood,stand,past participle,51.277283,-0.8426549999999999
2235,5853332,affirmative,sat,sit,past participle,53.10031899999999,-0.9936306
2236,616178,affirmative,standing,stand,present participle,52.22045018239496,0.5115784057048179
2237,616178,affirmative,sitting,sit,present participle,52.22045018239496,0.5115784057048179
2238,3497336,affirmative,sat,sit,past participle,51.769579159056704,-2.621136506186584
2239,1355395,affirmative,sat,sit,past participle,52.2545225,-2.2668382
2240,55187,affirmative,sat,sit,past participle,53.193392,-2.893075
2241,5752045,affirmative,sat,sit,past participle,50.768035,0.29047199999999995
2242,5752045,affirmative,sat,sit,past participle,51.2787075,0.5217254
2243,5752045,affirmative,sat,sit,past participle,51.40817,-0.025813
2244,2480944,affirmative,standing,stand,present participle,51.5073509,-0.12775830000000002
2245,5036757,affirmative,stood,stand,past participle,53.4807593,-2.2426305
2246,1366725,affirmative,sitting,sit,present participle,52.95478320000001,-1.1581086
2247,4674951,affirmative,sat,sit,past participle,52.4750743,-1.8298330000000005
2248,4674951,affirmative,standing,stand,present participle,52.4750743,-1.8298330000000005
2249,4964083,affirmative,sat,sit,past participle,51.454513,-2.58791
2250,4964083,affirmative,sat,sit,past participle,51.454513,-2.58791
2251,5288560,affirmative,standing,stand,present participle,53.34980529999999,-6.260309700000001
2252,2525562,affirmative,sat,sit,past participle,53.81750529999999,-3.0356748
2253,2525562,affirmative,sat,sit,past participle,53.81750529999999,-3.0356748
2254,501241,affirmative,sat,sit,past participle,51.4542645,-0.9781303
2255,4629541,affirmative,sitting,sit,present participle,51.51475168258629,-0.29742959222277804
2256,1965378,affirmative,sitting,sit,present participle,51.5073509,-0.12775830000000002
2257,477966,affirmative,standing,stand,present participle,51.457876669614194,-2.585389575449031
2258,477966,affirmative,standing,stand,present participle,51.457876669614194,-2.585389575449031
2259,6403220,affirmative,sat,sit,past participle,51.5073509,-0.12775830000000002
2260,1329080,affirmative,sitting,sit,present participle,53.35490213361106,-6.247621039910087
2261,504919,affirmative,sat,sit,past participle,56.2082078,-3.1495175
2262,2652395,affirmative,standing,stand,present participle,54.57201955077952,-5.692804503395243
2263,4381143,affirmative,standing,stand,present participle,56.39816813023841,-3.444642542130814
2264,1918921,affirmative,sat,sit,past participle,53.815933158236845,-1.766819568200956
2265,1918921,affirmative,stood,stand,past participle,53.815933158236845,-1.766819568200956
2266,2136117,affirmative,sat,sit,past participle,53.4875235,-2.2901264
2267,4629203,affirmative,sitting,sit,present participle,50.925142,-2.304642
2268,4629203,affirmative,sitting,sit,present participle,53.38949920000001,-3.1039076
2269,831003,affirmative,sitting,sit,present participle,54.8897671221474,-6.348506531444992
2270,289945,affirmative,standing,stand,present participle,51.656489,-0.39032
2271,2286160,affirmative,sitting,sit,present participle,51.06990366328355,-4.0816170666967
2272,2286160,affirmative,sitting,sit,present participle,51.06990366328355,-4.0816170666967
2273,1857792,affirmative,sitting,sit,present participle,55.458564,-4.629179
2274,4198103,affirmative,sat,sit,past participle,52.651282,-0.480216
2275,3977615,affirmative,sat,sit,past participle,53.423567153225406,-3.04667356129869
2276,3977615,affirmative,stood,stand,past participle,53.423567153225406,-3.04667356129869
2277,4736248,affirmative,sat,sit,past participle,52.205337,0.121817
2278,3391143,affirmative,sitting,sit,present participle,56.06006361316729,-4.212414476872048
2279,143035,affirmative,sat,sit,past participle,53.795984,-1.759398
2280,1912829,affirmative,sitting,sit,present participle,51.49700116578065,-3.179799570901813
2281,3012154,affirmative,sat,sit,past participle,50.82789868742786,-0.269735596370704
2282,1488500,affirmative,sat,sit,past participle,53.4807593,-2.2426305
2283,5297753,affirmative,sitting,sit,present participle,55.864237,-4.251806
2284,5297753,affirmative,sitting,sit,present participle,55.541332,-4.659948
2285,4240407,affirmative,sat,sit,past participle,51.5073509,-0.12775830000000002
2286,4240407,affirmative,sat,sit,past participle,51.5073509,-0.12775830000000002
2287,3640822,affirmative,standing,stand,present participle,51.56058668517,0.210589904164524
2288,3640822,affirmative,sitting,sit,present participle,51.56058668517,0.210589904164524
2289,4300005,affirmative,sat,sit,past participle,52.68160200000001,-1.831672
2290,2430265,affirmative,sat,sit,past participle,53.8007554,-1.5490774
2291,2853008,affirmative,sat,sit,past participle,53.76581666702312,-0.333942078920855
2292,1482474,affirmative,stood,stand,past participle,51.2787075,0.5217254
2293,199098,affirmative,sitting,sit,present participle,51.6622909,-0.1180651
2294,5889578,affirmative,sat,sit,past participle,54.97825200000001,-1.61778
2295,2164081,affirmative,sat,sit,past participle,52.486243,-1.890401
2296,2164081,affirmative,sitting,sit,present participle,52.486243,-1.890401
2297,1519862,affirmative,sitting,sit,present participle,51.7520209,-1.2577263
2298,2002622,affirmative,sat,sit,past participle,53.8007554,-1.5490774
2299,4969751,affirmative,sitting,sit,present participle,50.81787,-0.372882
2300,4581081,affirmative,sat,sit,past participle,50.83761,-0.774936
