,userid,construction_type,verb,theme,preposition,goal,theme_type,goal_type,tag,latitude,longitude
473,6346577,it+pronominal_object,sent,it,to,you,pronominal,pronominal,prepositional_dative,50.98106701668684,-3.743455489875098
3369,3820723,it+pronominal_object,give,it,to,you,pronominal,pronominal,prepositional_dative,51.5073509,-0.12775830000000002
948,3927443,it+pronominal_object,send,it,to,you,pronominal,pronominal,prepositional_dative,51.50009168353514,-0.14893559343778198
949,4833788,it+pronominal_object,send,it,to,u,pronominal,pronominal,prepositional_dative,53.35490213361106,-6.247621039910087
950,4833788,it+pronominal_object,give,it,to,u,pronominal,pronominal,prepositional_dative,53.35490213361106,-6.247621039910087
951,197010,it+pronominal_object,give,it,to,me,pronominal,pronominal,prepositional_dative,51.454513,-2.58791
471,5676454,it+pronominal_object,mentioned,it,to,you,pronominal,pronominal,prepositional_dative,57.64945400000001,-3.318485
3367,6551239,it+pronominal_object,give,it,to,us,pronominal,pronominal,prepositional_dative,50.44755867087375,-3.545694573906754
3366,3100585,it+pronominal_object,leave,it,to,me,pronominal,pronominal,prepositional_dative,51.5073509,-0.12775830000000002
955,92413,it+pronominal_object,give,it,to,you,pronominal,pronominal,prepositional_dative,50.26837866455611,-4.789535065839297
956,2876853,it+pronominal_object,give,it,to,me,pronominal,pronominal,prepositional_dative,51.50378618328007,-0.189189593109732
957,1920004,it+pronominal_object,give,it,to,you,pronominal,pronominal,prepositional_dative,51.5073509,-0.12775830000000002
958,1920004,it+pronominal_object,give,it,to,you,pronominal,pronominal,prepositional_dative,51.5073509,-0.12775830000000002
959,4710993,it+pronominal_object,give,it,to,you,pronominal,pronominal,prepositional_dative,51.51498629045832,-0.14262587030391502
3365,2988376,it+pronominal_object,stick,it,to,them,pronominal,pronominal,prepositional_dative,51.45165618360951,-0.193719093375096
3364,3057381,it+pronominal_object,give,it,to,me,pronominal,pronominal,prepositional_dative,51.5073509,-0.12775830000000002
962,5677221,it+pronominal_object,give,it,to,you,pronominal,pronominal,prepositional_dative,51.5073509,-0.12775830000000002
963,279138,it+pronominal_object,sent,it,to,her,pronominal,pronominal,prepositional_dative,52.486243,-1.890401
964,5490632,it+pronominal_object,give,it,to,me,pronominal,pronominal,prepositional_dative,51.5742447,0.4856781
965,1498715,it+pronominal_object,lend,it,to,you,pronominal,pronominal,prepositional_dative,53.3900441,-2.5969501
966,581761,it+pronominal_object,giving,it,to,her,pronominal,pronominal,prepositional_dative,54.97825200000001,-1.61778
967,4358440,it+pronominal_object,send,it,to,you,pronominal,pronominal,prepositional_dative,53.38319461973381,-1.45718002785272
466,2568571,it+pronominal_object,give,it,to,ya,pronominal,pronominal,prepositional_dative,55.953252,-3.188267
969,19467,it+pronominal_object,give,it,to,them,pronominal,pronominal,prepositional_dative,51.5073509,-0.12775830000000002
970,19467,it+pronominal_object,give,it,to,them,pronominal,pronominal,prepositional_dative,51.5073509,-0.12775830000000002
