,placename,at,at_the,down_,down_the,in_,in_the,up_,up_the,longitude,latitude
91,Blyth,0.19411583365244234,0.5556697090287629,0.15065056448001468,0.13220392595731958,0.21450955706023173,0.5935010686985741,0.2890142944930998,0.2462886772554721,-1.510277,55.12696
92,Reading,0.1942485993599292,0.9139519718377808,0.35091044966186674,0.6237773188644481,0.1841313968883984,0.060145943356778135,0.7180812388673644,0.3134253628478572,-0.9781303,51.45426
93,Ashington,0.1947686278965189,0.5580986024083111,0.1509270818164776,0.1251597734112312,0.21536178559431088,0.5943880733036289,0.2895447709727365,0.2467407266463021,-1.5659829,55.18298000000001
94,Stanhope,0.19512589379479006,0.5787131453007499,0.15268562791984353,0.14839689795074087,0.21212045613161915,0.5697527373252822,0.2603719533227907,0.2374392933643033,-2.011302,54.74946
95,Newcastle,0.1954234655282545,0.5579139450012425,0.14962941925913964,0.1270860477482207,0.21136207501476995,0.5957682713990705,0.28705528132354824,0.24461926444657225,-1.61778,54.97825
96,Wrexham,0.19557663786716087,0.4421913321111838,0.08237109289866021,0.1799008561718909,0.1805428043391231,0.6894327801611143,0.2431140391452777,0.14552706782726502,-2.992494,53.04304000000001
97,Western Isles,0.19885608434341387,0.41223974014972503,0.054603005435089176,0.06988512895976688,0.20667654575438224,0.7522495403565125,0.16760426400866832,0.1985643048094771,-7.0194034,57.75989000000001
98,Woking,0.19898944944461397,0.8803981451964021,0.19430256973732507,0.640546079382513,0.2167859443382537,0.08321414772345062,0.4970107953605388,0.2014381407330045,-0.5600349,51.31677
99,Bishop Auckland,0.1993639615347257,0.5700518637639812,0.15233911556224586,0.1406689657924705,0.16786213855873172,0.603474461940775,0.2597810405951049,0.21260295148036729,-1.6787880000000002,54.66382
100,Cinderford,0.19961878559836727,0.9156332371841802,0.5089004594418002,0.4142321714232396,0.061983523904174165,0.19378515355760195,0.3027273633094085,0.7154073600528915,-2.5009579,51.8253
101,Athlone,0.2015749069815881,0.2699294601100712,0.04870655760977628,0.14674822464619391,0.12225761503029275,0.8589808033138273,0.31146893140405224,0.2913187998337206,-7.9406898,53.42393000000001
102,Shrewsbury,0.20211302631025085,0.6400445408367468,0.15791678042418425,0.3086352961808393,0.18713693298762285,0.4504499418748315,0.20196939904295952,0.3148386931720454,-2.7553268,52.7073
103,Ayr,0.20284044507162816,0.3938790653251241,0.20582940025148505,0.04182353595843247,0.19597047662532427,0.7773080965198931,0.2005697366703164,0.2157332152548131,-4.629179,55.45856
104,Armagh,0.202879541888834,0.20341912347763247,0.01,0.2592892710959922,0.3283240143585166,0.7638377281864981,0.7355012511950971,0.06879188155439485,-6.652792,54.35028000000001
105,Newcastle-under-Lyme,0.20343409005427368,0.6178030187493806,0.09266109192854256,0.24399556906314604,0.21595354953668194,0.5011173756562532,0.14813740029085354,0.15887505203226068,-2.2273002,53.01321
106,Broadford,0.2054127431920794,0.4223501028395164,0.0527371689605987,0.062349079469074475,0.2070329309757775,0.7459958874626429,0.1618770647955922,0.21196645904824127,-5.9096592,57.24139
107,Llandudno,0.20690738590642835,0.4239840948758013,0.07225415818026906,0.1102868642367243,0.2111533025203284,0.7213291142021805,0.22178460084166005,0.15557737308202846,-3.827609,53.32406
108,Alston,0.2071197892422724,0.5881670046490068,0.2522976338503341,0.15213815327230562,0.2380631855724869,0.5427464218119299,0.2581430687014425,0.2354067214314297,-2.438685,54.81217
109,Portree,0.20737175256319146,0.4243393840072237,0.053018711393214124,0.062362218267623386,0.20145149750554536,0.7467618754333191,0.1627412844462513,0.213098084212557,-6.1960231,57.41246999999999
110,Aberfeldy,0.21379687173696527,0.546385467500085,0.10572657947497466,0.033157620053488226,0.1522990854990744,0.6927847381122283,0.15453733253494853,0.108404786541301,-3.866969,56.62175
111,Colwyn Bay,0.2138242803767625,0.40768126652928816,0.06878369886583215,0.12810405872241976,0.22334911301405908,0.7199925226593504,0.2111319876359028,0.1481047850164436,-3.72764,53.29318000000001
112,Rhyl,0.2161964354873227,0.41371087373159454,0.10446982120031786,0.11215503276408846,0.25811038985585444,0.7051142373366062,0.20041923031399936,0.1405900010694986,-3.4916339999999995,53.31914
113,Ross-on-Wye,0.2170437602365207,0.9006887877593979,0.28533590511054285,0.4371638013312484,0.07984328172393419,0.18532041182163486,0.31733346766726755,0.7974132455826876,-2.582446,51.91445
114,Prestatyn,0.21798649756680205,0.4135761933807057,0.10496490280979803,0.1153639208310803,0.2560516207787581,0.7043654891657997,0.20136900955634726,0.141256256199542,-3.407613,53.33651
115,Kyle of Lochalsh,0.2191362981798456,0.4259815295277375,0.0528959345894015,0.05514065681064728,0.20680791831708767,0.7448962586591964,0.16236441092110113,0.21260459524864234,-5.7143293,57.28261
116,Tywyn,0.22014510504442936,0.5119233934108525,0.4309996007149963,0.41602916560338427,0.11716324827334225,0.5118151785282687,0.2839678327251789,0.4312042975587103,-4.087249,52.58701
117,Dalwhinnie,0.22114761827502386,0.513284180356423,0.10461685551373924,0.049654962503133636,0.1737767372708383,0.6950049539071977,0.16056104562935558,0.17019689511058678,-4.242783,56.9366
118,Holt,0.2262942034132475,0.8683152307676837,0.9027935075976988,0.6607138541112777,0.10849666734552857,0.06043834388397833,0.7773798084341542,0.6928721888327419,1.086747,52.90936
119,Dunvegan,0.2274273844733325,0.4199987731752228,0.05316680554509677,0.06322242313732586,0.2011034742410609,0.7490121763692369,0.16319585337226727,0.1933415633663227,-6.5813982000000015,57.4366
120,Mold,0.22847196424453026,0.402065543705168,0.10568581224037042,0.13765350613406238,0.2482847449502937,0.7022760930286643,0.2534400488837167,0.16118994553810992,-3.141903,53.1672
121,Whitchurch,0.2293053939576481,0.5785214328062915,0.09241811482476274,0.22200972186779472,0.16863295895032426,0.562856817377448,0.2256529413867369,0.13266287610205044,-2.682045,52.96872
122,Strabane,0.2293593121466727,0.09940242142428103,0.01,0.3995488263048021,0.22608292006722466,0.8529083373362346,0.01,0.01,-7.4633103,54.82739
123,Roscommon,0.229754367094048,0.2777232616201302,0.05831833311676692,0.10084435399829796,0.12951994005375286,0.8719900915095341,0.37293434846131385,0.20928466422255806,-8.1890955,53.62759000000001
124,Invergarry,0.2316745248544733,0.4686583868386372,0.048957976875092235,0.05835270662060544,0.1905871040518381,0.7201987241872027,0.15027683412356768,0.15929548948586356,-4.800261,57.07095
125,Cromer,0.23203813887707125,0.8634335750003528,0.8976560137491016,0.6784526373714085,0.1125077805935842,0.055731202448998166,0.7047540061829833,0.6889292914890086,1.301866,52.93145
126,Swindon,0.2321121640006588,0.9450353772498862,0.4940937121227668,0.5789185096583519,0.08588248050471943,0.09819215345720528,0.7928889976710194,0.2431089911396693,-1.7797176,51.55577
127,Falkirk,0.2332925064479097,0.4981282472940782,0.07494495098530349,0.03641779861748922,0.1847662145427976,0.7055567255332591,0.2300439877028361,0.17212924089591947,-3.7839131,56.00188000000001
128,Chester,0.2335634868966404,0.41846841065610535,0.2013383256354037,0.1293645402516579,0.2512446703754595,0.6878517891024856,0.2491972887214732,0.15849150755864108,-2.893075,53.19339
129,Nenagh,0.23544452059469115,0.3247944244700509,0.25223572466573563,0.0809175040835667,0.14286818024536746,0.8370318337975118,0.2688330397349284,0.15086471129588466,-8.19834,52.8635
130,Braintree,0.2360449496243641,0.7328220662179517,0.7150431607335843,0.9257480824380212,0.12030720585762684,0.060941340397819815,0.7978167136630944,0.4312384319807638,0.5509269,51.88009
131,Birkenhead,0.2360536135880375,0.4173493132611731,0.20842181994693096,0.11396425235036944,0.2870912739386068,0.6818661981948236,0.18816238060671373,0.13199207437890564,-3.023009,53.38999
