,placename,b._fairly_acceptable,did_it,done_it,longitude,latitude
298,Bromsgrove,0.01,0.4107143,0.5892857,-2.061906,52.33559
299,Skipton,0.01,0.5,0.5,-2.0162787,53.96285
300,Fraserburgh,0.01,0.45,0.55,-2.007631,57.69335
301,Berwick,0.01,0.4074074,0.5925925999999999,-2.005395,55.77024
302,Poole,0.01,0.46,0.54,-1.987248,50.71505
303,Walsall,0.01,0.4285714,0.5714286,-1.982919,52.58621
304,Cirencester,0.01,0.4351852,0.5648148000000001,-1.968243,51.71849
305,Evesham,0.01,0.4537037,0.5462963000000001,-1.94677,52.09215
306,Buxton,0.01,0.4444444,0.5555555999999999,-1.91483,53.25908
307,Keighley,0.01,0.4901960999999999,0.5098039000000001,-1.912358,53.8678
308,Birmingham,0.01,0.4122807,0.5877193000000001,-1.890401,52.48624
309,Bournemouth,0.01,0.46,0.54,-1.880769,50.71916
310,Halifax,0.01,0.4803922000000001,0.5196078,-1.85754,53.72702
311,Salisbury,0.01,0.4607843,0.5392157,-1.794472,51.06878
312,Ringwood,0.01,0.46,0.54,-1.788817,50.84495
313,Huddersfield,0.01,0.5,0.5,-1.7850351000000002,53.64579000000001
314,Peterhead,0.01,0.45,0.55,-1.784066,57.50812
315,Swindon,0.01,0.4545455,0.5454545,-1.7797176,51.55577
316,Bradford,0.01,0.48,0.52,-1.759398,53.79598000000001
317,Ashbourne,0.01,0.5185185,0.4814815,-1.732179,53.016630000000006
318,Marlborough,0.01,0.462963,0.537037,-1.727062,51.42007
319,Stratford-upon-Avon,0.01,0.3981481,0.6018519,-1.708298,52.19173
320,Alnwick,0.01,0.3571429,0.6428571,-1.7062990000000002,55.41274
321,Otley,0.01,0.4245283,0.5754716999999999,-1.691786,53.90583
322,Bishop Auckland,0.01,0.3888889,0.6111111,-1.6787880000000002,54.66382
323,Burton upon Trent,0.01,0.5090909,0.4909090999999999,-1.6371359,52.81403
324,Newcastle,0.01,0.3448276,0.6551724,-1.61778,54.97825
325,Durham,0.01,0.3305085,0.6694915,-1.584852,54.77525
326,Ashington,0.01,0.3508772,0.6491228,-1.5659829,55.18298000000001
327,Darlington,0.01,0.3627450999999999,0.6372549,-1.559458,54.52361
328,Leeds,0.01,0.4622642,0.5377358,-1.5490774,53.80076
329,Harrogate,0.01,0.4519231,0.5480769,-1.5418120000000002,53.99211999999999
330,Leamington Spa,0.01,0.3981481,0.6018519,-1.5200789,52.28519
331,Coventry,0.01,0.4074074,0.5925925999999999,-1.519693,52.40682
332,Blyth,0.01,0.33620690000000003,0.6637930999999999,-1.510277,55.12696
333,Wakefield,0.01,0.490566,0.509434,-1.505924,53.6833
334,Andover,0.01,0.490566,0.509434,-1.4919233,51.2112
335,Witney,0.01,0.4537037,0.5462963000000001,-1.4850544,51.78594
336,Barnsley,0.01,0.5102041,0.4897959,-1.479726,53.55263000000001
337,Derby,0.01,0.5092593,0.4907407,-1.4746186,52.92253
338,Sheffield,0.01,0.5196078,0.4803922000000001,-1.470085,53.38113000000001
