index,placename,longitude,latitude,avoid,demsel,demsels,emsel,emself,emsels,emsen,hersel,himself,himsen,theirsel,theirself,theirselfs,theirseln,theirsels,theirselves,theirsen,theirsens,them,themsel,themself,themselfs,themselns,themsels,themselves,themsen,themsens,theysen
61,Wicklow,-6.044589,52.980819999999994,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.3194429273884175,0.01,0.01,0.01,0.48417669783728,0.01,0.01,0.01
62,Kilkeel,-6.007004,54.06312,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.05690106683028428,0.01,0.01,0.01,0.046738878035269875,0.01,0.01,0.08405805949684564,0.01,0.23502974620395145,0.056290000971763045,0.01,0.01,0.148430168566607,0.01,0.01,0.01
63,Belfast,-5.93012,54.597280000000005,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.17479225516230013,0.01,0.01,0.01,0.14357540817130057,0.01,0.01,0.25821480338573544,0.01,0.7219790710030608,0.17291514484761678,0.01,0.01,0.4559570732700088,0.01,0.01,0.01
64,Down,-5.7156921999999994,54.32875,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.09704319258040878,0.01,0.01,0.01,0.07971186121513835,0.01,0.01,0.14335869097178924,0.01,0.40083671877406013,0.09600103669316225,0.01,0.01,0.2531435390467146,0.01,0.01,0.01
65,Balivanich,-7.3743509000000005,57.472269999999995,0.03909562633952253,0.01,0.01,0.01,0.01,0.01,0.01,0.18116308203604295,0.01,0.01,0.0864070720613505,0.0201823456579792,0.03528507835016503,0.01,0.028525352695825058,0.035345334004647955,0.011750561091607192,0.01,0.04628914555902254,0.10376909055947954,0.07729629220210775,0.012054705417146396,0.01,0.029038578964871758,0.04681465165860104,0.01,0.01,0.01
66,Western Isles,-7.0194034,57.759890000000006,0.0804949287011882,0.01,0.01,0.01,0.01,0.01,0.01,0.37300104224284647,0.01,0.01,0.13769734513132414,0.06977922241712829,0.07264929947269037,0.01,0.05873153716699675,0.07277336129406456,0.0241935138486754,0.01,0.09530583904843888,0.17505736072778377,0.15914720167521584,0.024819723941501053,0.01,0.059788231119811824,0.10375058728906014,0.01,0.01,0.01
67,Dunvegan,-6.581398200000001,57.4366,0.03403471953228614,0.01,0.01,0.01,0.01,0.01,0.01,0.15771162311493916,0.01,0.01,0.058220941337585715,0.029503924066621577,0.030717444833684052,0.01,0.02483276185757112,0.030769900427635933,0.010229457577344163,0.01,0.040297041740903365,0.07401743526663207,0.06729033071724672,0.010494230591265637,0.01,0.0252795512751881,0.04386763485189607,0.01,0.01,0.01
68,Stornoway,-6.384869200000001,58.209430000000005,0.10628536442361172,0.01,0.01,0.01,0.01,0.15599127676667318,0.01,0.49250993006448524,0.01,0.01,0.11355557933439818,0.05486772214755657,0.2990634540084661,0.01,0.13457671383164116,0.07568136308442884,0.03194507377774973,0.01,0.22022291503529223,0.4034428202878304,0.13362679852922157,0.01,0.01,0.32693677396826004,0.14717679771137288,0.01,0.01,0.01
69,Scilly Isles,-6.327496599999999,49.92773,0.01,0.01,0.01,0.01,0.3991551584959102,0.01,0.01,0.01,0.08739876638999752,0.01,0.01,0.1547657249146659,0.01,0.01,0.01,0.07150809138192357,0.01,0.01,0.15718331304556565,0.01,0.16480912014337068,0.01,0.01,0.01,0.16148665624269365,0.01,0.01,0.01
70,Portree,-6.1960231,57.41246999999999,0.10412359035630128,0.01,0.01,0.01,0.01,0.01,0.01,0.4824926035917375,0.01,0.01,0.07409515774946406,0.09026237164969438,0.09397493755224612,0.01,0.07597172412778325,0.09413541675852725,0.031295332089930704,0.01,0.12328212849881992,0.27636877289617395,0.20586362769630268,0.03210536129592461,0.01,0.07733860239018084,0.14372982240389004,0.01,0.01,0.01
