,placename,shiver,sliver,speel,spelk,spell,spile,spill,splint,splinter,spool,longitude,latitude
70,Portree,0.027357577007254084,0.2824267772824268,0.01,0.06896551740377102,0.011140796381381149,0.01,0.01,0.21617851965783355,0.8870293,0.11297070011297068,-6.1960231,57.41246999999999
71,Islay,0.026907247005868454,0.4444444489444445,0.01,0.06298526175889271,0.02191482063036916,0.05761316434567899,0.01,0.21262002967443985,0.8765431999999999,0.01,-6.177067,55.73625
72,Mull,0.027357577007254084,0.4518828409518828,0.1771269229969782,0.07389162528518041,0.022281595425412897,0.01,0.01,0.30264992958763365,0.8535565,0.01,-6.0008870000000005,56.4392
73,Broadford,0.025741975463821464,0.265748026765748,0.01,0.06952794680274424,0.020965753437952542,0.01,0.01,0.2034120687174103,0.8858268,0.1062992161062992,-5.9096592,57.24139
74,Kyle of Lochalsh,0.027357577007254084,0.2824267772824268,0.08856345091515565,0.06896551740377102,0.011140796381381149,0.01,0.01,0.21617851965783355,0.8828451999999999,0.11297070011297068,-5.7143293,57.28261
75,Campbeltown,0.01,0.5062500005062499,0.01,0.05886699506954185,0.022188754124242756,0.05833333835000003,0.01,0.30138889092685184,0.8708333,0.01,-5.6053739999999985,55.42412
76,Penzance,0.01,0.20454545270454547,0.08017677299515999,0.01,0.010085798297437836,0.10606061263636367,0.01,0.03914141615067339,0.9545455,0.20454546620454547,-5.537592,50.1188
77,Oban,0.02724359200690336,0.44999999595,0.17638888365601846,0.06867816052201886,0.022188754124242756,0.01,0.01,0.30138889092685184,0.8583333000000001,0.01,-5.471047,56.41516
78,Lochgilphead,0.027130548545017074,0.4481327839481327,0.17565698264845547,0.07327841721626023,0.02209668499174702,0.05809129234854775,0.01,0.3430152153992623,0.8464729999999999,0.01,-5.4323449,56.03829
79,Helston,0.01,0.2007434882007435,0.07868649147976042,0.01,0.01,0.10408921662453532,0.01,0.038413877154068576,0.9553903,0.2007434882007435,-5.274996,50.10159
80,Redruth,0.01,0.20149253570149253,0.07898009431612764,0.01,0.01,0.10447761862686572,0.01,0.038557210820066336,0.9552239,0.20149254920149254,-5.226666000000002,50.23302
81,Ullapool,0.027357577007254084,0.2824267772824268,0.1771269229969782,0.03448275870188551,0.011140796381381149,0.01,0.01,0.08647140992980007,0.9205021,0.11297070011297068,-5.161313,57.89542
82,Ballachulish,0.02701843354467211,0.2789256197789256,0.26239669237809915,0.08270569568847001,0.02200537737732329,0.01,0.01,0.2988980719384756,0.8553719000000001,0.01,-5.1337199999999985,56.67393000000001
83,Fort William,0.05209929208338245,0.26892430676892426,0.2529880454475432,0.06566836052716736,0.021216338148702333,0.01,0.01,0.16467463423151835,0.8764940000000001,0.10756972810756972,-5.1052179,56.81981999999999
84,Achnasheen,0.027823239700994592,0.2297872397297872,0.2702127592921985,0.0450896128439589,0.011330427694563334,0.01,0.01,0.17588652817919614,0.9021277,0.1148936131148936,-5.078765799999998,57.57859000000001
85,Newquay,0.01,0.20454545270454547,0.08017677299515999,0.01,0.010085798297437836,0.10606061263636367,0.01,0.03914141615067339,0.9583333,0.10227273310227274,-5.0737190000000005,50.4155
86,Falmouth,0.01,0.20149253570149253,0.07898009431612764,0.01,0.01,0.10447761862686572,0.01,0.038557210820066336,0.9552239,0.20149254920149254,-5.0662699999999985,50.15257
87,Rothesay,0.027130548545017074,0.5041493735041493,0.01,0.07327841721626023,0.02209668499174702,0.05809129234854775,0.01,0.25726141413278003,0.8589211999999999,0.01,-5.055793,55.83596
88,Truro,0.01,0.2007434882007435,0.07868649147976042,0.01,0.01,0.10408921662453532,0.01,0.038413877154068576,0.9553903,0.2007434882007435,-5.0510410000000014,50.2632
89,Milford Haven,0.027942141624437363,0.17307692567307692,0.09045583560137696,0.010062734733246596,0.011378847995750068,0.1794871830769231,0.01,0.044159541127255474,0.9444444,0.1153846081153846,-5.0426971,51.71431
90,Stranraer,0.02880379316555013,0.2378854577378855,0.01,0.03630563524854885,0.09383790732639788,0.06167400437004403,0.01,0.09104258724180124,0.8986784,0.01,-5.0240550000000015,54.90337
91,Fishguard,0.028062063547883275,0.17381973617381974,0.09084405343872187,0.010105921915509412,0.011427683670430623,0.2403433494420601,0.01,0.044349064793037685,0.944206,0.01,-4.975989,51.99393
92,Inchnadamph,0.02701843354467211,0.2789256197789256,0.17493113530762172,0.03405528659846882,0.02200537737732329,0.01,0.01,0.08539945060146922,0.9173554,0.11157023711157024,-4.974295,58.15221
