index,placename,longitude,latitude,merger,no merger
156,Llandudno,-3.827609,53.324059999999996,0.01,0.28509768481754044
157,Aviemore,-3.823812,57.19449,0.01,0.20080145958654239
158,Dalbeattie,-3.8225269999999996,54.934219999999996,0.01,0.148827225701295
159,Falkirk,-3.7839131,56.00188000000001,0.01,0.3802426725227692
160,Kingsbridge,-3.777493,50.28395,0.03429877714149764,0.20979433083942173
161,Pitlochry,-3.729711,56.70436,0.01,0.16803158824257985
162,Colwyn Bay,-3.72764,53.29318000000001,0.01,0.26575002947498466
163,Totnes,-3.685797,50.43374,0.035402650792423426,0.2169444656963941
164,Grantown-on-Spey,-3.609628,57.33041,0.01,0.15226002241402728
165,Dumfries,-3.60512,55.070859999999996,0.01,0.30017108921258345
166,Whitehaven,-3.589233,54.5497,0.01,0.26460882025760657
167,Dartmouth,-3.578807,50.35252,0.09133866498227994,0.1601889114878428
168,Bridgend,-3.576945,51.504290000000005,0.1647873773785456,0.29894940966121375
169,Paignton,-3.564235,50.43508,0.14261910443959125,0.25706874904382
170,Workington,-3.5427519999999997,54.64357,0.01,0.2616705059072487
171,Llanidloes,-3.5401949999999998,52.447790000000005,0.01,0.16568792002136676
172,Exeter,-3.533899,50.71841,0.14262561665142315,0.42067607599982804
173,Torquay,-3.525315,50.46192,0.1455339075687569,0.2625754423687922
174,Thurso,-3.5220800000000003,58.59356999999999,0.01,0.20740684136087922
175,Livingston,-3.518068,55.90071,0.01,0.37499424950320714
176,Rhyl,-3.4916339999999995,53.319140000000004,0.01,0.2624381372112758
177,Tiverton,-3.491207,50.90205,0.11091724739829044,0.19717708678650392
178,Tiverton,-3.491207,50.90205,0.11091724739829044,0.19717708678650392
179,Minehead,-3.481152,51.20428,0.12264767579201731,0.14899848041138583
180,Dunfermline,-3.452151,56.071740000000005,0.01,0.35873175710018407
181,Perth,-3.4308381000000003,56.39499,0.01,0.25170878828554927
182,Prestatyn,-3.4076129999999996,53.33651,0.01,0.23044737562723722
183,Builth Wells,-3.4045919999999996,52.15002,0.01,0.21140539746768733
184,Braemar,-3.3979439,57.00646999999999,0.01,0.06291637152140743
185,Brecon,-3.391463,51.94895,0.01,0.24207994345760203
186,Merthyr Tydfil,-3.381646,51.74873,0.12268310262513552,0.3601258103847237
187,Llandrindod Wells,-3.377742,52.2417,0.01,0.18961438169588996
188,Corwen,-3.369242,52.98005,0.01,0.1560340829453405
189,Cockermouth,-3.367985,54.66326,0.01,0.2078199578422988
190,Lockerbie,-3.349008,55.122240000000005,0.01,0.27178828234498326
191,Blairgowrie,-3.3378318,56.58941,0.01,0.20657116537721917
192,Elgin,-3.318485,57.64945,0.01,0.3303183701350054
193,Newtown,-3.313106,52.51211,0.01,0.17361266786276708
194,Ruthin,-3.3103108,53.114869999999996,0.01,0.22552033727369025
195,Ruthin,-3.3103108,53.114869999999996,0.01,0.22552033727369025
