index,placename,longitude,latitude,her,hersel,herself,herseln,herselve,hersen
116,Pwllheli,-4.417633900000001,52.888819999999996,0.01,0.010845568165127497,0.16731675311057534,0.01,0.01,0.01
117,Lairg,-4.402414,58.022059999999996,0.01,0.09351827306922593,0.01,0.01,0.01,0.01
118,Launceston,-4.360451599999999,50.636829999999996,0.01,0.011660777100688614,0.19135722452901224,0.01,0.01,0.01
119,Carmarthen,-4.312131,51.857620000000004,0.01,0.01,0.2656038025099413,0.01,0.01,0.01
120,Llangefni,-4.311401999999999,53.25578,0.01,0.014812332293895154,0.24520479635565848,0.01,0.01,0.01
121,Caernarfon,-4.273911,53.13955,0.01,0.014053028646188076,0.23029574872162856,0.01,0.01,0.01
122,Cumnock,-4.265828900000001,55.45355,0.01,0.4171979869304076,0.09807719055992617,0.01,0.01,0.01
123,Aberaeron,-4.2581619,52.24279,0.01,0.01,0.15706536960752454,0.01,0.01,0.01
124,Alness,-4.256825,57.69595,0.01,0.2649462272087299,0.10785805525644042,0.01,0.01,0.018081832254016807
125,Glasgow,-4.251806,55.86424,0.01,1.0,0.32259579247705533,0.01,0.01,0.01
126,Dalwhinnie,-4.242783,56.9366,0.01,0.08182848893557268,0.01,0.01,0.01,0.01
127,Inverness,-4.224721,57.47776999999999,0.01,0.44567303301976763,0.19466053715126863,0.01,0.01,0.029093495145192414
128,Saltash,-4.21643,50.409209999999995,0.01,0.011812266549784402,0.194436112849717,0.01,0.01,0.01
129,Bideford,-4.206666,51.01668,0.01,0.013252186060711149,0.2237011962691175,0.01,0.01,0.01
130,Invergordon,-4.1728819999999995,57.688109999999995,0.01,0.26806626025054503,0.10966563647981431,0.01,0.01,0.01829476570350747
131,Llanelli,-4.160248,51.680890000000005,0.01,0.01,0.3034041862776624,0.01,0.01,0.01
132,Plymouth,-4.1426565,50.37546,0.01,0.02373707949814443,0.4367973302971398,0.01,0.01,0.01
133,Tavistock,-4.141654,50.551120000000004,0.01,0.013258006083184403,0.22381948304965635,0.01,0.01,0.01
134,Porthmadog,-4.1333839999999995,52.92784,0.01,0.012879450444574291,0.20725235447091503,0.01,0.01,0.01
135,Bangor,-4.129263,53.22739,0.01,0.01833314835841232,0.31433657858146247,0.01,0.01,0.01
136,Tywyn,-4.087249,52.58701,0.01,0.01,0.12362170987736494,0.01,0.01,0.01
137,Aberystwyth,-4.08292,52.4153,0.01,0.01,0.2904202354822008,0.01,0.01,0.01
138,Lampeter,-4.0785089999999995,52.1129,0.01,0.01,0.17316284207071675,0.01,0.01,0.01
139,Barnstaple,-4.058338,51.07816,0.01,0.016410749680561065,0.2878961926692281,0.01,0.01,0.01
140,Tain,-4.05523,57.8115,0.01,0.20840822507740545,0.06985335051904124,0.01,0.01,0.01
141,Okehampton,-4.004263,50.73831,0.01,0.010393264960740604,0.1655961675885396,0.01,0.01,0.01
142,Llandeilo,-3.9914300000000003,51.88469,0.01,0.01,0.22568991422718426,0.01,0.01,0.01
143,Motherwell,-3.9810968,55.78321,0.01,0.6486152054729392,0.17779497703109667,0.01,0.01,0.01
144,Golspie,-3.976086,57.97341,0.01,0.09351827306922593,0.01,0.01,0.01,0.01
145,Airdrie,-3.9625660000000003,55.86626999999999,0.01,0.5112612282824608,0.16961697787222169,0.01,0.01,0.01
