index,placename,longitude,latitude,avoid,demsel,demsels,emsel,emself,emselves,him,himself,theirsel,theirself,theirselfs,theirseln,theirselns,theirsels,theirselves,theirsen,theirsens,them,themsel,themself,themselfs,themseln,themselns,themsels,themselves,themsen,themsens
69,Scilly Isles,-6.327496599999999,49.92773,0.11078717793205116,0.01,0.01,0.01,0.3991551584959102,0.3729978739137973,0.22269209640017398,,0.01,0.21151404496572573,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1741027825266811,0.14453284552253878,0.01,0.01,0.01,0.12865113738042588,0.01,0.01
70,Portree,-6.1960231,57.41246999999999,0.2178975422760151,0.01,0.01,0.01,0.01,0.01,0.01,,0.18077979434344435,0.1927097492378931,0.01,0.01,0.01,0.040193283807536874,0.2555725915460185,0.01,0.01,0.01,0.24267722330657943,0.15123512682975163,0.09405956899736372,0.01,0.01,0.14680302212023572,0.0695251974675051,0.01,0.01
71,Islay,-6.177067,55.73625,0.18549042597506682,0.01,0.01,0.01,0.01,0.01,0.01,,0.32586993822364096,0.18011386981719743,0.01,0.01,0.01,0.1257650110692665,0.23439134578185283,0.01,0.01,0.01,0.33970403579120223,0.100962938478969,0.0735782365640722,0.01,0.01,0.01,0.015147052857310453,0.01,0.01
72,Mull,-6.0008870000000005,56.4392,0.17189232504691906,0.01,0.01,0.01,0.01,0.01,0.01,,0.328626101972109,0.18163724850408253,0.01,0.01,0.01,0.12682871447874425,0.236373796000244,0.01,0.01,0.01,0.4634868117284609,0.10181686932172004,0.07420055131148202,0.01,0.01,0.01,0.01541274381795929,0.01,0.01
73,Broadford,-5.9096592,57.24139,0.06493937425949756,0.01,0.01,0.01,0.01,0.01,0.01,,0.059091216279896046,0.11207443655478722,0.01,0.01,0.01,0.013137917515041871,0.08353862408742672,0.01,0.01,0.01,0.07932353469420643,0.04943399576855661,0.030745108185363846,0.01,0.01,0.047985280446602,0.011776150118756896,0.01,0.01
74,Kyle of Lochalsh,-5.7143293,57.28261,0.06493937425949756,0.01,0.01,0.01,0.01,0.01,0.01,,0.059091216279896046,0.06299074248213303,0.01,0.01,0.01,0.013137917515041871,0.08353862408742672,0.01,0.01,0.01,0.12942260992611884,0.04943399576855661,0.030745108185363846,0.01,0.01,0.047985280446602,0.011776150118756896,0.01,0.01
75,Campbeltown,-5.605373999999999,55.424119999999995,0.22979134452721797,0.01,0.01,0.01,0.01,0.01,0.01,,0.29821207749293954,0.19199616831301686,0.01,0.01,0.01,0.13406185907642854,0.24985438557020165,0.01,0.01,0.01,0.3621146627884585,0.0706536412393843,0.07843226901886122,0.01,0.01,0.01,0.01721943271220115,0.01,0.01
76,Penzance,-5.537592,50.1188,0.18120506415897208,0.01,0.01,0.01,0.6528637831085239,0.6100805610841004,0.3642383204366763,,0.01,0.34595534252208593,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2847649562601212,0.23639995200575958,0.01,0.01,0.01,0.22076277715797668,0.01,0.01
77,Oban,-5.471047,56.41516,0.22910479129503913,0.01,0.01,0.01,0.01,0.01,0.01,,0.4380056787635601,0.24209320514208063,0.01,0.01,0.01,0.1690422545214832,0.3150482093105105,0.01,0.01,0.01,0.6177532896833394,0.13570549231851842,0.09889738717277669,0.01,0.01,0.01,0.02595680704687185,0.01,0.01
78,Lochgilphead,-5.4323449,56.03829,0.16042328737731587,0.01,0.01,0.01,0.01,0.01,0.01,,0.28183194077254586,0.1557733179296739,0.01,0.01,0.01,0.10876915294532889,0.2027157467856176,0.01,0.01,0.01,0.2937965011967319,0.08731882742156755,0.06363488857705736,0.01,0.01,0.01,0.01090184142735245,0.01,0.01
