index,placename,longitude,latitude,'ee,du,tha,thee,thou,ye,you
118,Launceston,-4.360451599999999,50.636829999999996,0.4912473373820127,0.01,0.01,0.01,0.16833425419582596,0.02395580292635316,0.1617543455317043
119,Carmarthen,-4.312131,51.857620000000004,0.01,0.01,0.01,0.01,0.2173860663761031,0.01,0.2502209879117041
120,Llangefni,-4.311401999999999,53.25578,0.01,0.01,0.025822741241923887,0.01,0.01,0.02941598828343812,0.23181012893806194
121,Caernarfon,-4.273911,53.13955,0.01,0.01,0.024499026567573117,0.01,0.01,0.02790807806637333,0.21725318992496503
122,Cumnock,-4.265828900000001,55.45355,0.23434386706683535,0.01,0.01,0.01,0.01,0.37140489092903484,0.14089849887260558
123,Aberaeron,-4.2581619,52.24279,0.01,0.01,0.01,0.01,0.01,0.01,0.15206511804145353
124,Alness,-4.256825,57.69595,0.01,0.01,0.03257831252398579,0.01,0.01,0.25978117306212944,0.12696888119018646
125,Glasgow,-4.251806,55.86424,0.01,0.01,0.09328150173955696,0.01,0.01,0.8500932564543872,0.4351008632908671
126,Dalwhinnie,-4.242783,56.9366,0.01,0.01,0.01054092597638179,0.01,0.01,0.09606159766086968,0.01
127,Inverness,-4.224721,57.47776999999999,0.01,0.01,0.05241819324170471,0.01,0.01,0.4179854226673565,0.23605879238794483
128,Saltash,-4.21643,50.409209999999995,0.4976293124311181,0.01,0.01,0.01,0.17052114647683617,0.024267021583276652,0.16453343112750632
129,Bideford,-4.206666,51.01668,0.5582905033345443,0.01,0.01,0.01,0.01,0.027225180180745677,0.2008047760367295
130,Invergordon,-4.1728819999999995,57.688109999999995,0.01,0.01,0.03296195796250467,0.01,0.01,0.30038901240775945,0.12001626468976513
131,Llanelli,-4.160248,51.680890000000005,0.01,0.01,0.01,0.01,0.2437876763513722,0.01,0.2869456853041677
132,Plymouth,-4.1426565,50.37546,1.0,0.01,0.01,0.01,0.34266700577538767,0.04876525754626984,0.3832950418880405
133,Tavistock,-4.141654,50.551120000000004,0.5585356902992554,0.01,0.01,0.01,0.19139175261353508,0.027237136786226798,0.19105563406992335
134,Porthmadog,-4.1333839999999995,52.92784,0.01,0.01,0.02245309581027265,0.01,0.01,0.02557745504608114,0.1947540140556266
135,Bangor,-4.129263,53.22739,0.01,0.01,0.031960675524690875,0.01,0.01,0.03640801911606149,0.2993092182447948
136,Tywyn,-4.087249,52.58701,0.01,0.01,0.01,0.01,0.01,0.01,0.11836975913556982
137,Aberystwyth,-4.08292,52.4153,0.01,0.01,0.01,0.01,0.01,0.01,0.28642362137956173
138,Lampeter,-4.0785089999999995,52.1129,0.01,0.01,0.01,0.01,0.1528208440161181,0.01,0.16041062197308656
139,Barnstaple,-4.058338,51.07816,0.27654197180976703,0.01,0.01,0.01,0.23690456342815264,0.03371410685811136,0.26109795431276234
140,Tain,-4.05523,57.8115,0.01,0.01,0.024512101486704897,0.01,0.01,0.22338375547975345,0.07587767428936536
141,Okehampton,-4.004263,50.73831,0.43784935554321514,0.01,0.01,0.01,0.15003652764467668,0.021351836589533157,0.13850173783091083
142,Llandeilo,-3.9914300000000003,51.88469,0.01,0.01,0.01,0.01,0.18950828297810288,0.01,0.21144293004995934
143,Motherwell,-3.9810968,55.78321,0.01,0.01,0.05848700703003696,0.01,0.01,0.5330039647651892,0.25334866968014436
144,Golspie,-3.976086,57.97341,0.01,0.01,0.01054092597638179,0.01,0.01,0.10806929526713098,0.01
145,Airdrie,-3.9625660000000003,55.86626999999999,0.01,0.01,0.05122389772417514,0.01,0.01,0.46681377564234455,0.21540916057689372
146,Swansea,-3.9436459999999998,51.62144,0.01,0.01,0.01,0.01,0.3556620393767084,0.01,0.4425631696897279
147,Stirling,-3.9369029,56.116519999999994,0.01,0.01,0.05487311607179236,0.01,0.01,0.5000698430382183,0.23447118303708642
148,Tregaron,-3.934385,52.22,0.01,0.01,0.01,0.01,0.15003652764467668,0.01,0.15653763179249341
149,Tregaron,-3.934385,52.22,0.01,0.01,0.01,0.01,0.15003652764467668,0.01,0.15653763179249341
150,Castle Douglas,-3.9314139999999997,54.940419999999996,0.1769194368749455,0.01,0.01893411679485967,0.01,0.40416306425735454,0.21568812007489538,0.0831789484806102
151,Dolgellau,-3.8844,52.74215,0.01,0.01,0.015487740080627038,0.01,0.01,0.017642866668585996,0.11815574063185733
152,Aberfeldy,-3.866969,56.62175,0.01,0.01,0.03255517449458081,0.01,0.01,0.37085238754092975,0.09999089559018778
153,Machynlleth,-3.853485,52.59027,0.01,0.01,0.01,0.01,0.01,0.01,0.15780005727179927
154,Brora,-3.8525480000000005,58.012159999999994,0.01,0.01,0.021584364363157867,0.01,0.01,0.22129052521020767,0.05465027267383106
155,Llandudno,-3.827609,53.324059999999996,0.01,0.01,0.02776595658622207,0.01,0.01,0.03162960299089873,0.2531797396286259
156,Llandudno,-3.827609,53.324059999999996,0.01,0.01,0.02776595658622207,0.01,0.01,0.03162960299089873,0.2531797396286259
157,Aviemore,-3.823812,57.19449,0.01,0.01,0.02984647463596895,0.01,0.01,0.27199698057835553,0.10374225543965894
158,Dalbeattie,-3.8225269999999996,54.934219999999996,0.14059192657434097,0.01,0.01504630585080663,0.01,0.3211747949112849,0.17140009529852665,0.05538859065943209
159,Falkirk,-3.7839131,56.00188000000001,0.01,0.01,0.054970373938547805,0.01,0.01,0.5009561737160496,0.23497921831037535
160,Kingsbridge,-3.777493,50.28395,0.514690896507513,0.01,0.01,0.01,0.01,0.025099034124909388,0.18104925874408168
161,Pitlochry,-3.729711,56.70436,0.01,0.01,0.025258303756312772,0.01,0.01,0.25895704919130924,0.07283136651354226
162,Colwyn Bay,-3.72764,53.29318000000001,0.01,0.01,0.02596002285632561,0.01,0.01,0.029572372701457083,0.2333198199063557
163,Totnes,-3.685797,50.43374,0.5312557354427941,0.01,0.01,0.01,0.01,0.02590682276180085,0.18855499069561346
164,Grantown-on-Spey,-3.609628,57.33041,0.01,0.01,0.02305009737363873,0.01,0.01,0.23631773760571761,0.061903693744729864
165,Dumfries,-3.60512,55.070859999999996,0.2725903610096522,0.01,0.02917292652337528,0.01,0.6227182130957903,0.3821721208641771,0.14433611676712285
166,Whitehaven,-3.589233,54.5497,0.24157381552101212,0.01,0.14219427720105499,0.01,0.5518625610046793,0.07362758305334834,0.15396261447721346
167,Dartmouth,-3.578807,50.35252,0.45687906181598553,0.01,0.01,0.01,0.01,0.022279825116954675,0.15485400646808928
168,Bridgend,-3.576945,51.504290000000005,0.01,0.01,0.01,0.01,0.282450811857599,0.01,0.34072619160814066
169,Paignton,-3.564235,50.43508,0.7133855377242238,0.01,0.01,0.01,0.01,0.03478842947690597,0.27108024081430354
170,Workington,-3.5427519999999997,54.64357,0.23901108925562162,0.01,0.14068581483651674,0.01,0.5460081488577249,0.160262314605008,0.13067874197288482
171,Llanidloes,-3.5401949999999998,52.447790000000005,0.01,0.01,0.01,0.01,0.01,0.028399206651344,0.13289302068159256
