,placename,them_aint,them_arent,them_ent,them_int,them_isnt,thems_not,they_aint,they_arent,they_ent,they_int,theym_not,theyre_not,theys_not,longitude,latitude
34,Laois,0.01,0.19388380126825594,0.01,0.01,0.8253275088372054,0.3445664754092897,0.1070740897703268,0.0782781669833886,0.01,0.01,0.01,0.8995817849190496,0.01,-7.3323006999999985,52.9943
35,Omagh,0.1263663260736189,0.5360353725668945,0.01,0.01,0.20246384859049807,0.4648971557617187,0.1344680118890279,0.6881977101473936,0.01,0.01,0.01,0.2532294224812566,0.01,-7.309959700000001,54.59771
36,Derry,0.13463530093762718,0.5016659532654166,0.01,0.01,0.01,0.4953184160356229,0.13360499675524598,0.7314008565674903,0.01,0.01,0.01,0.21803710083375646,0.01,-7.308574799999999,54.99661
37,Derry,0.13463530093762718,0.5016659532654166,0.01,0.01,0.01,0.4953184160356229,0.13360499675524598,0.7314008565674903,0.01,0.01,0.01,0.21803710083375646,0.01,-7.308574799999999,54.99661
38,Kilkenny,0.01,0.2298542901446897,0.01,0.01,0.6419170714422945,0.2456614784006373,0.08981398942392699,0.11874332283896355,0.01,0.01,0.01,0.880855297581991,0.01,-7.2447879,52.65415
39,Tyrone,0.149720303208603,0.5920275946209799,0.01,0.01,0.2398815391854492,0.01,0.13132519136198212,0.7680362292121656,0.01,0.01,0.01,0.17709479923766444,0.01,-7.1312320000000025,54.491209999999995
40,Waterford,0.027356552483520032,0.2667759532173603,0.01,0.01,0.43830603443808297,0.01,0.06294442375965198,0.08339979767611168,0.01,0.01,0.01,0.9490701875665992,0.01,-7.110070200000001,52.25932
41,Western Isles,0.01,0.26101005069843763,0.01,0.01,0.23683686260213396,0.01,0.19672742977890634,0.35220429040096063,0.01,0.01,0.01,0.5598731223288661,0.01,-7.0194034,57.75989000000001
42,Monaghan,0.1437890758803177,0.5138095872443887,0.01,0.01,0.4607570910550512,0.01,0.11093602887675263,0.7416123512115796,0.01,0.01,0.01,0.21977297986838634,0.01,-6.9683132,54.2492
43,Carlow,0.01,0.2233254441214442,0.01,0.01,0.5378939592523412,0.2744691607895158,0.09892762671000073,0.05877490049257365,0.01,0.01,0.01,0.9362212453261118,0.01,-6.934135899999999,52.83651
44,Kildare,0.04533807869079004,0.3617126673592435,0.01,0.01,0.4156654750821533,0.22239619961370788,0.09414832683633917,0.052613287195923335,0.023237740490573502,0.01,0.01,0.9392858643302636,0.2434234854402096,-6.8194707999999995,53.21204
45,Dungannon,0.1668500188594467,0.515045019685378,0.01,0.01,0.2673267317750496,0.01,0.07282339162317296,1.0,0.01,0.01,0.01,0.01,0.01,-6.7669352,54.508269999999996
46,Cookstown,0.1837429332989372,0.573439220817185,0.01,0.01,0.294392521986729,0.01,0.06648364773071372,0.9715699010125646,0.01,0.01,0.01,0.02998621226993418,0.01,-6.7443895000000005,54.641819999999996
47,Coleraine,0.15077279707634553,0.4320399124782524,0.01,0.01,0.01,0.5546876822722243,0.06983903535569906,0.8985948889582211,0.01,0.01,0.01,0.11106723141616412,0.01,-6.6646103000000005,55.132580000000004
