index,placename,longitude,latitude,himsel,himself,himsen,hissel,hisself
152,Aberfeldy,-3.866969,56.62175,0.37521706133763916,0.1664136741177917,0.01,0.01,0.01
153,Machynlleth,-3.853485,52.59027,0.01,0.12930866060589324,0.01,0.01,0.09207149244203224
154,Brora,-3.8525480000000005,58.012159999999994,0.3863890833840649,0.08282578923732742,0.01,0.01,0.01
155,Llandudno,-3.827609,53.324059999999996,0.06996112167641977,0.2382605864175938,0.01,0.01,0.01
156,Llandudno,-3.827609,53.324059999999996,0.06996112167641977,0.2382605864175938,0.01,0.01,0.01
157,Aviemore,-3.823812,57.19449,0.2299534528720889,0.14705618372608045,0.01,0.01,0.01
158,Dalbeattie,-3.8225269999999996,54.934219999999996,0.05373341272127243,0.09245655629419844,0.01,0.42877100270700197,0.3027379426905033
159,Falkirk,-3.7839131,56.00188000000001,0.7398323400360033,0.33316054968241754,0.01,0.5271039929610228,0.24811124180163757
160,Kingsbridge,-3.777493,50.28395,0.01,0.17342271849341084,0.01,0.01,0.01
161,Pitlochry,-3.729711,56.70436,0.29303588938117414,0.11159312233946353,0.01,0.01,0.01
162,Colwyn Bay,-3.72764,53.29318000000001,0.06434600463721861,0.2176935927287606,0.01,0.01,0.01
163,Totnes,-3.685797,50.43374,0.01,0.1815175945826493,0.01,0.01,0.01
164,Grantown-on-Spey,-3.609628,57.33041,0.3286288790700693,0.09448009917747141,0.01,0.01,0.01
165,Dumfries,-3.60512,55.070859999999996,0.10154444890260805,0.25264320681491337,0.01,0.8102838426124835,0.5721087816227526
166,Whitehaven,-3.589233,54.5497,0.1455086366945114,0.21433703190056394,0.01,0.8293573914166498,0.5855758621363264
167,Dartmouth,-3.578807,50.35252,0.01,0.14517133372910082,0.01,0.01,0.01
168,Bridgend,-3.576945,51.504290000000005,0.01,0.32470825363632855,0.01,0.01,0.01
169,Paignton,-3.564235,50.43508,0.01,0.2705204630914126,0.01,0.01,0.01
170,Workington,-3.5427519999999997,54.64357,0.10599338035735914,0.2119386067873061,0.01,0.6041318158053248,0.42655313965728664
171,Llanidloes,-3.5401949999999998,52.447790000000005,0.01,0.11147369850396,0.01,0.01,0.08519940046082372
172,Exeter,-3.533899,50.71841,0.01,0.4448523297973273,0.01,0.01,0.01
173,Torquay,-3.525315,50.46192,0.01,0.27764536370400594,0.01,0.01,0.01
174,Thurso,-3.5220800000000003,58.59356999999999,0.5905218876871535,0.15097545338849552,0.01,0.01,0.01
175,Livingston,-3.518068,55.90071,0.2662372556586803,0.33050814131830525,0.01,0.01,1.0
176,Rhyl,-3.4916339999999995,53.319140000000004,0.03336984325869068,0.21443259891075978,0.01,0.01,0.01
