index,placename,longitude,latitude,'ee,du,tha,thee,thou,ye,you
154,Brora,-3.8525480000000005,58.012159999999994,0.01,0.01,0.06646601539090997,0.01,0.01,0.8541124760631533,0.35693717037461925
155,Llandudno,-3.827609,53.324059999999996,0.01,0.01,0.04579114477511263,0.01,0.01,0.06538143788844367,0.876035125106057
156,Llandudno,-3.827609,53.324059999999996,0.01,0.01,0.04579114477511263,0.01,0.01,0.06538143788844367,0.876035125106057
157,Aviemore,-3.823812,57.19449,0.01,0.01,0.06755186328164373,0.01,0.01,0.7716142518543764,0.42810815737510144
158,Dalbeattie,-3.8225269999999996,54.934219999999996,0.37962511943433225,0.01,0.04440965131095299,0.01,0.6427623139560525,0.6340892678909187,0.3228320165356759
159,Falkirk,-3.7839131,56.00188000000001,0.01,0.01,0.0696464709414178,0.01,0.01,0.7955400037701524,0.4606285147361963
160,Kingsbridge,-3.777493,50.28395,0.9673359414926574,0.01,0.01,0.01,0.01,0.0646297730524112,0.8033461521387899
161,Pitlochry,-3.729711,56.70436,0.01,0.01,0.0669904491627306,0.01,0.01,0.8608516408039075,0.3646508601115291
162,Colwyn Bay,-3.72764,53.29318000000001,0.01,0.01,0.04563742397640949,0.01,0.01,0.06516195250754893,0.8710106371879777
163,Totnes,-3.685797,50.43374,0.9688692703292646,0.01,0.01,0.01,0.01,0.0647322180154007,0.8056033911611703
164,Grantown-on-Spey,-3.609628,57.33041,0.01,0.01,0.06668471798139829,0.01,0.01,0.8569228839081968,0.36015398061517406
165,Dumfries,-3.60512,55.070859999999996,0.3924031158331556,0.01,0.04590445851804698,0.01,0.6643973800056019,0.7537472474382538,0.2983244231588502
166,Whitehaven,-3.589233,54.5497,0.3900402403511902,0.01,0.25095427189819147,0.01,0.6603966771157584,0.16287142090387,0.46057190958995814
167,Dartmouth,-3.578807,50.35252,0.9615902756738673,0.01,0.01,0.01,0.01,0.06424589289043728,0.7948878614016058
168,Bridgend,-3.576945,51.504290000000005,0.01,0.01,0.01,0.01,0.251530241256199,0.01,0.9130134187783255
169,Paignton,-3.564235,50.43508,0.9832551165915411,0.01,0.01,0.01,0.01,0.06569336702188044,0.8267810360198106
170,Workington,-3.5427519999999997,54.64357,0.38983230427883847,0.01,0.2508204845597583,0.01,0.660044610131311,0.3581260964959757,0.3482008733244032
171,Llanidloes,-3.5401949999999998,52.447790000000005,0.01,0.01,0.01,0.01,0.01,0.09558767591878191,0.85635295477692
172,Exeter,-3.533899,50.71841,0.4013577818637163,0.01,0.01,0.01,0.2548346330168732,0.06703893032370081,0.8564287405366564
