,"placename","preposition_drop_determiner","preposition_drop_no_determiner","preposition_retained","preposition_drop_reduced_determiner","longitude","latitude"
143,"Motherwell",0.034541328346063,0.01,0.973967908931312,0.01,-3.9810968,55.78321
144,"Golspie",0.01,0.026296712548969,0.983622012413431,0.01,-3.976086,57.97341
145,"Airdrie",0.037297273438642,0.01,0.971099722149265,0.01,-3.962566,55.86627
146,"Swansea",0.059165672842861,0.117280461116329,0.882803493178142,0.01,-3.943646,51.62144
147,"Stirling",0.01,0.02573007882268,0.98413157821982,0.01,-3.9369029,56.11652
148,"Tregaron",0.0419344227555,0.138489951111271,0.886156536403976,0.01,-3.934385,52.22
149,"Tregaron",0.0419344227555,0.138489951111271,0.886156536403976,0.01,-3.934385,52.22
150,"Castle Douglas",0.105295237148297,0.139692045561962,0.826354349538989,0.01,-3.931414,54.94042
151,"Dolgellau",0.07548133647193,0.09521800693674,0.880815339848772,0.01,-3.8844,52.74215
152,"Aberfeldy",0.014982769107557,0.023600494597415,0.980160282550697,0.01,-3.866969,56.62175
153,"Machynlleth",0.068673111181146,0.112320899125142,0.876911260557637,0.01,-3.853485,52.59027
154,"Brora",0.01,0.026433207802705,0.983499329564148,0.01,-3.852548,58.01216
155,"Llandudno",0.516665711373027,0.095987089118199,0.468966595706446,0.01,-3.827609,53.32406
156,"Llandudno",0.516665711373027,0.095987089118199,0.468966595706446,0.01,-3.827609,53.32406
157,"Aviemore",0.01,0.01,0.999277553531193,0.01,-3.823812,57.19449
158,"Dalbeattie",0.110470963791611,0.153128463202434,0.813473514327974,0.01,-3.822527,54.93422
159,"Falkirk",0.01,0.01,1,0.01,-3.7839131,56.00188
160,"Kingsbridge",0.01,0.609768970555932,0.633926991609184,0.01,-3.777493,50.28395
161,"Pitlochry",0.021098970927029,0.053817212822262,0.956343221686181,0.01,-3.729711,56.70436
162,"Colwyn Bay",0.543425252508236,0.097138850331556,0.4433238066933,0.01,-3.72764,53.29318
163,"Totnes",0.012487680237536,0.596386731333107,0.639120968745248,0.01,-3.685797,50.43374
164,"Grantown-on-Spey",0.010370762380528,0.011853246796753,0.991502916741544,0.01,-3.609628,57.33041
165,"Dumfries",0.104075662176699,0.147099318476667,0.823051243416597,0.01,-3.60512,55.07086
166,"Whitehaven",0.111840035994523,0.19484213508462,0.787191046571101,0.01,-3.589233,54.5497
167,"Dartmouth",0.01247178266397,0.593385830402171,0.64093477419444,0.01,-3.578807,50.35252
168,"Bridgend",0.058209654031423,0.127731877387035,0.877429638794045,0.01,-3.576945,51.50429
169,"Paignton",0.012503603754222,0.594442969625952,0.640271250051838,0.01,-3.564235,50.43508
170,"Workington",0.118435364626972,0.201942153879885,0.776784949060699,0.01,-3.542752,54.64357
171,"Llanidloes",0.060369541108135,0.138153108704049,0.869168417633154,0.01,-3.540195,52.44779
