index,placename,longitude,latitude,dinna,dinnae,dinnit,divna,divnae,divnt,dont
180,Dunfermline,-3.452151,56.071740000000005,0.036139776758699206,1.0,0.01,0.01,0.01,0.01,0.2604930587979259
181,Perth,-3.4308381000000003,56.39499,0.021043015911083453,0.6464165490780752,0.01,0.01,0.01,0.01,0.1691210458982468
182,Prestatyn,-3.4076129999999996,53.33651,0.01,0.01,0.01,0.01,0.4336623177027571,0.01,0.18609468146043961
183,Builth Wells,-3.4045919999999996,52.15002,0.01,0.01,0.01,0.01,0.01,0.01,0.16558099197632478
184,Braemar,-3.3979439,57.00646999999999,0.020894746787898145,0.0757160425908635,0.01,0.01,0.01,0.01,0.01
185,Brecon,-3.391463,51.94895,0.01,0.01,0.01,0.01,0.01,0.01,0.19857304721225696
186,Merthyr Tydfil,-3.381646,51.74873,0.01,0.01,0.01,0.01,0.01,0.01,0.37592585427719166
187,Llandrindod Wells,-3.377742,52.2417,0.010060265195464997,0.01,0.01,0.01,0.01,0.01,0.14250195900393686
188,Corwen,-3.369242,52.98005,0.01,0.01,0.01,0.01,0.01,0.01,0.10733645981067097
189,Cockermouth,-3.367985,54.66326,0.01,0.021031509386297706,0.01,0.01,0.01,0.05533307127880291,0.160486531339653
190,Lockerbie,-3.349008,55.122240000000005,0.01,0.15740150408724152,0.01,0.01,0.01,0.05851280899665491,0.21972022336288896
191,Blairgowrie,-3.3378318,56.58941,0.2611315992416088,0.18464637561596314,0.01,0.01,0.01,0.01,0.13568028914430155
192,Elgin,-3.318485,57.64945,1.0,0.07809737587966045,0.01,0.01,0.01,0.01,0.2324455145514451
193,Newtown,-3.313106,52.51211,0.01,0.01,0.01,0.01,0.01,0.01,0.12612071993196913
194,Ruthin,-3.3103108,53.114869999999996,0.01,0.01,0.01,0.01,0.01,0.01,0.18083419948094223
195,Ruthin,-3.3103108,53.114869999999996,0.01,0.01,0.01,0.01,0.01,0.01,0.18083419948094223
196,Sidmouth,-3.2375599999999998,50.67865,0.01,0.01,0.01,0.01,0.01,0.01,0.1809899646326332
197,Barrow-in-Furness,-3.2188939999999997,54.10896999999999,0.01,0.01,0.01,0.01,0.01,0.01,0.27406062679972126
198,Peebles,-3.1936419999999996,55.65306999999999,0.015377921091469456,0.4530462199123668,0.01,0.01,0.01,0.01,0.14719554378836863
199,Edinburgh,-3.1882669999999997,55.95325,0.03389212130490407,0.7540972146956904,0.01,0.01,0.27301381380737766,0.01,0.5373056922046163
200,Cardiff,-3.17909,51.48158,0.01,0.01,0.01,0.01,0.01,0.01,0.5469936054257549
201,Llangollen,-3.1716599999999997,52.96921,0.01,0.01,0.01,0.01,0.01,0.01,0.13755548861330466
202,Kirkcaldy,-3.158137,56.11682,0.02317827328465747,0.6927488397640055,0.01,0.01,0.17903670888759396,0.01,0.31609784652733663
203,Welshpool,-3.146407,52.66035,0.01,0.01,0.01,0.01,0.01,0.01,0.1798003870360331
204,Mold,-3.1419029999999997,53.1672,0.01,0.01,0.01,0.01,0.01,0.01,0.2661463392295822
205,Mold,-3.1419029999999997,53.1672,0.01,0.01,0.01,0.01,0.01,0.01,0.2661463392295822
206,Taunton,-3.106849,51.01534,0.01,0.01,0.01,0.01,0.01,0.01,0.296127702180845
207,Wick,-3.093716,58.43894,0.34983045133496654,0.10470754467923146,0.01,0.01,0.01,0.01,0.1268985560539807
208,John o' Groats,-3.0688997000000002,58.63734,0.1234177486186908,0.036940093065959065,0.01,0.01,0.01,0.01,0.01
209,Dalkeith,-3.066606,55.893119999999996,0.018902856367602812,0.49313909702344677,0.01,0.01,0.1756957264419293,0.01,0.2636428805227843
210,Oswestry,-3.056412,52.85715,0.01,0.01,0.01,0.01,0.01,0.01,0.23177997169204936
211,Blackpool,-3.0356748,53.81751,0.01,0.01,0.01,0.01,0.01,0.017758718423755294,0.3947670770463413
212,Birkenhead,-3.023009,53.389990000000004,0.01,0.01,0.01,0.01,0.1694580737280917,0.01,0.3859770940267654
