placename,past_participle,present_participle,longitude,latitude
Elgin,0.19899875,0.8010013, -3.3184850,57.64945
Newtown,0.50456323,0.4954368, -3.3131060,52.51211
Ruthin,0.44512041,0.5548796, -3.3103108,53.11487
Ruthin,0.44512041,0.5548796, -3.3103108,53.11487
Sidmouth,0.55523535,0.4447646, -3.2375600,50.67865
Barrow-in-Furness,0.69727047,0.3027295, -3.2188940,54.10897
Peebles,0.11259259,0.8874074, -3.1936420,55.65307
Edinburgh,0.11072179,0.8892782, -3.1882670,55.95325
Cardiff,0.50610885,0.4938912, -3.1790900,51.48158
Llangollen,0.38766007,0.6123399, -3.1716600,52.96921
Kirkcaldy,0.11921459,0.8807854, -3.1581370,56.11682
Welshpool,0.42967742,0.5703226, -3.1464070,52.66035
Mold,0.44868857,0.5513114, -3.1419030,53.16720
Mold,0.44868857,0.5513114, -3.1419030,53.16720
Taunton,0.59858323,0.4014168, -3.1068490,51.01534
Wick,0.20807062,0.7919294, -3.0937160,58.43894
John o' Groats,0.20807062,0.7919294, -3.0688997,58.63734
Dalkeith,0.11444522,0.8855548, -3.0666060,55.89312
Oswestry,0.44406393,0.5559361, -3.0564120,52.85715
Blackpool,0.71739130,0.2826087, -3.0356748,53.81751
Birkenhead,0.50843541,0.4915646, -3.0230090,53.38999
Cupar,0.13529036,0.8647096, -3.0101370,56.32023
Southport,0.69931440,0.3006856, -3.0101130,53.64571
Bridgwater,0.53834916,0.4616508, -3.0036320,51.12789
Langholm,0.35014409,0.6498559, -2.9989130,55.15306
Newport,0.54548944,0.4545106, -2.9976640,51.58415
Axminster,0.56145833,0.4385417, -2.9949370,50.78273
Wrexham,0.45060659,0.5493934, -2.9924940,53.04304
Liverpool,0.50497570,0.4950243, -2.9915726,53.40837
Weston-super-Mare,0.54409394,0.4559061, -2.9772550,51.34741
Dundee,0.13426219,0.8657378, -2.9707210,56.46202
Kirkwall,0.20807062,0.7919294, -2.9622491,58.98467
Ambleside,0.61966236,0.3803376, -2.9613330,54.42874
Orkney Islands,0.20807062,0.7919294, -2.9605206,58.98094
Lyme Regis,0.57889237,0.4211076, -2.9366390,50.72516
Carlisle,0.43858478,0.5614152, -2.9329310,54.89247
Chester,0.48115345,0.5188465, -2.8930750,53.19339
Forfar,0.18007203,0.8199280, -2.8890620,56.64356
Morecambe,0.69791667,0.3020833, -2.8649680,54.07417
