,Unnamed:_0,Unnamed:_0,placename,avoid,demsel,demsels,emsel,emself,emsels,emsen,hersel,himself,himsen,theirsel,theirself,theirselfs,theirseln,theirsels,theirselves,theirsen,theirsens,them,themsel,themself,themselfs,themselns,themsels,themselves,themsen,themsens,theysen,longitude,latitude
70,70,70,Portree,0.16666665,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.19856194416438253,0.2648809535289116,0.11805554940972225,0.01,0.17914171410837007,0.2242063503202948,0.06249999929687501,0.01,0.16326530594752184,0.6320797499093075,0.45502650000000006,0.05555555618055556,0.01,0.09607645809830816,0.3144015,0.01,0.01,0.01,-6.1960231,57.41246999999999
71,71,71,Islay,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.988384954864124,0.15773809454931975,0.11805554940972225,0.01,0.5144710584527351,0.2718253975311791,0.06249999929687501,0.01,0.16326530594752184,0.6320797499093075,0.309193125,0.05555555618055556,0.01,0.34959758325204754,0.293568125,0.01,0.01,0.01,-6.177067,55.73625
72,72,72,Mull,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.988384954864124,0.15773809454931975,0.11805554940972225,0.01,0.5144710584527351,0.2718253975311791,0.06249999929687501,0.01,0.16326530594752184,0.7462618934180715,0.309193125,0.05555555618055556,0.01,0.09607645809830816,0.3144015,0.01,0.01,0.01,-6.0008870000000005,56.4392
73,73,73,Broadford,0.16666665,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.3379424774320621,0.2648809535289116,0.11805554940972225,0.01,0.17914171410837007,0.2242063503202948,0.06249999929687501,0.01,0.16326530594752184,0.7462618934180715,0.45502650000000006,0.05555555618055556,0.01,0.09607645809830816,0.2727347499999999,0.01,0.01,0.01,-5.9096592,57.24139
74,74,74,Kyle of Lochalsh,0.16666665,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.3379424774320621,0.2648809535289116,0.11805554940972225,0.01,0.17914171410837007,0.2242063503202948,0.06249999929687501,0.01,0.16326530594752184,0.7462618934180715,0.45502650000000006,0.05555555618055556,0.01,0.09607645809830816,0.2727347499999999,0.01,0.01,0.01,-5.7143293,57.28261
75,75,75,Campbeltown,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.8954646021399484,0.15773809454931975,0.06250000468749997,0.01,0.5144710584527351,0.2718253975311791,0.01,0.01,0.19897959028425646,0.8287267778859251,0.305720875,0.05555555618055556,0.01,0.4129778702447078,0.2727347499999999,0.01,0.01,0.01,-5.605373999999999,55.424119999999995
76,76,76,Penzance,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.4833332656666694,0.01,0.01,0.5714285705102041,0.01,0.01,0.01,0.2142857145918368,0.01,0.01,0.26190476180272104,0.01,0.458333375,0.01,0.01,0.01,0.44444449999999996,0.01,0.01,0.01,-5.537592,50.1188
77,77,77,Oban,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.988384954864124,0.15773809454931975,0.11805554940972225,0.01,0.5144710584527351,0.2718253975311791,0.06249999929687501,0.01,0.16326530594752184,0.9746261941374572,0.309193125,0.05555555618055556,0.01,0.09607645809830816,0.2727347499999999,0.01,0.01,0.01,-5.471047,56.41516
78,78,78,Lochgilphead,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.988384954864124,0.15773809454931975,0.11805554940972225,0.01,0.5144710584527351,0.2718253975311791,0.06249999929687501,0.01,0.16326530594752184,0.7462618934180715,0.309193125,0.05555555618055556,0.01,0.09607645809830816,0.3144015,0.01,0.01,0.01,-5.4323449,56.03829
79,79,79,Helston,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.4833332656666694,0.01,0.01,0.5714285705102041,0.01,0.01,0.01,0.2142857145918368,0.01,0.01,0.26190476180272104,0.01,0.5,0.01,0.01,0.01,0.40277775,0.01,0.01,0.01,-5.274996,50.10159
80,80,80,Redruth,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.4833332656666694,0.01,0.01,0.5714285705102041,0.01,0.01,0.01,0.2142857145918368,0.01,0.01,0.26190476180272104,0.01,0.5,0.01,0.01,0.01,0.40277775,0.01,0.01,0.01,-5.226666000000002,50.23302
81,81,81,Ullapool,0.25,0.01,0.01,0.01,0.01,0.5000001500000151,0.01,1.0,0.01,0.01,0.26327433132469263,0.20238094870748305,0.3055555484722223,0.01,0.27944111651451586,0.08730158583900226,0.06249999929687501,0.01,0.33333333476190474,0.7231536075265071,0.289351875,0.01388888998263889,0.01,0.3661971833128347,0.351851875,0.01,0.01,0.01,-5.161313,57.895419999999994
82,82,82,Ballachulish,0.16666665,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.6167035356045892,0.2648809535289116,0.11805554940972225,0.01,0.4306387242528714,0.2242063503202948,0.06249999929687501,0.01,0.16326530594752184,0.8604440437777644,0.35085975,0.05555555618055556,0.01,0.09607645809830816,0.2727347499999999,0.01,0.01,0.01,-5.133719999999999,56.67393000000001
83,83,83,Fort William,0.16666665,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.6167035356045892,0.2648809535289116,0.11805554940972225,0.01,0.4306387242528714,0.2242063503202948,0.06249999929687501,0.01,0.16326530594752184,0.8604440437777644,0.3925265,0.05555555618055556,0.01,0.09607645809830816,0.231068125,0.01,0.01,0.01,-5.1052179,56.81981999999999
84,84,84,Achnasheen,0.25,0.01,0.01,0.01,0.01,0.5000001500000151,0.01,1.0,0.01,0.01,0.12389380641984493,0.20238094870748305,0.3055555484722223,0.01,0.27944111651451586,0.23015873175736964,0.06249999929687501,0.01,0.33333333476190474,0.3806071632983573,0.289351875,0.01388888998263889,0.01,0.3661971833128347,0.3935185,0.01,0.01,0.01,-5.078765799999998,57.57859000000001
