placename,past participle,present participle,longitude,latitude
Yeovil,0.13093623,0.8690638, -2.6333080,50.94206
Wigan,0.11681034,0.8831897, -2.6325074,53.54506
Warrington,0.11742264,0.8825774, -2.5969501,53.39004
Arbroath,0.15663391,0.8433661, -2.5915430,56.55911
Bristol,0.15815385,0.8418462, -2.5879100,51.45451
Guernsey,0.11544462,0.8845554, -2.5852780,49.46569
Ross-on-Wye,0.16116035,0.8388396, -2.5824460,51.91445
Jedburgh,0.16310006,0.8368999, -2.5549369,55.47772
Sedbergh,0.10882353,0.8911765, -2.5281740,54.32363
Nantwich,0.11674641,0.8832536, -2.5241020,53.06718
Banff,0.10674157,0.8932584, -2.5240380,57.66651
Dunbar,0.15079365,0.8492063, -2.5167370,56.00209
Cinderford,0.18264151,0.8173585, -2.5009579,51.82530
Banchory,0.13903394,0.8609661, -2.4909599,57.05386
Blackburn,0.10727763,0.8927224, -2.4875290,53.74858
Market Drayton,0.12127237,0.8787276, -2.4834850,52.90355
Telford,0.12157414,0.8784259, -2.4672611,52.67759
Montrose,0.15663391,0.8433661, -2.4661150,56.70692
Turriff,0.11428571,0.8857143, -2.4623000,57.53893
Weymouth,0.12299916,0.8770008, -2.4576210,50.61443
Crewe,0.13421550,0.8657845, -2.4438209,53.10040
Fortuneswell,0.12238055,0.8776194, -2.4422190,50.55919
Dorchester,0.12268908,0.8773109, -2.4411810,50.71116
Alston,0.10320000,0.8968000, -2.4386850,54.81217
Kelso,0.15639810,0.8436019, -2.4322070,55.60003
Wincanton,0.13106061,0.8689394, -2.4160070,51.05569
Clitheroe,0.09686888,0.9031311, -2.3930830,53.87110
Sark,0.11047929,0.8895207, -2.3666256,49.43007
Bath,0.16604893,0.8339511, -2.3590167,51.38106
Kidderminster,0.11242604,0.8875740, -2.2496839,52.38860
Manchester,0.11660398,0.8833960, -2.2426305,53.48076
Burnley,0.11791269,0.8820873, -2.2405035,53.78929
Gloucester,0.18659558,0.8134044, -2.2381560,51.86424
Newcastle-under-Lyme,0.11902439,0.8809756, -2.2273002,53.01321
Worcester,0.13443831,0.8655617, -2.2215750,52.19364
Trowbridge,0.15442279,0.8455772, -2.2088530,51.31966
Shaftesbury,0.13265993,0.8673401, -2.1980830,51.00460
Alderney,0.11021070,0.8897893, -2.1973557,49.71500
Stoke-on-Trent,0.10956175,0.8904382, -2.1794040,53.00267
Colne,0.11629996,0.8837000, -2.1769910,53.85564
Blandford Forum,0.12358049,0.8764195, -2.1653530,50.85691
Rochdale,0.11410550,0.8858945, -2.1561000,53.60971
Jersey,0.11129296,0.8887070, -2.1312500,49.21444
Wolverhampton,0.12370466,0.8762953, -2.1288200,52.58697
Stafford,0.11299053,0.8870095, -2.1206600,52.80669
Macclesfield,0.12268266,0.8773173, -2.1192870,53.25866
Hexham,0.10336538,0.8966346, -2.1121439,54.97266
Aberdeen,0.11267606,0.8873239, -2.0942780,57.14972
Dudley,0.11224490,0.8877551, -2.0811120,52.51225
Cheltenham,0.16700337,0.8329966, -2.0782533,51.89939
Bromsgrove,0.11400000,0.8860000, -2.0619060,52.33559
Skipton,0.12142359,0.8785764, -2.0162787,53.96285
Fraserburgh,0.10888252,0.8911175, -2.0076310,57.69335
Berwick,0.15123095,0.8487691, -2.0053950,55.77024
Poole,0.11900826,0.8809917, -1.9872480,50.71505
Walsall,0.11846459,0.8815354, -1.9829190,52.58621
Cirencester,0.17773167,0.8222683, -1.9682430,51.71849
Evesham,0.12637363,0.8736264, -1.9467700,52.09215
Buxton,0.13307618,0.8669238, -1.9148300,53.25908
Keighley,0.14351852,0.8564815, -1.9123580,53.86780
Birmingham,0.10882957,0.8911704, -1.8904010,52.48624
Bournemouth,0.11292962,0.8870704, -1.8807690,50.71916
Halifax,0.14155251,0.8584475, -1.8575400,53.72702
Salisbury,0.14344600,0.8565540, -1.7944720,51.06878
Ringwood,0.12000000,0.8800000, -1.7888170,50.84495
Huddersfield,0.13250715,0.8674929, -1.7850351,53.64579
Peterhead,0.11331445,0.8866856, -1.7840660,57.50812
Swindon,0.17227235,0.8277276, -1.7797176,51.55577
Bradford,0.14955357,0.8504464, -1.7593980,53.79598
Ashbourne,0.14531138,0.8546886, -1.7321790,53.01663
Marlborough,0.16041276,0.8395872, -1.7270620,51.42007
Stratford-upon-Avon,0.12016293,0.8798371, -1.7082980,52.19173
Alnwick,0.10594315,0.8940568, -1.7062990,55.41274
Otley,0.12473573,0.8752643, -1.6917860,53.90583
Bishop Auckland,0.10194175,0.8980583, -1.6787880,54.66382
Burton upon Trent,0.13703284,0.8629672, -1.6371359,52.81403
Newcastle,0.10679612,0.8932039, -1.6177800,54.97825
Durham,0.10194175,0.8980583, -1.5848520,54.77525
Ashington,0.11165049,0.8883495, -1.5659829,55.18298
Darlington,0.10765550,0.8923445, -1.5594580,54.52361
Leeds,0.13978495,0.8602151, -1.5490774,53.80076
Harrogate,0.13333333,0.8666667, -1.5418120,53.99212
Leamington Spa,0.12000000,0.8800000, -1.5200789,52.28519
Coventry,0.12363636,0.8763636, -1.5196930,52.40682
Blyth,0.10731707,0.8926829, -1.5102770,55.12696
Wakefield,0.17328520,0.8267148, -1.5059240,53.68330
Andover,0.13091922,0.8690808, -1.4919233,51.21120
Witney,0.15121512,0.8487849, -1.4850544,51.78594
Barnsley,0.16091954,0.8390805, -1.4797260,53.55263
Derby,0.13068182,0.8693182, -1.4746186,52.92253
Sheffield,0.15345269,0.8465473, -1.4700850,53.38113
Nuneaton,0.12865497,0.8713450, -1.4653820,52.52049
Northallerton,0.11646586,0.8835341, -1.4299590,54.33796
South Shields,0.10679612,0.8932039, -1.4274060,54.99942
Chesterfield,0.14847162,0.8515284, -1.4216290,53.23505
Southampton,0.10694698,0.8930530, -1.4043509,50.90970
Wetherby,0.13646055,0.8635394, -1.3848160,53.92706
Sunderland,0.10679612,0.8932039, -1.3838010,54.90687
Rotherham,0.15506958,0.8449304, -1.3635009,53.43260
Castleford,0.15699659,0.8430034, -1.3459680,53.72347
Thirsk,0.11889597,0.8811040, -1.3413770,54.23385
Banbury,0.11990008,0.8800999, -1.3397750,52.06290
Stockton,0.11136364,0.8886364, -1.3289821,54.57046
Newbury,0.16270219,0.8372978, -1.3231139,51.40141
Isle of Wight,0.08923885,0.9107612, -1.3047340,50.69385
Abingdon,0.14848485,0.8515152, -1.2879529,51.67078
Shetland Islands,0.11235955,0.8876404, -1.2659409,60.52965
Rugby,0.13099631,0.8690037, -1.2650320,52.37088
Oxford,0.14697406,0.8530259, -1.2577263,51.75202
Middlesbrough,0.10067114,0.8993289, -1.2349560,54.57423
Hartlepool,0.10539216,0.8946078, -1.2129260,54.69174
Loughborough,0.13729977,0.8627002, -1.2061660,52.77210
Mansfield,0.15694165,0.8430584, -1.1986740,53.14720
Nottingham,0.15769231,0.8423077, -1.1581086,52.95478
Bicester,0.12376682,0.8762332, -1.1535899,51.89960
Leicester,0.14601770,0.8539823, -1.1397592,52.63688
Doncaster,0.14953271,0.8504673, -1.1284620,53.52282
Worksop,0.15040650,0.8495935, -1.1227450,53.30930
Basingstoke,0.08857143,0.9114286, -1.0923964,51.26654
Portsmouth,0.09642857,0.9035714, -1.0879769,50.81977
York,0.13991770,0.8600823, -1.0872979,53.95997
Selby,0.14062500,0.8593750, -1.0671890,53.78352
Helmsley,0.12658228,0.8734177, -1.0562636,54.24651
Towcester,0.13838550,0.8616145, -0.9896880,52.13511
Reading,0.13089623,0.8691038, -0.9781303,51.45426
Retford,0.15384615,0.8461538, -0.9455030,53.32136
Petersfield,0.10212766,0.8978723, -0.9389900,51.00759
Northampton,0.14602904,0.8539710, -0.9026560,52.24048
Melton Mowbray,0.16594641,0.8340536, -0.8871260,52.76640
Aylesbury,0.13864307,0.8613569, -0.8084000,51.81561
Newark-on-Trent,0.16146789,0.8385321, -0.8065700,53.07004
Malton,0.13778706,0.8622129, -0.7978970,54.13684
Chichester,0.10935024,0.8906498, -0.7749360,50.83761
Gainsborough,0.15885947,0.8411405, -0.7744650,53.40057
Milton Keynes,0.15357458,0.8464254, -0.7594171,52.04062
Aldershot,0.13087248,0.8691275, -0.7557509,51.24837
High Wycombe,0.18036810,0.8196319, -0.7482290,51.62861
Midhurst,0.10834050,0.8916595, -0.7372740,50.98690
