,placename,a_load_of,a_lot_of,a_rake_of,bare,loads_of,lots_of,longitude,latitude
38,Waterford,0.8394461290138261,0.6252134017250013,0.01,0.01,0.3022541712050129,0.2563638706628125,-7.110070200000001,52.25932
39,Monaghan,0.456995761193848,0.8533175308107299,0.01,0.01,0.2026441576117417,0.0779552284216728,-6.9683132,54.2492
40,Carlow,0.8040016503200492,0.5672954163017329,0.01,0.01,0.441792010951952,0.25150036621410365,-6.9341358999999985,52.83651
41,Kildare,0.2655785498873387,0.6139537821327089,0.3944208418506373,0.3584204006992969,0.5561699239120979,0.1381942577463855,-6.8194708,53.21204
42,Dungannon,0.5583108892035804,0.6006776008264748,0.01,0.01,0.4323631059133644,0.2486962242687759,-6.7669352,54.50827
43,Cookstown,0.6674543552846239,0.4730847980634823,0.01,0.01,0.4880181144891164,0.3631081799344314,-6.7443895000000005,54.64182
44,Coleraine,0.4635583666376612,0.7058375240308549,0.01,0.01,0.08570267175276818,0.3356954383185523,-6.6646103000000005,55.13258
45,Meath,0.26526648872335057,0.4773508991390461,0.01,0.11038309251104884,0.8264523810780732,0.19561885243033186,-6.656416900000001,53.60555
46,Armagh,0.22938353835045586,0.8498454227142573,0.01,0.01,0.17832799129953855,0.1286623983544861,-6.652792,54.35028000000001
47,Magherafelt,0.5727189064235805,0.4982773188042928,0.01,0.01,0.34274020795298576,0.4313433984915849,-6.607980499999999,54.75536999999999
48,Louth,0.5882596766701907,0.7719077936984543,0.5573265254521838,0.01,0.3834282206787064,0.038208132299836786,-6.4889423,53.925230000000006
49,Wexford,0.6843311059496772,0.5475039167957226,0.01,0.01,0.41116118156084097,0.3118316180899475,-6.4633381,52.33692
50,Craigavon,0.01,0.8185874271985132,0.01,0.01,0.09690253452428316,0.2494113607478589,-6.4175653,54.44293
51,Drogheda,0.4517091266823629,0.5987038966881086,0.3878354065284441,0.0881090091356717,0.5634379739382429,0.16376913566472487,-6.3560985,53.71786
52,Rosslare,0.6298217792238578,0.5476266892490644,0.01,0.01,0.4099656428303704,0.31997684555234096,-6.3414908,52.25131
53,Newry,0.01,1.0,1.0,0.01,0.07566242258873011,0.01,-6.34023,54.1751
54,Ballymena,0.1486958722498648,0.6426022990994757,0.01,0.01,0.2289376454359017,0.3742819301027169,-6.2802213,54.86529
55,Banbridge,0.01,0.9643895437827196,0.01,0.01,0.11760843165379035,0.05069317186701668,-6.2704803,54.34873
56,Dublin,0.63590661683591,0.526149565849537,0.1386632437560924,0.11813144443314327,0.4204749068157842,0.3202473375884708,-6.2603097000000005,53.34981
57,Antrim,0.5579060027151629,0.5134408446229209,0.01,0.01,0.3998449734959663,0.3797382938086968,-6.2072498,54.719530000000006
58,Wicklow,0.11001881155355417,0.5542634909525405,0.01,0.22890597773563484,0.480066870091533,0.311108659162331,-6.044589,52.98082
59,Kilkeel,0.333841263724026,0.9526078995856674,0.833846110486155,0.01,0.01,0.06458625217021469,-6.007004,54.06312
60,Belfast,0.5221632520193946,0.5173463620363083,0.01,0.01,0.3802587884060305,0.3914830827199231,-5.93012,54.59728000000001
61,Down,0.2858983300229974,0.9136822648907518,0.01,0.01,0.02877232131073495,0.12904775687171216,-5.7156922,54.32875
62,Balivanich,0.2778086192737509,0.2830984544849325,0.01,0.01,0.3846400765451934,0.7221379822282206,-7.3743509,57.47227
63,Western Isles,0.3016673907949413,0.294811462113581,0.01,0.01,0.3864383209173412,0.7027733050297933,-7.0194034,57.75989000000001
64,Dunvegan,0.3023787754377859,0.2930707356228943,0.01,0.01,0.3810594250211489,0.7081288003204734,-6.5813982000000015,57.4366
65,Stornoway,0.34096022930488684,0.2506423802775237,0.01,0.01,0.3594864572227425,0.7699240851955222,-6.3848692000000025,58.20943000000001
66,Scilly Isles,0.28768518053016484,0.07950821415382686,0.01,0.2025202992360928,0.5078498793320367,0.8798064314525013,-6.327496599999999,49.92773
67,Portree,0.3030935333949387,0.27693405282502304,0.01,0.01,0.3828577379526916,0.7275663498026069,-6.1960231,57.41246999999999
68,Islay,0.2291231717487176,0.4424767554044048,0.01,0.051692034304411716,0.5017567316584592,0.4480381504932054,-6.177067,55.73625
