index,placename,longitude,latitude,aint,amnt,arent,ent,int
121,Caernarfon,-4.273911,53.13955,0.0915428994105302,0.01,0.25057833198484974,0.01,0.01
122,Cumnock,-4.265828900000001,55.45355,0.22693953064085895,0.05519339488775029,0.1808001580742068,0.01,0.01
123,Aberaeron,-4.2581619,52.24279,0.18640417362594497,0.01,0.09792719379499104,0.02727356274171614,0.01
124,Alness,-4.256825,57.69595,0.1715642091138735,0.047575780569664154,0.1524065041408855,0.07228462636543925,0.01
125,Glasgow,-4.251806,55.86424,0.5892994266245302,0.09023101159930587,0.565504941976192,0.01,0.01
126,Dalwhinnie,-4.242783,56.9366,0.04805109847891293,0.01634703176715892,0.01,0.01,0.01
127,Inverness,-4.224721,57.47776999999999,0.2897969615419123,0.07654897587741868,0.2876123546834596,0.11630527242435726,0.01
128,Saltash,-4.21643,50.409209999999995,0.145191702624908,0.01,0.1696700708436775,0.07585104054910717,0.01
129,Bideford,-4.206666,51.01668,0.19544821724848963,0.01,0.18607048603844106,0.06272780856556971,0.01
130,Invergordon,-4.1728819999999995,57.688109999999995,0.16229567987282995,0.04813603767893243,0.16063673989461533,0.07313585729275401,0.01
131,Llanelli,-4.160248,51.680890000000005,0.3822076835785509,0.01,0.2006483814954083,0.01,0.01
132,Plymouth,-4.1426565,50.37546,0.31456322462235614,0.01,0.4112298569468941,0.15242478418030586,0.01
133,Tavistock,-4.141654,50.551120000000004,0.16229719240569213,0.01,0.20050401172664462,0.08668024342759297,0.01
134,Porthmadog,-4.1333839999999995,52.92784,0.0916741766052733,0.01,0.21914341626842898,0.01,0.01
135,Bangor,-4.129263,53.22739,0.07078382509235129,0.01,0.37508007422798867,0.01,0.01
136,Tywyn,-4.087249,52.58701,0.07501573700648728,0.01,0.10941250527011774,0.01,0.01
137,Aberystwyth,-4.08292,52.4153,0.31089210582405086,0.01,0.21445164245061119,0.0453916284987327,0.01
138,Lampeter,-4.0785089999999995,52.1129,0.21413079684471667,0.01,0.10580498441914367,0.02966856804724529,0.01
139,Barnstaple,-4.058338,51.07816,0.26674462853903275,0.01,0.24357970833892975,0.01,0.01
140,Tain,-4.05523,57.8115,0.12349485092708712,0.03579627891328652,0.09743646982120069,0.05438735036057094,0.01
141,Okehampton,-4.004263,50.73831,0.11633354094383916,0.01,0.14465398777862432,0.07327146797967989,0.01
142,Llandeilo,-3.9914300000000003,51.88469,0.3011936515508945,0.01,0.13604659804231828,0.01,0.01
143,Motherwell,-3.9810968,55.78321,0.3495383024888216,0.08533256591482428,0.327495535866199,0.01,0.01
144,Golspie,-3.976086,57.97341,0.04023575482952589,0.015393454798623736,0.01,0.023388163373640886,0.01
145,Airdrie,-3.9625660000000003,55.86626999999999,0.3090785228253425,0.07536313205132976,0.2752401096707305,0.01,0.01
146,Swansea,-3.9436459999999998,51.62144,0.553263250936641,0.01,0.33181564807939257,0.01,0.01
147,Stirling,-3.9369029,56.116519999999994,0.31228950424782254,0.07896418579822376,0.31014262474398485,0.01,0.01
148,Tregaron,-3.934385,52.22,0.20123746815359395,0.01,0.10672579529285027,0.02982430944754258,0.01
149,Tregaron,-3.934385,52.22,0.20123746815359395,0.01,0.10672579529285027,0.02982430944754258,0.01
150,Castle Douglas,-3.9314139999999997,54.940419999999996,0.10413183538838541,0.01885259286879116,0.15473200547518973,0.01,0.01
151,Dolgellau,-3.8844,52.74215,0.0528448848989677,0.01,0.1312121699432881,0.01,0.01
152,Aberfeldy,-3.866969,56.62175,0.1582623479807566,0.1159037256955601,0.14824232028323978,0.01,0.01
153,Machynlleth,-3.853485,52.59027,0.08761756869381038,0.01,0.1556484226254353,0.01,0.01
154,Brora,-3.8525480000000005,58.012159999999994,0.10604744670990524,0.031520754241682325,0.07748437466567308,0.047891299224834254,0.01
155,Llandudno,-3.827609,53.324059999999996,0.04486915513521025,0.01,0.3233554973234566,0.01,0.01
156,Llandudno,-3.827609,53.324059999999996,0.04486915513521025,0.01,0.3233554973234566,0.01,0.01
157,Aviemore,-3.823812,57.19449,0.1552842366038085,0.04358633759846992,0.13378943327997697,0.0662232356509613,0.01
158,Dalbeattie,-3.8225269999999996,54.934219999999996,0.08146328934380205,0.013544937272306377,0.10737416660221549,0.01,0.01
159,Falkirk,-3.7839131,56.00188000000001,0.2841294648828666,0.12465584753046027,0.31416172651563734,0.01,0.01
160,Kingsbridge,-3.777493,50.28395,0.14147447669301644,0.01,0.18236683134422932,0.07987588434202657,0.01
161,Pitlochry,-3.729711,56.70436,0.11585334815012338,0.08872355590913687,0.10060489624202393,0.01,0.01
162,Colwyn Bay,-3.72764,53.29318000000001,0.040482090891933324,0.01,0.2977965213149596,0.01,0.01
163,Totnes,-3.685797,50.43374,0.14433447358880033,0.01,0.19122306424055016,0.08804073011843477,0.01
164,Grantown-on-Spey,-3.609628,57.33041,0.11364702752911586,0.03338304735879582,0.08812222653341527,0.050720788224989106,0.01
165,Dumfries,-3.60512,55.070859999999996,0.21813640547060825,0.02949419910198903,0.25383742718367897,0.01,0.01
166,Whitehaven,-3.589233,54.5497,0.12401287549165331,0.01,0.2555662709000867,0.01,0.01
