,placename,daps,guddies,gutties,gym-shoes,plimsolls,pumps,sand-shoes,sannies,plimmies,dappers,runners,rubbers,sandies,gym-shoes.1,gymmies,longitude,latitude
113,Fort William,0.01,0.01,0.8667763159629704,0.2543859680214425,0.12105263026754386,0.16335775603207986,0.1894736881894737,0.981578967306744,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-5.1052179,56.81981999999999
114,Helensburgh,0.01,0.01,0.8861037826309794,0.1530342876986222,0.12137203126781004,0.18078888312951333,0.23746701623746705,0.9841688695360601,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-4.734014,56.00232
115,Broadford,0.01,0.01,0.8179419535290238,0.25505715690511105,0.12137203126781004,0.18078888312951333,0.23746701623746705,0.9841688695360601,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-5.9096592,57.24139
116,Dumbarton,0.01,0.01,0.8861037826309794,0.1530342876986222,0.12137203126781004,0.18078888312951333,0.23746701623746705,0.9841688695360601,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-4.564554,55.94529
117,Machynlleth,0.5541125539803228,0.01,0.01,0.01,0.1216931227680776,0.4261603369246381,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.853485,52.59027
118,Ballachulish,0.01,0.01,0.8416445040167809,0.25709218355594965,0.12234042710195035,0.16576891755228804,0.2393617052393617,0.9920212967461772,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-5.1337199999999985,56.67393000000001
119,Mull,0.01,0.01,0.9103501764521076,0.1542553165780142,0.12234042710195035,0.16576891755228804,0.2393617052393617,0.9920212967461772,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-6.0008870000000005,56.4392
120,Lochgilphead,0.01,0.01,0.9103501764521076,0.1542553165780142,0.12234042710195035,0.16576891755228804,0.2393617052393617,0.9920212967461772,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-5.4323449,56.03829
121,Stirling,0.01,0.01,0.8979500881873576,0.31016041092097457,0.12299465060249552,0.2011101312410684,0.04812834604812835,0.7791611113302055,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-3.9369029,56.11652
122,Balivanich,0.01,0.01,0.8310991952660486,0.2073279583874492,0.123324397769437,0.18471510692896964,0.2412868592412869,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-7.3743509,57.47227
123,Invergarry,0.01,0.01,0.8072916667227286,0.3152173986594202,0.12500000143749998,0.1880847509813087,0.19565217019565206,0.9185631806643014,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-4.800261,57.07095
124,Market Drayton,0.03576751089608453,0.01,0.01,0.10564664473385944,0.12568305927140255,0.8954139817191971,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.483485,52.90355
125,Salisbury,0.14307004467524725,0.01,0.01,0.42258651449099377,0.12568305927140255,0.6862419557905023,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-1.794472,51.06878
126,Portree,0.01,0.01,0.8161630034594557,0.2655677557122508,0.12637362660531135,0.2083739089662653,0.2472527432472528,0.8646119546890473,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-6.1960231,57.41246999999999
127,Dunvegan,0.01,0.01,0.8161630034594557,0.2655677557122508,0.12637362660531135,0.2083739089662653,0.2472527432472528,0.8646119546890473,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-6.5813982000000015,57.4366
128,Western Isles,0.01,0.01,0.8161630034594557,0.2655677557122508,0.12637362660531135,0.2083739089662653,0.2472527432472528,0.8646119546890473,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-7.0194034,57.75989000000001
129,Kyle of Lochalsh,0.01,0.01,0.7806776565125471,0.2655677557122508,0.12637362660531135,0.2083739089662653,0.2472527432472528,0.928657299056446,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-5.7143293,57.28261
130,Lyme Regis,0.2337662333695396,0.01,0.07097069604659519,0.4249084155840456,0.12637362660531135,0.5618305764870029,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-2.936639,50.72516
131,Barnstaple,0.7623529404500536,0.01,0.030392156738221675,0.13647058338300655,0.13529411911274508,0.15937452919462,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-4.058338,51.07816
132,Newbury,0.15867768539684446,0.01,0.01,0.11717172797755325,0.1393939381161616,0.7680092039331693,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-1.3231138999999998,51.40141
133,Andover,0.11900826432036064,0.01,0.01,0.2343434237328845,0.1393939381161616,0.7680092039331693,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-1.4919233,51.2112
