placename,jab,jag,shot,longitude,latitude
Dunbar,0.7891566,0.135542169,0.075301205, -2.5167370,56.00209
Cinderford,0.9764790,0.000000000,0.023521026, -2.5009579,51.82530
Banchory,0.8246330,0.105220228,0.070146819, -2.4909599,57.05386
Blackburn,0.9759615,0.000000000,0.024038462, -2.4875290,53.74858
Market Drayton,0.9645455,0.000000000,0.035454545, -2.4834850,52.90355
Telford,0.9819712,0.000000000,0.018028846, -2.4672611,52.67759
Montrose,0.8021680,0.116531165,0.081300813, -2.4661150,56.70692
Turriff,0.8486612,0.097788126,0.053550640, -2.4623000,57.53893
Weymouth,0.9814050,0.000000000,0.018595041, -2.4576210,50.61443
Crewe,0.9763986,0.000000000,0.023601399, -2.4438209,53.10041
Fortuneswell,0.9825412,0.000000000,0.017458778, -2.4422190,50.55919
Dorchester,0.9916318,0.000000000,0.008368201, -2.4411810,50.71116
Alston,0.9712644,0.000000000,0.028735632, -2.4386850,54.81217
Kelso,0.8233438,0.104100946,0.072555205, -2.4322070,55.60003
Wincanton,0.9805037,0.000000000,0.019496344, -2.4160070,51.05569
Clitheroe,0.9687174,0.000000000,0.031282586, -2.3930830,53.87110
Sark,0.9789474,0.000000000,0.021052632, -2.3666256,49.43007
Bath,0.9718910,0.000000000,0.028109029, -2.3590167,51.38106
Kidderminster,0.9817579,0.000000000,0.018242123, -2.2496839,52.38860
Manchester,0.9749509,0.000000000,0.025049116, -2.2426305,53.48076
Burnley,0.9633534,0.000000000,0.036646586, -2.2405035,53.78929
Gloucester,0.9652510,0.000000000,0.034749035, -2.2381560,51.86424
Newcastle-under-Lyme,0.9604462,0.000000000,0.039553753, -2.2273002,53.01321
Worcester,0.9787986,0.000000000,0.021201413, -2.2215750,52.19364
Trowbridge,0.9722222,0.000000000,0.027777778, -2.2088530,51.31966
Shaftesbury,0.9859320,0.000000000,0.014067995, -2.1980830,51.00460
Alderney,0.9804241,0.000000000,0.019575856, -2.1973557,49.71500
Stoke-on-Trent,0.9640884,0.000000000,0.035911602, -2.1794040,53.00267
Colne,0.9598678,0.000000000,0.040132200, -2.1769910,53.85564
Blandford Forum,0.9830189,0.000000000,0.016981132, -2.1653530,50.85691
Rochdale,0.9704969,0.000000000,0.029503106, -2.1561000,53.60971
Jersey,0.9802794,0.000000000,0.019720624, -2.1312500,49.21444
Wolverhampton,0.9821910,0.000000000,0.017808958, -2.1288200,52.58697
Stafford,0.9778870,0.000000000,0.022113022, -2.1206600,52.80669
Macclesfield,0.9636163,0.000000000,0.036383682, -2.1192870,53.25866
Hexham,0.9766764,0.000000000,0.023323615, -2.1121439,54.97266
Aberdeen,0.8254870,0.104707792,0.069805195, -2.0942780,57.14972
Dudley,0.9783213,0.000000000,0.021678710, -2.0811120,52.51226
Cheltenham,0.9666048,0.000000000,0.033395176, -2.0782533,51.89939
Bromsgrove,0.9816565,0.000000000,0.018343524, -2.0619060,52.33559
Skipton,0.9504621,0.000000000,0.049537893, -2.0162787,53.96285
Fraserburgh,0.8240343,0.105579399,0.070386266, -2.0076310,57.69335
Berwick,0.8878719,0.064073227,0.048054920, -2.0053950,55.77024
Poole,0.9894552,0.000000000,0.010544815, -1.9872480,50.71505
Walsall,0.9790210,0.000000000,0.020979021, -1.9829190,52.58621
Cirencester,0.9648829,0.000000000,0.035117057, -1.9682430,51.71849
Evesham,0.9693713,0.000000000,0.030628694, -1.9467700,52.09215
Buxton,0.9778598,0.000000000,0.022140221, -1.9148300,53.25908
Keighley,0.9544970,0.000000000,0.045503022, -1.9123580,53.86780
Birmingham,0.9839400,0.000000000,0.016059957, -1.8904010,52.48624
Bournemouth,0.9896194,0.000000000,0.010380623, -1.8807690,50.71916
Halifax,0.9575092,0.000000000,0.042490842, -1.8575400,53.72702
Salisbury,0.9836215,0.000000000,0.016378526, -1.7944720,51.06878
Ringwood,0.9894552,0.000000000,0.010544815, -1.7888170,50.84495
Huddersfield,0.9542530,0.000000000,0.045746962, -1.7850351,53.64579
Peterhead,0.8237206,0.104792851,0.071486596, -1.7840660,57.50812
Swindon,0.9656582,0.000000000,0.034341783, -1.7797176,51.55577
Bradford,0.9525750,0.000000000,0.047424972, -1.7593980,53.79598
Ashbourne,0.9642185,0.000000000,0.035781544, -1.7321790,53.01663
Marlborough,0.9619523,0.000000000,0.038047656, -1.7270620,51.42007
Stratford-upon-Avon,0.9708266,0.000000000,0.029173420, -1.7082980,52.19173
Alnwick,0.9679300,0.011661808,0.020408163, -1.7062990,55.41274
Otley,0.9472039,0.000000000,0.052796110, -1.6917860,53.90583
Bishop Auckland,0.9831461,0.005617978,0.011235955, -1.6787880,54.66382
Burton upon Trent,0.9837984,0.000000000,0.016201620, -1.6371359,52.81403
Newcastle,0.9820896,0.000000000,0.017910448, -1.6177800,54.97825
Durham,0.9831461,0.000000000,0.016853933, -1.5848520,54.77525
Ashington,0.9821958,0.000000000,0.017804154, -1.5659829,55.18298
Darlington,0.9774011,0.005649718,0.016949153, -1.5594580,54.52361
Leeds,0.9438933,0.000000000,0.056106740, -1.5490774,53.80076
Harrogate,0.9454424,0.000000000,0.054557552, -1.5418120,53.99212
Leamington Spa,0.9708384,0.000000000,0.029161604, -1.5200789,52.28519
Coventry,0.9757943,0.000000000,0.024205749, -1.5196930,52.40682
Blyth,0.9821958,0.000000000,0.017804154, -1.5102770,55.12696
Wakefield,0.9603960,0.000000000,0.039603960, -1.5059240,53.68330
Andover,0.9614108,0.000000000,0.038589212, -1.4919233,51.21120
Witney,0.9533623,0.000000000,0.046637744, -1.4850544,51.78594
Barnsley,0.9696641,0.000000000,0.030335861, -1.4797260,53.55263
Derby,0.9676956,0.000000000,0.032304379, -1.4746186,52.92253
Sheffield,0.9762931,0.000000000,0.023706897, -1.4700850,53.38113
Nuneaton,0.9714739,0.000000000,0.028526149, -1.4653820,52.52049
