placename,drank,drunk,longitude,latitude
Wetherby,0.8369565,0.16304348, -1.3848160,53.92706
Sunderland,0.9403974,0.05960265, -1.3838010,54.90687
Rotherham,0.8723724,0.12762763, -1.3635009,53.43260
Castleford,0.8522829,0.14771710, -1.3459680,53.72347
Thirsk,0.8497854,0.15021459, -1.3413770,54.23385
Banbury,0.8951049,0.10489510, -1.3397750,52.06290
Stockton,0.9429477,0.05705230, -1.3289821,54.57046
Newbury,0.8931116,0.10688836, -1.3231139,51.40141
Isle of Wight,0.8764302,0.12356979, -1.3047340,50.69385
Isle of Wight,0.8764302,0.12356979, -1.3047340,50.69385
Abingdon,0.8854962,0.11450382, -1.2879529,51.67078
Shetland Islands,0.9354839,0.06451613, -1.2659409,60.52965
Rugby,0.9377839,0.06221608, -1.2650320,52.37088
Oxford,0.8785714,0.12142857, -1.2577263,51.75202
Middlesbrough,0.9429477,0.05705230, -1.2349560,54.57423
Hartlepool,0.9463327,0.05366726, -1.2129260,54.69174
Loughborough,0.9472296,0.05277045, -1.2061660,52.77210
Mansfield,0.8951049,0.10489510, -1.1986740,53.14720
Nottingham,0.9461883,0.05381166, -1.1581086,52.95478
Bicester,0.8650794,0.13492063, -1.1535899,51.89960
Leicester,0.9371069,0.06289308, -1.1397592,52.63688
Doncaster,0.8684211,0.13157895, -1.1284620,53.52282
Worksop,0.8934426,0.10655738, -1.1227450,53.30930
Basingstoke,0.9075630,0.09243697, -1.0923964,51.26654
Portsmouth,0.8285714,0.17142857, -1.0879769,50.81977
York,0.8519580,0.14804202, -1.0872979,53.95997
Selby,0.8710602,0.12893983, -1.0671890,53.78352
Helmsley,0.8712446,0.12875536, -1.0562636,54.24651
Towcester,0.8577878,0.14221219, -0.9896880,52.13511
Reading,0.8680352,0.13196481, -0.9781303,51.45426
Retford,0.8930041,0.10699588, -0.9455030,53.32136
Petersfield,0.8329764,0.16702355, -0.9389900,51.00759
Northampton,0.9015544,0.09844560, -0.9026560,52.24048
Melton Mowbray,0.9389712,0.06102877, -0.8871260,52.76640
Aylesbury,0.8564593,0.14354067, -0.8084000,51.81561
Newark-on-Trent,0.9230769,0.07692308, -0.8065700,53.07004
Malton,0.8790323,0.12096774, -0.7978970,54.13684
Chichester,0.8394834,0.16051661, -0.7749360,50.83761
Gainsborough,0.8705882,0.12941176, -0.7744650,53.40057
Milton Keynes,0.8495575,0.15044248, -0.7594171,52.04062
Aldershot,0.8859649,0.11403509, -0.7557509,51.24837
High Wycombe,0.9196429,0.08035714, -0.7482290,51.62861
Midhurst,0.8824885,0.11751152, -0.7372740,50.98690
Kettering,0.9025229,0.09747706, -0.7302490,52.39632
Wellingborough,0.8994083,0.10059172, -0.6939640,52.30242
Corby,0.9047085,0.09529148, -0.6842333,52.49230
Bognor Regis,0.8376866,0.16231343, -0.6730610,50.78300
Scunthorpe,0.9034483,0.09655172, -0.6544130,53.58865
Grantham,0.9240506,0.07594937, -0.6435820,52.91252
Whitby,0.9331849,0.06681514, -0.6133470,54.48634
Slough,0.9325843,0.06741573, -0.5950406,51.51054
Guildford,0.8736842,0.12631579, -0.5704090,51.23622
Woking,0.8780488,0.12195122, -0.5600349,51.31677
Lincoln,0.8992806,0.10071942, -0.5405790,53.23069
Bedford,0.8251748,0.17482517, -0.4667782,52.13864
Heathrow,0.9152542,0.08474576, -0.4542955,51.47002
Driffield,0.8770104,0.12298959, -0.4433770,54.00600
Beverley,0.8657117,0.13428827, -0.4350930,53.84196
Luton,0.8461538,0.15384615, -0.4200255,51.87867
Scarborough,0.9024390,0.09756098, -0.3997520,54.28311
Worthing,0.8475499,0.15245009, -0.3728820,50.81787
Dorking,0.8430233,0.15697674, -0.3323780,51.23220
Hull,0.8918919,0.10810811, -0.3274198,53.76762
Horsham,0.8255159,0.17448405, -0.3258580,51.06288
Biggleswade,0.7952756,0.20472441, -0.2642200,52.08694
Peterborough,0.8547009,0.14529915, -0.2405299,52.56950
Welwyn Garden City,0.8681319,0.13186813, -0.2086610,51.80317
Bridlington,0.8888889,0.11111111, -0.1988020,54.08535
Stevenage,0.8144330,0.18556701, -0.1966120,51.90376
Crawley,0.8705441,0.12945591, -0.1872275,51.10914
Huntingdon,0.8257576,0.17424242, -0.1825520,52.33146
Hove,0.8653846,0.13461538, -0.1687490,50.82793
Spalding,0.8980892,0.10191083, -0.1537024,52.79010
Brighton,0.8652482,0.13475177, -0.1371630,50.82253
London,0.8910691,0.10893086, -0.1277583,51.50735
Grimsby,0.8939394,0.10606061, -0.0807840,53.56747
Boston,0.9007092,0.09929078, -0.0265770,52.97894
Royston,0.7570093,0.24299065, -0.0240660,52.04814
Louth_Lincs,0.9019608,0.09803922, -0.0077110,53.36596
Lewes,0.8642857,0.13571429,  0.0087800,50.87387
Chatteris,0.8181818,0.18181818,  0.0540120,52.45610
Uckfield,0.8484321,0.15156794,  0.0959130,50.96641
Cambridge,0.8181818,0.18181818,  0.1218170,52.20534
Bishop's Stortford,0.8041237,0.19587629,  0.1536502,51.87216
Wisbech,0.8444444,0.15555556,  0.1587970,52.66632
Sevenoaks,0.8015267,0.19847328,  0.1908980,51.27241
Tunbridge Wells,0.7961783,0.20382166,  0.2636950,51.13238
Eastbourne,0.8251880,0.17481203,  0.2904720,50.76803
Brentwood,0.6894977,0.31050228,  0.3071749,51.62047
Skegness,0.9242424,0.07575758,  0.3378810,53.14640
Downham Market,0.8615385,0.13846154,  0.3854720,52.60661
King's Lynn,0.8630137,0.13698630,  0.4022963,52.75168
Bexhill,0.8241966,0.17580340,  0.4662071,50.84991
Chelmsford,0.6387665,0.36123348,  0.4685497,51.73559
Mildenhall,0.8263889,0.17361111,  0.5156095,52.34757
Medway,0.6591716,0.34082840,  0.5417861,51.40474
Braintree,0.6711111,0.32888889,  0.5509269,51.88009
Gillingham,0.6591716,0.34082840,  0.5514380,51.38632
Hastings,0.8297456,0.17025440,  0.5734530,50.85426
Maldon,0.6579353,0.34206471,  0.6714480,51.73180
Southend,0.6593279,0.34067207,  0.7077123,51.54593
Bury St Edmunds,0.8188406,0.18115942,  0.7104932,52.24292
Thetford,0.8531469,0.14685315,  0.7516570,52.41286
Ashford,0.7621951,0.23780488,  0.8750190,51.14647
Faversham,0.6733728,0.32662722,  0.8893580,51.31599
Colchester,0.6730038,0.32699620,  0.8918740,51.89593
New Romney,0.7613636,0.23863636,  0.9394730,50.98512
Canterbury,0.6733728,0.32662722,  1.0789089,51.28023
Ipswich,0.7463127,0.25368732,  1.1482200,52.05674
Clacton,0.6784314,0.32156863,  1.1530350,51.78953
Folkestone,0.7398844,0.26011561,  1.1694560,51.08140
Sheringham,0.9090909,0.09090909,  1.2109589,52.94442
Harwich,0.6964981,0.30350195,  1.2602970,51.93473
Norwich,0.8613139,0.13868613,  1.2973550,52.63089
Cromer,0.8802817,0.11971831,  1.3018660,52.93145
Dover,0.7305389,0.26946108,  1.3134027,51.12788
Felixstowe,0.7386364,0.26136364,  1.3512550,51.96173
Margate,0.6962025,0.30379747,  1.3868339,51.38965
Ramsgate,0.6756757,0.32432432,  1.4198950,51.33555
Great Yarmouth,0.8467153,0.15328467,  1.7280470,52.59823
Lowestoft,0.8450704,0.15492958,  1.7534490,52.48114
