,placename,control,doubled,longitude,latitude
247,Yeovil,0.7874063583310237,0.2125936769900736,-2.633308,50.94206
248,Wigan,0.6898405671087561,0.31015898967380195,-2.6325074,53.54506
249,Warrington,0.6155840999958241,0.3844151219437788,-2.5969501,53.39004
250,Arbroath,0.8532589642241063,0.14674098853337836,-2.591543,56.55911
251,Bristol,0.8437134941457739,0.15628582919000852,-2.58791,51.45451
252,Guernsey,0.7788202446991764,0.22117998568134747,-2.585278,49.46569
253,Ross-on-Wye,0.8692402226010706,0.13075929632444735,-2.582446,51.91445
254,Jedburgh,0.8593732795182473,0.14062678051961586,-2.5549369,55.47772
255,Sedbergh,0.7678901625463695,0.2321094085106148,-2.5281740000000004,54.32363
256,Sedbergh,0.7678901625463695,0.2321094085106148,-2.5281740000000004,54.32363
257,Nantwich,0.7651867517684171,0.2348128063512581,-2.524102,53.06719
258,Banff,0.8237631832408797,0.17623676023680712,-2.524038,57.66651
259,Dunbar,0.8795779844148892,0.12042255293737235,-2.516737,56.00209
260,Cinderford,0.8641523427661622,0.13584697960565795,-2.5009579,51.8253
261,Banchory,0.806355546611687,0.1936445666286416,-2.4909599,57.05386
262,Blackburn,0.8881198005854852,0.11187986962662168,-2.487529,53.74858
263,Market Drayton,0.8000108845190491,0.19998936431220266,-2.483485,52.90355
264,Telford,0.8282068514250515,0.17179295537421124,-2.4672611,52.67759
265,Montrose,0.7788202446991764,0.22117998568134747,-2.4661150000000003,56.70692
266,Turriff,0.8237631832408797,0.17623676023680712,-2.4623,57.53893000000001
267,Weymouth,0.7359808027459374,0.264018987997182,-2.457621,50.61443
268,Crewe,0.7163304489357859,0.2836700089495502,-2.4438209,53.10041
269,Fortuneswell,0.7410446353875977,0.2589546861682846,-2.442219,50.55919
270,Dorchester,0.7366680462161745,0.2633323334431724,-2.4411810000000003,50.71116
271,Alston,0.8655951743611359,0.1344043564012121,-2.438685,54.81217
272,Kelso,0.8569900761030378,0.14301028505967014,-2.432207,55.60003
273,Wincanton,0.8169059362394996,0.18309454247843893,-2.416007,51.05569000000001
274,Clitheroe,0.8723726859322658,0.1276276663113945,-2.3930830000000003,53.8711
275,Sark,0.7630630049119556,0.2369374771763789,-2.3666256000000003,49.43007
276,Bath,0.8305305696780082,0.1694694675316071,-2.3590167,51.38106
277,Kidderminster,0.8592568404772474,0.14074261831451518,-2.2496839,52.3886
278,Manchester,0.7398827762611186,0.2601176254875357,-2.2426305,53.48076
279,Burnley,0.7025906420980311,0.2974091181528194,-2.2405035,53.78929
280,Gloucester,0.7789518714411737,0.2210479173059314,-2.238156,51.86424
281,Newcastle-under-Lyme,0.7691836484148487,0.2308159929923583,-2.2273002,53.01321
282,Worcester,0.7525695691628929,0.24742982100246536,-2.221575,52.19364
283,Trowbridge,0.8471294612289638,0.15287058167945228,-2.208853,51.31966
284,Shaftesbury,0.7218372561899371,0.2781628631225988,-2.198083,51.0046
285,Alderney,0.7765699336677163,0.22343055994444705,-2.1973557,49.715
286,Stoke-on-Trent,0.7659828404291541,0.2340168307879917,-2.179404,53.00267
