,"placename","himsel","himself","himsen","hissel","hisself","himseln","hissen","hisseln","longitude","latitude"
225,"Orkney Islands",0.915439791759098,0.084560376039261,0.01,0.01,0.01,0.01,0.01,0.01,-2.9605206,58.98094
226,"Lyme Regis",0.01,0.943410659522474,0.01,0.01,0.366257948897562,0.01,0.01,0.01,-2.936639,50.72516
227,"Carlisle",0.065867427793191,0.802399396343448,0.01,0.780843669972175,0.639470351738395,0.01,0.01,0.01,-2.932931,54.89247
228,"Chester",0.01,1,0.01,0.01,0.01,0.01,0.01,0.01,-2.893075,53.19339
229,"Forfar",0.136317689649496,0.795525188123472,0.01,0.01,0.441144296246087,0.01,0.01,0.01,-2.889062,56.64356
230,"Morecambe",0.07617370909293,0.908593106408309,0.087407071571534,0.01,0.01,0.01,0.01,0.01,-2.864968,54.07417
231,"Selkirk",0.456081568759561,0.446186648944637,0.01,0.01,0.632549013581057,0.01,0.01,0.01,-2.838524,55.55066
232,"Galashiels",0.465277644352993,0.435020387253981,0.01,0.01,0.645303250943235,0.01,0.01,0.01,-2.814449,55.62373
233,"Lancaster",0.050918600968996,0.932109405827501,0.097379311823972,0.01,0.01,0.01,0.01,0.01,-2.8007399,54.04657
234,"St Andrews",0.206250000008653,0.738748935639967,0.01,0.01,0.355976350911016,0.01,0.01,0.01,-2.7967214,56.33978
235,"Hawick",0.315096343451204,0.590375416225342,0.01,0.01,0.611819140942192,0.01,0.01,0.01,-2.780914,55.42706
