placename,bottoms,jeans,joggers,kecks,pants,slacks,strides,trackies,trens,trousers,longitude,latitude
Dolgellau,0.00000000,0.01449275,0.00000000,0.000000000,0.173913043,0.00000000,0,0.00000000,0.000000000,0.8115942, -3.8844000,52.74215
Aberfeldy,0.00000000,0.01515152,0.00000000,0.000000000,0.060606061,0.00000000,0,0.00000000,0.007575758,0.9166667, -3.8669690,56.62175
Machynlleth,0.00000000,0.01428571,0.00000000,0.000000000,0.150000000,0.00000000,0,0.00000000,0.000000000,0.8357143, -3.8534850,52.59027
Brora,0.00000000,0.01515152,0.00000000,0.000000000,0.060606061,0.00000000,0,0.00000000,0.007575758,0.9166667, -3.8525480,58.01216
Llandudno,0.00000000,0.00000000,0.00000000,0.000000000,0.394366197,0.00000000,0,0.00000000,0.000000000,0.6056338, -3.8276090,53.32406
Llandudno,0.00000000,0.00000000,0.00000000,0.000000000,0.394366197,0.00000000,0,0.00000000,0.000000000,0.6056338, -3.8276090,53.32406
Aviemore,0.00000000,0.01515152,0.00000000,0.000000000,0.060606061,0.00000000,0,0.00000000,0.007575758,0.9166667, -3.8238120,57.19449
Dalbeattie,0.00000000,0.00000000,0.00000000,0.000000000,0.279411765,0.00000000,0,0.00000000,0.007352941,0.7132353, -3.8225270,54.93422
Falkirk,0.00000000,0.01470588,0.00000000,0.000000000,0.110294118,0.00000000,0,0.00000000,0.007352941,0.8676471, -3.7839131,56.00188
Kingsbridge,0.00000000,0.00000000,0.00000000,0.000000000,0.038461538,0.00000000,0,0.00000000,0.000000000,0.9615385, -3.7774930,50.28395
Pitlochry,0.00000000,0.01515152,0.00000000,0.000000000,0.060606061,0.00000000,0,0.00000000,0.007575758,0.9166667, -3.7297110,56.70436
Colwyn Bay,0.00000000,0.00000000,0.00000000,0.000000000,0.380281690,0.00000000,0,0.00000000,0.000000000,0.6197183, -3.7276400,53.29318
Totnes,0.00000000,0.00000000,0.00000000,0.000000000,0.038461538,0.00000000,0,0.00000000,0.000000000,0.9615385, -3.6857970,50.43374
Grantown-on-Spey,0.00000000,0.01515152,0.00000000,0.000000000,0.060606061,0.00000000,0,0.00000000,0.007575758,0.9166667, -3.6096280,57.33041
Dumfries,0.00000000,0.00000000,0.00000000,0.000000000,0.188405797,0.00000000,0,0.00000000,0.007246377,0.8043478, -3.6051200,55.07086
Whitehaven,0.00000000,0.00000000,0.00000000,0.007142857,0.300000000,0.00000000,0,0.00000000,0.000000000,0.6928571, -3.5892330,54.54970
Dartmouth,0.00000000,0.00000000,0.00000000,0.000000000,0.023076923,0.00000000,0,0.00000000,0.000000000,0.9769231, -3.5788070,50.35252
Bridgend,0.00000000,0.00000000,0.00000000,0.000000000,0.067164179,0.00000000,0,0.00000000,0.000000000,0.9328358, -3.5769450,51.50429
Paignton,0.00000000,0.00000000,0.00000000,0.000000000,0.023076923,0.00000000,0,0.00000000,0.000000000,0.9769231, -3.5642350,50.43508
Workington,0.00000000,0.00000000,0.00000000,0.007142857,0.300000000,0.00000000,0,0.00000000,0.000000000,0.6928571, -3.5427520,54.64357
Llanidloes,0.00000000,0.01449275,0.00000000,0.000000000,0.072463768,0.00000000,0,0.00000000,0.000000000,0.9130435, -3.5401950,52.44779
Exeter,0.00000000,0.00000000,0.00000000,0.000000000,0.038461538,0.00000000,0,0.00000000,0.000000000,0.9615385, -3.5338990,50.71841
Torquay,0.00000000,0.00000000,0.00000000,0.000000000,0.023076923,0.00000000,0,0.00000000,0.000000000,0.9769231, -3.5253150,50.46192
Thurso,0.00000000,0.01515152,0.00000000,0.000000000,0.060606061,0.00000000,0,0.00000000,0.007575758,0.9166667, -3.5220800,58.59357
