index,placename,longitude,latitude,'ee,deesel,theesen,you,yoursel,yourself,yourselfs,yoursels,yourselves,yoursen,yoursens,yous
91,Fishguard,-4.975989,51.99393,0.01,0.01,0.01,0.01,0.01,0.5270493114669123,0.01,0.01,0.45390285158571153,0.01,0.01,0.01
92,Inchnadamph,-4.974295,58.15221,0.01,0.01,0.01,0.01,0.7045756490305336,0.27811251391070435,0.01,0.4260164063019207,0.15773520470627328,0.07276162599160933,0.01,0.01
93,Haverfordwest,-4.971319,51.80048,0.01,0.01,0.01,0.01,0.01,0.5354101261019228,0.01,0.01,0.4682088921316015,0.01,0.01,0.01
94,Dunoon,-4.926214,55.95097,0.01,0.01,0.01,0.01,0.6657694946205088,0.22834125891688908,0.5333023142665295,0.6491953893113367,0.10469808962777162,0.01,0.01,0.319161725469164
95,Pembroke,-4.908637000000001,51.674040000000005,0.01,0.01,0.01,0.01,0.01,0.5056816770396296,0.01,0.027664636625683046,0.49459666634375465,0.01,0.01,0.01
96,Girvan,-4.8542179,55.240159999999996,0.01,0.01,0.01,0.01,0.5494122641613415,0.29720485010927633,0.44952714615154027,0.6319312420469337,0.09477584038843238,0.01,0.01,0.3186916107688766
97,Wadebridge,-4.836456,50.51665,0.9656456995361078,0.01,0.01,0.01,0.01,0.5005198507492326,0.6270573607701049,0.027382245439423906,0.3702751502114794,0.01,0.01,0.01
98,Invergarry,-4.800261,57.07095,0.01,0.01,0.01,0.01,0.39664999292215036,0.24187360823852636,0.17737885321331726,0.3188668253863271,0.2997761269725698,0.07276162599160933,0.01,0.3027374455167827
99,St Austell,-4.7834252,50.340379999999996,0.9694138824168145,0.01,0.01,0.01,0.01,0.50247300016413,0.6295042901285747,0.027489097578412062,0.37346795247406706,0.01,0.01,0.01
100,Greenock,-4.7719830000000005,55.956480000000006,0.01,0.01,0.01,0.01,0.6802175072021854,0.2332965436038626,0.5448756269650215,0.6632837235298984,0.11669061753900953,0.01,0.01,0.3260879253963573
101,Helensburgh,-4.734014,56.00232,0.01,0.01,0.01,0.01,0.6675936965512541,0.22896691174230496,0.3264141163754241,0.6919159513973827,0.10621226276726214,0.01,0.01,0.32003622548835264
102,Bodmin,-4.7188629,50.4715,0.9622114679187806,0.01,0.01,0.01,0.01,0.498739797156731,0.6248272879646557,0.0272848629594039,0.36736530670728174,0.01,0.01,0.01
103,Tenby,-4.703579,51.672740000000005,0.01,0.01,0.01,0.01,0.01,0.5354101261019228,0.01,0.01,0.4682088921316015,0.01,0.01,0.01
104,Camelford,-4.682364,50.62206,0.9494816326881577,0.01,0.01,0.01,0.01,0.49214158496280264,0.6165609674222586,0.026923890531467036,0.35657924668487656,0.01,0.01,0.01
105,Irvine,-4.6696364,55.61156999999999,0.01,0.01,0.01,0.01,0.7671757868479607,0.20677335318743248,0.5467526851211875,0.6655686892385662,0.1186356675791566,0.01,0.01,0.3272112753310971
106,Cardigan,-4.660864,52.0837,0.01,0.01,0.01,0.01,0.01,0.5844437644141892,0.01,0.01,0.41574146718056826,0.01,0.01,0.01
107,Holyhead,-4.633038,53.30944,0.01,0.01,0.01,0.01,0.01,0.5149648488833198,0.14336760798991155,0.01,0.44109269408964563,0.01,0.01,0.4954963072341966
108,Ayr,-4.629179,55.45856,0.01,0.01,0.01,0.01,0.7359800277000804,0.19655036729421424,0.46321247931635623,0.6511696565869821,0.15822524439171562,0.01,0.01,0.3283938076385038
109,Dumbarton,-4.564554,55.94529,0.01,0.01,0.01,0.01,0.5942582480441813,0.2054981627525891,0.5433808106337651,0.6614640654407458,0.161611769449918,0.01,0.01,0.3251933330670526
110,Bude,-4.543678,50.826640000000005,0.9642835220954165,0.01,0.01,0.01,0.01,0.49981379794991254,0.6261728092298547,0.027343618977326085,0.3691209697079391,0.01,0.01,0.01
111,Isle of Man,-4.5126330999999995,54.27697,0.01,0.01,0.01,0.01,0.7198612002163334,0.6609815348703988,0.01,0.17456899640231235,0.09417511797941679,0.01,0.01,0.01
112,Kilmarnock,-4.498792,55.61472,0.01,0.01,0.01,0.01,0.5964399795295472,0.20625261893950406,0.5453757531137478,0.6638925331696496,0.16384958205686354,0.01,0.01,0.3263872324128649
113,Newton Stewart,-4.483164,54.9603,0.01,0.01,0.01,0.01,0.6139621183293261,0.3172519440733598,0.4465258711697619,0.553466622212779,0.11000127967414684,0.01,0.01,0.01
114,Liskeard,-4.4647190000000005,50.45552,0.9654544952495879,0.01,0.01,0.01,0.01,0.5004207444817916,0.6269331992320474,0.027376823572268005,0.37011314175861404,0.01,0.01,0.01
115,Altnaharra,-4.442655,58.28023,0.01,0.01,0.01,0.01,0.7045756490305336,0.27811251391070435,0.01,0.4260164063019207,0.15773520470627328,0.07276162599160933,0.01,0.01
116,Pwllheli,-4.417633900000001,52.888819999999996,0.01,0.01,0.01,0.01,0.01,0.5404730691275946,0.14281819073838273,0.01,0.41417405461988815,0.01,0.01,0.49359745279224715
117,Lairg,-4.402414,58.022059999999996,0.01,0.01,0.01,0.01,0.7045756490305336,0.27811251391070435,0.01,0.4260164063019207,0.15773520470627328,0.07276162599160933,0.01,0.01
118,Launceston,-4.360451599999999,50.636829999999996,0.96181875416832,0.01,0.01,0.01,0.01,0.49853624317428996,0.6245722730580286,0.027273727007255284,0.367032558167544,0.01,0.01,0.01
119,Carmarthen,-4.312131,51.857620000000004,0.01,0.01,0.01,0.01,0.01,0.5951214596911555,0.01,0.01,0.43152045883949103,0.01,0.01,0.01
120,Llangefni,-4.311401999999999,53.25578,0.01,0.01,0.01,0.01,0.01,0.5210490759142414,0.14506147326592467,0.01,0.45159625774383805,0.01,0.01,0.5013505165704908
121,Caernarfon,-4.273911,53.13955,0.01,0.01,0.01,0.01,0.01,0.5196799414214216,0.1446803025167411,0.01,0.44923263928854434,0.01,0.01,0.5000331429929151
122,Cumnock,-4.265828900000001,55.45355,0.01,0.01,0.01,0.01,0.8064708018591193,0.19309535563192637,0.4550700141549473,0.6397232330131798,0.12451889061347858,0.01,0.01,0.3226212189080245
123,Aberaeron,-4.2581619,52.24279,0.01,0.01,0.01,0.01,0.01,0.55601993414342,0.01,0.01,0.4355170723499381,0.01,0.01,0.01
124,Alness,-4.256825,57.69595,0.01,0.01,0.01,0.01,0.49697994239116966,0.2675040448604574,0.01,0.49171943879618385,0.2615463375329297,0.07698478242191722,0.01,0.01
125,Glasgow,-4.251806,55.86424,0.01,0.01,0.01,0.01,0.7042471012158766,0.15695274607735046,0.564124087884204,0.6867151089669912,0.20900250953681632,0.01,0.01,0.33760741787791765
126,Dalwhinnie,-4.242783,56.9366,0.01,0.01,0.01,0.01,0.4227453894183201,0.2629427401488519,0.07883504981433773,0.35114079587758673,0.267330217847412,0.07276162599160933,0.01,0.3027374455167827
127,Inverness,-4.224721,57.47776999999999,0.01,0.01,0.01,0.01,0.5089399402901453,0.2739416242104514,0.01,0.5035528408175858,0.27861993913503286,0.07883744840998345,0.01,0.01
