,placename,outside,outside_of,longitude,latitude
311,Alnwick,0.01,0.9696089796160818,-1.7062990000000002,55.41274
312,Otley,0.01,0.4946395974953239,-1.691786,53.90583
313,Bishop Auckland,0.01,0.9803577559271448,-1.6787880000000002,54.66382
314,Burton upon Trent,0.01,0.7285646472747204,-1.6371359,52.81403
315,Newcastle,0.01,0.9994954424621918,-1.61778,54.97825
316,Durham,0.01,0.9961539973448976,-1.584852,54.77525
317,Ashington,0.01,0.9871304082705192,-1.5659829,55.18298000000001
318,Darlington,0.01,0.9577486379428324,-1.559458,54.52361
319,Leeds,0.01,0.5177374802855229,-1.5490774,53.80076
320,Harrogate,0.01,0.4994720384827707,-1.5418120000000002,53.99211999999999
321,Leamington Spa,0.01,0.6360608122424806,-1.5200789,52.28519
322,Coventry,0.01,0.6364164861622569,-1.519693,52.40682
323,Blyth,0.01,0.9968858622378876,-1.510277,55.12696
324,Wakefield,0.01,0.5163944231690989,-1.505924,53.6833
325,Andover,0.01,0.763055433869407,-1.4919233,51.2112
326,Witney,0.01,0.5971750568326409,-1.4850544,51.78594
327,Barnsley,0.01,0.4859132357345503,-1.479726,53.55263000000001
328,Derby,0.01,0.7175067653559574,-1.4746186,52.92253
329,Sheffield,0.01,0.4778116992392972,-1.470085,53.38113000000001
330,Nuneaton,0.01,0.6458459619450861,-1.465382,52.52049
331,Northallerton,0.01,0.7298209118558822,-1.429959,54.33796
332,South Shields,0.01,1.0,-1.427406,54.99941999999999
333,Chesterfield,0.01,0.5877141305665828,-1.421629,53.23505
334,Southampton,0.01,0.6265473785172979,-1.4043508999999998,50.9097
335,Wetherby,0.01,0.518626597594657,-1.384816,53.92706
336,Sunderland,0.01,0.9969756243466736,-1.383801,54.90687
337,Rotherham,0.01,0.4989684258092656,-1.3635008999999998,53.4326
338,Castleford,0.01,0.5516207191333731,-1.345968,53.72346999999999
339,Thirsk,0.01,0.5519950203779806,-1.341377,54.23385
340,Banbury,0.01,0.5278066292014912,-1.339775,52.0629
341,Stockton,0.01,0.9620920441631632,-1.3289821000000002,54.57046
342,Newbury,0.01,0.760622273308537,-1.3231138999999998,51.40141
343,Isle of Wight,0.01,0.6300563345774547,-1.304734,50.69385
344,Abingdon,0.01,0.7146027924109577,-1.2879528999999998,51.67078
345,Shetland Islands,0.01,0.23874955722503985,-1.2659409,60.52965
346,Rugby,0.01,0.5117783561070417,-1.265032,52.37088
347,Oxford,0.01,0.7301416257964469,-1.2577263,51.75202
