index,placename,longitude,latitude,emself,emselfs,emsels,emselves,emsens,theirsel,theirself,theirselfs,theirseln,theirselns,theirsels,theirselves,theirsen,theirsens,them,themsel,themself,themselfs,themseln,themselns,themsels,themselves,themsen,themsens,theyselves,theysens
74,Kyle of Lochalsh,-5.7143293,57.28261,0.01,0.01,0.01,0.01,0.01,0.10095722644645236,0.043793057376232604,0.012858517770961388,0.01,0.01,0.04007925981050257,0.024851532741404003,0.03846107662711357,0.01,0.01,0.03903601284122184,0.07562863182182497,0.07013870457820115,0.01,0.01,0.031956531023026515,0.01,0.01,0.01,0.01,0.01
75,Campbeltown,-5.605373999999999,55.424119999999995,0.01,0.01,0.01,0.01,0.01,0.2982120774929395,0.01,0.09840812178084438,0.01,0.01,0.2470900074599487,0.05338734149947081,0.01,0.01,0.01,0.09958276684867037,0.16537055636111136,0.2982120774929395,0.01,0.01,0.10190333070626033,0.06383468351660497,0.01,0.01,0.01,0.01
76,Penzance,-5.537592,50.1188,0.6528637831085239,0.01,0.01,0.6528637831085239,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.16292433205471094,0.01,0.01,0.01,0.01,0.17445316294468413,0.2022368837684634,0.01,0.01,0.01,0.2250190445999228,0.01,0.01,0.6100805610841004,0.01
77,Oban,-5.471047,56.41516,0.01,0.01,0.01,0.01,0.01,0.3760237419667797,0.01,0.12408548474309115,0.01,0.01,0.3437931367280386,0.0673175549865671,0.12371725574537902,0.029025566285475268,0.01,0.1255666267464602,0.208520244843221,0.31962017948728794,0.01,0.01,0.07709561371180702,0.09601557553405662,0.01,0.01,0.01,0.01
78,Lochgilphead,-5.4323449,56.03829,0.01,0.01,0.01,0.01,0.01,0.24195006163894772,0.01,0.07984200818027598,0.01,0.01,0.20047290853509472,0.04331504838814699,0.07960507359676354,0.018676314200651023,0.01,0.08079503948924807,0.13417101225816477,0.24195006163894772,0.01,0.01,0.04960667747227557,0.045128159272422155,0.01,0.01,0.01,0.01
79,Helston,-5.274996,50.10159,0.49327735424258673,0.01,0.01,0.4932773542425867,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.12309900707775864,0.01,0.01,0.01,0.01,0.13180972338038263,0.15280197421977457,0.01,0.01,0.01,0.15859900787100847,0.01,0.01,0.4609520895974919,0.01
80,Redruth,-5.226666000000001,50.23302,0.5512435693190322,0.01,0.01,0.5512435693190322,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.13756466916136012,0.01,0.01,0.01,0.01,0.14729900280689479,0.17075810382018802,0.01,0.01,0.01,0.18272460653108002,0.01,0.01,0.5151196846345121,0.01
81,Ullapool,-5.161313,57.895419999999994,0.01,0.01,0.12254185855972424,0.01,0.01,0.0756044409447121,0.10385263468839344,0.030493211223626786,0.01,0.01,0.18613093625597177,0.0837482222815064,0.09120815900937104,0.02139854219892576,0.01,0.06171438953721522,0.02562125648428954,0.013860813357929318,0.01,0.01,0.12314740101197293,0.07574189679990373,0.01,0.01,0.01,0.01
82,Ballachulish,-5.133719999999999,56.673930000000006,0.01,0.01,0.01,0.01,0.01,0.10095722644645236,0.043793057376232604,0.012858517770961388,0.01,0.01,0.08516842731524893,0.028775459131427164,0.03846107662711357,0.01,0.01,0.03903601284122184,0.010804089454584265,0.10520805737580732,0.01,0.01,0.019972831831470358,0.01,0.01,0.01,0.01,0.01
83,Fort William,-5.1052179,56.81981999999999,0.01,0.01,0.01,0.01,0.01,0.32467518704140397,0.14083706134978605,0.04135257880302841,0.01,0.01,0.2738989178081997,0.04206406747183281,0.12368958307650374,0.029019078904532643,0.01,0.12553855941453224,0.03474560353873976,0.33834572233291904,0.01,0.01,0.06423198357245498,0.11350665381518193,0.01,0.01,0.01,0.01
