,placename,adj_fuck_off,fuck_off,fuck_off_adj,longitude,latitude
110,Clacton,0.3390481563800576,0.5286940399891312,0.5642946317103619,1.153035,51.789534
111,Clare,0.8209342547951174,0.2445089205334053,0.039095611258151336,-8.9811351,52.904532
112,Claremorris,0.8863025951040469,0.18217055171880486,0.01,-9.0017356,53.7238764
113,Clitheroe,0.7123426248604101,0.3863433499288764,0.05231481481481478,-2.3930830000000003,53.871098
114,Cockermouth,0.6786912397983789,0.3846056225918921,0.11815881381098862,-3.367985,54.663261
115,Colchester,0.28086623992511833,0.5888546730651992,0.5927734816623689,0.891874,51.895927
116,Coleraine,0.9376826895416024,0.03756589406744239,0.09847494553376948,-6.6646103000000005,55.1325802
117,Colne,0.7756866679366168,0.31834237591107645,0.02469135802469164,-2.176991,53.85564
118,Colwyn Bay,0.7318501825755453,0.26103390085083383,0.18485289982874675,-3.72764,53.293182
119,Cookstown,0.9118976543069262,0.08106531750470211,0.08834163979282818,-6.7443895000000005,54.6418158
120,Corby,0.38987953864725,0.6239384006432049,0.33966720343532025,-0.6842333,52.4922983
121,Cork,0.828977835489856,0.234002984865798,0.038116440666530735,-8.4756035,51.8985143
122,Corwen,0.6984797258269472,0.400168664905508,0.05978835978836135,-3.369242,52.980051
123,Coventry,0.5712710771566755,0.4588340522671761,0.2205319881160868,-1.519693,52.406822
124,Craigavon,0.9416536478325176,0.04152608659271779,0.08563038742066875,-6.4175653,54.4429264
125,Crawley,0.3151106661361198,0.7502734313260621,0.3100137174211243,-0.1872275,51.10914010000001
126,Crewe,0.5645357041407449,0.5284798430154892,0.1391197291474289,-2.4438209,53.100405
127,Cromer,0.4336876078544461,0.4588137219226581,0.4801607809359745,1.301866,52.931448
128,Cromer,0.4336876078544461,0.4588137219226581,0.4801607809359745,1.301866,52.931448
129,Cumnock,0.8525861697009458,0.17327803389946808,0.07563587684069673,-4.265828900000002,55.453552
130,Cupar,0.6825927671549904,0.4051655831560137,0.0830119375573935,-3.010137,56.320235
131,Dalbeattie,0.7985539868631247,0.15870511659985478,0.1972814565407165,-3.822527,54.93421899999999
132,Dalkeith,0.6280891152095469,0.3942092597283653,0.200659563673262,-3.066606,55.89311800000001
133,Dalwhinnie,0.9291583657437708,0.05626856330014297,0.08928395061728389,-4.242783,56.936604
134,Darlington,0.9501989306686568,0.029917583312521794,0.08519460936763684,-1.559458,54.52361
135,Dartmouth,0.10377366494993068,0.8098353993090831,0.6282844587929329,-3.578807,50.352517
136,Derby,0.4170942800732915,0.516569763427199,0.4334172360062333,-1.4746186,52.9225301
137,Dereham,0.4402166851543843,0.4529724485581872,0.4757353359503885,0.937827,52.68161800000001
138,Derry,0.9062983203466088,0.08729306831725099,0.09049049049049199,-7.308574799999999,54.9966124
139,Derry,0.9062983203466088,0.08729306831725099,0.09049049049049199,-7.308574799999999,54.9966124
140,Dingle,0.7941168916286514,0.2795357951175124,0.0423601739391218,-10.2640135,52.1409389
141,Dolgellau,0.5645588898810411,0.6313905365146673,0.01,-3.8844,52.74215
142,Doncaster,0.7231845531601893,0.3599268441373712,0.06755746868741301,-1.128462,53.52282
143,Donegal,0.9241774504419225,0.0966908736991845,0.04405458089668746,-8.1096143,54.653827
144,Doon,0.9566885852963001,0.08389732078771281,0.01,-7.60964,54.185930000000006
145,Dorchester,0.2689081126515484,0.7501145999974678,0.39740630838553664,-2.4411810000000003,50.7111639
146,Dorking,0.324911078188367,0.6834663472336608,0.3818063677712801,-0.332378,51.232202
147,Dover,0.5746808135281155,0.3771907770683777,0.324432960091875,1.3134027,51.1278758
148,Down,0.9059097706239488,0.06877074442864083,0.11625514403292266,-5.7156922,54.3287514
149,Downham Market,0.3026169423158388,0.4272048364153633,0.7701903292181074,0.385472,52.606612
150,Driffield,0.7760573282999221,0.2750734011169577,0.0824667031563599,-0.443377,54.005996
151,Drogheda,0.9515017789709136,0.07675518430401587,0.01943885362371191,-6.3560985,53.71785600000001
152,Dublin,0.9425895198774458,0.08929804002876547,0.019304359710264084,-6.2603097000000005,53.34980529999999
153,Dudley,0.6289469920027055,0.4227888106413996,0.16041777574973973,-2.081112,52.512255
154,Dumbarton,0.8948986326143262,0.14218495604037773,0.03781793842034836,-4.564554,55.945287
155,Dumfries,0.8264129963080433,0.1961960778045932,0.09404910528505936,-3.60512,55.070859
156,Dunbar,0.6227534399878691,0.4429808974882739,0.14481609637318912,-2.516737,56.002087
157,Dundee,0.8372039938181645,0.18686923494302848,0.08629247804505423,-2.970721,56.46201800000001
158,Dunfermline,0.6838343628437794,0.3263394216479806,0.18719678144598406,-3.452151,56.071741
159,Dungannon,0.9353072991127728,0.08106531750470211,0.04417081989641409,-6.7669352,54.5082725
160,Dunoon,0.9173971704769448,0.11186583033639197,0.036340247628235456,-4.926214,55.950973
