,placename,past_participle,past_participle_was,past_participle_were,present_participle,present_participle_was,present_participle_were,longitude,latitude
134,Aberystwyth,0.624798002256106,0.08465596574930255,0.01,0.3813477227896159,0.2752001054479604,0.01,-4.08292,52.4153
135,Lampeter,0.6597184922290927,0.42734159918306097,0.01,0.3395535544164519,0.2778409071685973,0.01,-4.0785089999999995,52.1129
136,Barnstaple,0.7349732919714747,0.2287627867422165,0.01,0.2712855242785078,0.18591585374160324,0.01,-4.058338,51.07816
137,Tain,0.23704021611040824,0.01,0.01,0.7673977936084817,0.01,0.01,-4.05523,57.8115
138,Okehampton,0.8147977632181634,0.01,0.01,0.20045765574446747,0.01,0.01,-4.004263,50.73831
139,Llandeilo,0.6773878577120489,0.4218027736237183,0.01,0.322384496187127,0.2742397797387513,0.01,-3.9914300000000003,51.88469
140,Motherwell,0.1307349029253343,0.01,0.01,0.8717128422937543,0.01,0.01,-3.9810968,55.78321
141,Golspie,0.23501321960254906,0.01,0.01,0.7693868880580955,0.01,0.01,-3.976086,57.97341
142,Airdrie,0.13093705462373909,0.01,0.01,0.8715144138127927,0.01,0.01,-3.9625660000000003,55.86626999999999
143,Swansea,0.7181265714199752,0.29964988569543866,0.01,0.28549221424109744,0.2435258974691142,0.01,-3.9436459999999998,51.62144
144,Stirling,0.13521582122515668,0.01,0.01,0.8673158447423543,0.01,0.01,-3.9369029,56.116519999999994
145,Tregaron,0.6483434532346144,0.26748251698943104,0.01,0.3540490694271534,0.2898445705243336,0.01,-3.934385,52.22
146,Castle Douglas,0.3934549450804672,0.01,0.01,0.6139116987093516,0.01,0.01,-3.9314139999999997,54.940419999999996
147,Dolgellau,0.7068777625565991,0.2415232225791601,0.01,0.30107680440119056,0.01,0.01,-3.8844,52.74215
148,Aberfeldy,0.14705811530169846,0.01,0.01,0.8556952612096986,0.01,0.01,-3.866969,56.62175
149,Machynlleth,0.6744201802919174,0.09454037844520638,0.01,0.3361400665826829,0.01,0.01,-3.853485,52.59027
150,Brora,0.2319558338315804,0.01,0.01,0.7723869935002031,0.01,0.01,-3.852548000000001,58.012159999999994
151,Llandudno,0.6949557514627752,0.13619901104709994,0.01,0.3091229621462833,0.4427565366517436,0.01,-3.827609,53.324059999999996
152,Aviemore,0.22077154761785373,0.01,0.01,0.7833619753561446,0.01,0.01,-3.823812,57.19449
153,Dalbeattie,0.4233863663264261,0.01,0.01,0.5845405838039689,0.01,0.01,-3.8225269999999996,54.934219999999996
154,Falkirk,0.15674190429891013,0.01,0.01,0.8461927691378966,0.01,0.01,-3.7839131,56.00188000000001
155,Kingsbridge,0.8088807698097542,0.01,0.01,0.2062638778154122,0.01,0.01,-3.777493,50.28395
156,Pitlochry,0.16449941445758282,0.01,0.01,0.8385804655854843,0.01,0.01,-3.729711,56.70436
157,Colwyn Bay,0.6940275879948058,0.1385405411290246,0.01,0.3098801721357824,0.4503684054189476,0.01,-3.72764,53.29318000000001
158,Totnes,0.8153019799505229,0.01,0.01,0.19996287944514016,0.01,0.01,-3.685797,50.43374
159,Grantown-on-Spey,0.219426739256784,0.01,0.01,0.7846815432531542,0.01,0.01,-3.609628,57.33041
160,Dumfries,0.3516558555410516,0.01,0.01,0.6549281852919976,0.01,0.01,-3.60512,55.070859999999996
161,Whitehaven,0.8598793137394107,0.5428696398883123,0.01,0.1443517252733633,0.01,0.01,-3.589233,54.5497
162,Dartmouth,0.8039763697797827,0.10511010518659593,0.01,0.20877845626588187,0.01,0.01,-3.578807,50.35252
163,Bridgend,0.7791338426223956,0.20294081462286093,0.01,0.2287986444214651,0.1649302994831915,0.01,-3.576945,51.50429000000001
164,Paignton,0.8085448222157189,0.11323336965514695,0.01,0.20411791510738755,0.01,0.01,-3.564235,50.43508
165,Workington,0.8024646495936267,0.3742586195488299,0.01,0.2043776356673037,0.01,0.01,-3.5427519999999997,54.64357
166,Llanidloes,0.7317923781281641,0.08846172352674826,0.01,0.279974940542367,0.01,0.01,-3.5401949999999998,52.44779000000001
167,Exeter,0.8204117113108356,0.01,0.01,0.19494876808470887,0.01,0.01,-3.533899,50.71841
168,Torquay,0.8093523356181188,0.11255555237784344,0.01,0.20334035664097205,0.01,0.01,-3.525315,50.46192
169,Thurso,0.2319558338315804,0.01,0.01,0.7723869935002031,0.01,0.01,-3.5220800000000003,58.59356999999999
170,Livingston,0.17881548731604605,0.01,0.01,0.8245323704187406,0.01,0.01,-3.518068,55.90071
171,Rhyl,0.7059800129593251,0.06897382104858972,0.01,0.29969828758317435,0.4484410058005089,0.01,-3.4916339999999995,53.319140000000004
172,Tiverton,0.8237625783663021,0.08237910304919906,0.01,0.18985967566994275,0.01,0.01,-3.491207,50.90205
173,Minehead,0.8311615441790755,0.1859384941220881,0.01,0.1803351085837892,0.01,0.01,-3.481152,51.20428
174,Dunfermline,0.17942694436189552,0.01,0.01,0.8239323986599602,0.01,0.01,-3.452151,56.07174000000001
175,Perth,0.18114394560753205,0.01,0.01,0.8222475447712739,0.01,0.01,-3.4308381000000003,56.39499
176,Prestatyn,0.7168782202727852,0.06740779750760945,0.01,0.2891752885629844,0.4382593106066365,0.01,-3.4076129999999996,53.33651
177,Builth Wells,0.7555789532897992,0.3153303212006968,0.01,0.2516737855504849,0.01,0.01,-3.4045919999999996,52.15002
178,Braemar,0.2162272880336073,0.01,0.01,0.7878211282552168,0.01,0.01,-3.3979439,57.00646999999999
179,Brecon,0.8171274531457355,0.3974803807771582,0.01,0.1851367325155712,0.3230328875453451,0.01,-3.391463,51.94895
180,Merthyr Tydfil,0.820889950575952,0.22132061127824185,0.01,0.18964089871206471,0.01,0.01,-3.381646,51.74873
181,Llandrindod Wells,0.7600752293375515,0.09670129789985006,0.01,0.2520414147001097,0.01,0.01,-3.377742,52.2417
182,Corwen,0.6946764465609818,0.06829188026674053,0.01,0.3108647917703359,0.4440072641805974,0.01,-3.369242,52.98005
183,Cockermouth,0.796973412671811,0.35218995603419045,0.01,0.21024847956797105,0.01,0.01,-3.367985,54.66326
184,Lockerbie,0.4136466509967368,0.01,0.01,0.5940979551013941,0.01,0.01,-3.349008,55.12224000000001
185,Blairgowrie,0.1726725138212819,0.01,0.01,0.8305603292260241,0.01,0.01,-3.3378318,56.58941
186,Elgin,0.2200890075750395,0.01,0.01,0.7840316252328513,0.01,0.01,-3.318485,57.64945
