,placename,what_for,why,why_for_continuous,why_for_discontinuous,longitude,latitude
165,Workington,0.6618668087235609,0.9316615,0.01,0.4632403216572251,-3.5427519999999997,54.64357
166,Llanidloes,0.6783941420657073,0.9316615,0.01,0.22090584187978135,-3.5401949999999998,52.447790000000005
167,Exeter,0.6364850144133557,0.9316615,0.01,0.25091403308742727,-3.533899,50.71841
168,Torquay,0.543138952962311,0.9316615,0.01,0.24576145993597698,-3.525315,50.46192
169,Thurso,0.5278362415525979,0.9316615,0.01,0.1656534099973058,-3.5220800000000003,58.59356999999999
170,Livingston,0.4687289667526678,0.9316615,0.01,0.17738445677913828,-3.518068,55.90071
171,Rhyl,0.4607658302917013,0.9316615,0.18051258430193265,0.250978840451139,-3.4916339999999995,53.319140000000004
172,Tiverton,0.617721353789451,0.9316615,0.13968494153046845,0.22373385244216304,-3.491207,50.90205
173,Minehead,0.6437146152749226,0.9316615,0.18064564392815202,0.4912764580216672,-3.481152,51.20428
174,Dunfermline,0.43591562428014086,0.9316615,0.01,0.2604751410030983,-3.452151,56.071740000000005
175,Perth,0.5026254555416392,0.9316615,0.01,0.19355419867522672,-3.4308381000000003,56.39499
176,Prestatyn,0.453092957917614,0.9316615,0.18072010696671512,0.23920655513744038,-3.4076129999999996,53.33651
177,Builth Wells,0.9978089561659038,0.9316615,0.01,0.6739464538296832,-3.4045919999999996,52.15002
178,Braemar,0.6429965491762774,0.9316615,0.01,0.43622523361669846,-3.3979439,57.00646999999999
179,Brecon,0.5377085956702835,0.9316615,0.01,0.48746730828541646,-3.391463,51.94895
180,Merthyr Tydfil,0.4745604060097042,0.9316615,0.01,0.5653575893078706,-3.381646,51.74873
181,Llandrindod Wells,0.9705429766638364,0.9316615,0.01,0.23925809637840942,-3.377742,52.2417
182,Corwen,0.38330947748807936,0.9316615,1.0,0.1779670583616344,-3.369242,52.98005
183,Cockermouth,0.6564434830227853,0.9316615,0.01,0.49562777397673047,-3.367985,54.66326
184,Lockerbie,0.6718359175368729,0.9316615,0.01,0.41822213571393124,-3.349008,55.122240000000005
185,Blairgowrie,0.6144190372739027,0.9316615,0.01,0.1820312832345455,-3.3378318,56.58941
186,Elgin,0.5283993313800511,0.9316615,0.01,0.17118413688555975,-3.318485,57.64945
187,Newtown,0.8447956239876266,0.9316615,0.6736194551958746,0.2472567652240806,-3.313106,52.51211
188,Ruthin,0.4833394883195426,0.9316615,0.18509812694402927,0.2717662731844189,-3.3103108,53.114869999999996
189,Sidmouth,0.5448535361731774,0.9316615,0.14631385342157663,0.20505747803861232,-3.2375599999999998,50.67865
