index,placename,longitude,latitude,masel,maself,mesel,meself,meseln,mesels,mesen,mysel,myself,myseln,mysels,mysen
101,Helensburgh,-4.734014,56.00232,0.4143937786517287,0.10372897942321484,0.09575432828905064,0.05466944898141684,0.01,0.01,0.01,0.3433548506487217,0.09571934235613858,0.01,0.01,0.01
102,Bodmin,-4.7188629,50.4715,0.01,0.01,0.01,0.2481559622349007,0.01,0.01,0.01,0.01,0.15725486637758904,0.01,0.01,0.01
103,Tenby,-4.703579,51.672740000000005,0.01,0.01,0.01,0.03225680829911366,0.01,0.01,0.01,0.01,0.2328269570898283,0.01,0.01,0.01
104,Camelford,-4.682364,50.62206,0.01,0.01,0.01,0.19012774594494516,0.01,0.01,0.01,0.01,0.10959194146389005,0.01,0.01,0.01
105,Irvine,-4.6696364,55.61156999999999,0.6456477529766855,0.16161531840816915,0.14919038383917474,0.08517793632464343,0.01,0.01,0.01,0.4766054387219299,0.18239569660968158,0.01,0.01,0.01
106,Cardigan,-4.660864,52.0837,0.01,0.01,0.01,0.013831224597942844,0.01,0.01,0.01,0.01,0.1971627022985211,0.01,0.01,0.01
107,Holyhead,-4.633038,53.30944,0.01,0.01,0.01,0.2389630657940355,0.01,0.01,0.01,0.03581507561170358,0.1452431988314487,0.01,0.01,0.01
108,Ayr,-4.629179,55.45856,0.6939522971646217,0.17370667047050134,0.16035215657879862,0.09155057739721219,0.01,0.01,0.01,0.5122629754651663,0.1995262263347415,0.01,0.01,0.01
109,Dumbarton,-4.564554,55.94529,0.5705097879606779,0.14280715856463527,0.1318281893764032,0.07526526061224473,0.01,0.01,0.01,0.4211399583326245,0.15574907019334758,0.01,0.01,0.01
110,Bude,-4.543678,50.826640000000005,0.01,0.01,0.01,0.2590651836620387,0.01,0.01,0.01,0.01,0.1662154278939112,0.01,0.01,0.01
111,Isle of Man,-4.5126330999999995,54.27697,0.11264990668491143,0.01,0.2915372692709422,0.3963064149782429,0.01,0.01,0.012282405442555674,0.13859353465572707,0.17536862360619224,0.01,0.01,0.12239530746197673
112,Kilmarnock,-4.498792,55.61472,0.6138943936412411,0.15366697621094602,0.14185310767644135,0.08098883227046161,0.01,0.01,0.01,0.45316568587342715,0.17113481266778963,0.01,0.01,0.01
113,Newton Stewart,-4.483164,54.9603,0.2189358761570947,0.01,0.15088927977263886,0.0565110125007455,0.01,0.01,0.01,0.21582057669883284,0.07532831042689224,0.01,0.01,0.01
114,Liskeard,-4.4647190000000005,50.45552,0.01,0.01,0.01,0.26543019200448814,0.01,0.01,0.01,0.01,0.1714434864850168,0.01,0.01,0.01
115,Altnaharra,-4.442655,58.28023,0.07255728418221861,0.01,0.031296296842884506,0.01,0.01,0.01,0.01,0.1530299012619191,0.01,0.01,0.01,0.01
116,Pwllheli,-4.417633900000001,52.888819999999996,0.01,0.01,0.01,0.26279321756851537,0.01,0.01,0.01,0.03316772055969956,0.11867116111557781,0.01,0.01,0.01
117,Lairg,-4.402414,58.022059999999996,0.07255728418221861,0.01,0.031296296842884506,0.01,0.01,0.01,0.01,0.14027740899699614,0.01,0.01,0.01,0.01
118,Launceston,-4.360451599999999,50.636829999999996,0.01,0.01,0.01,0.24613816622297935,0.01,0.01,0.01,0.01,0.15559749922146612,0.01,0.01,0.01
119,Carmarthen,-4.312131,51.857620000000004,0.01,0.01,0.01,0.019866358316531024,0.01,0.01,0.01,0.01,0.3035151788265931,0.01,0.01,0.01
120,Llangefni,-4.311401999999999,53.25578,0.01,0.01,0.01,0.37779975863636106,0.01,0.01,0.01,0.045298806930282445,0.17346751912286093,0.01,0.01,0.01
121,Caernarfon,-4.273911,53.13955,0.01,0.01,0.01,0.3405114935692139,0.01,0.01,0.01,0.04297671823712518,0.16754071403942286,0.01,0.01,0.01
122,Cumnock,-4.265828900000001,55.45355,0.4867309766479513,0.12183606526532482,0.1124693470979158,0.06421262978924637,0.01,0.01,0.01,0.35929596222605764,0.1260380887184147,0.01,0.01,0.01
123,Aberaeron,-4.2581619,52.24279,0.01,0.01,0.01,0.03881523802784696,0.01,0.01,0.01,0.01,0.1737004867134944,0.01,0.01,0.01
124,Alness,-4.256825,57.69595,0.2242491679835655,0.01,0.04836295010795692,0.027392931996880313,0.01,0.01,0.01630016811513371,0.43354836952642994,0.13342474148987932,0.01,0.01,0.01
125,Glasgow,-4.251806,55.86424,1.0,0.30210430762004153,0.2788786239895433,0.15922142610808163,0.01,0.01,0.01,1.0,0.39502232439492485,0.01,0.01,0.01
126,Dalwhinnie,-4.242783,56.9366,0.060464403485182186,0.10594600723332505,0.01,0.02481685604095026,0.01,0.01,0.01,0.06376245910568112,0.016430687383583574,0.01,0.01,0.01
127,Inverness,-4.224721,57.47776999999999,0.360814766357208,0.01,0.07781552413530757,0.044074965571411204,0.01,0.01,0.02622681458722828,0.6975751797067609,0.24304239454158966,0.01,0.01,0.01
128,Saltash,-4.21643,50.409209999999995,0.01,0.01,0.01,0.24933583777442034,0.01,0.01,0.01,0.01,0.15822398662361958,0.01,0.01,0.01
129,Bideford,-4.206666,51.01668,0.01,0.01,0.01,0.19231434534239408,0.01,0.01,0.01,0.01,0.20929843856962932,0.01,0.01,0.01
130,Invergordon,-4.1728819999999995,57.688109999999995,0.22688994842071086,0.01,0.048932477003758336,0.027715513880166125,0.01,0.01,0.016492120511067593,0.4386538781135815,0.13554442724670324,0.01,0.01,0.01
131,Llanelli,-4.160248,51.680890000000005,0.01,0.01,0.01,0.022279134133517117,0.01,0.01,0.01,0.01,0.3460336540433348,0.01,0.01,0.01
132,Plymouth,-4.1426565,50.37546,0.01,0.01,0.01,0.5010473288969155,0.01,0.01,0.01,0.01,0.3649735072592105,0.01,0.01,0.01
133,Tavistock,-4.141654,50.551120000000004,0.01,0.01,0.01,0.2798528157180368,0.01,0.01,0.01,0.01,0.1832898687291733,0.01,0.01,0.01
134,Porthmadog,-4.1333839999999995,52.92784,0.01,0.01,0.01,0.3120751417824993,0.01,0.01,0.01,0.03938770259004837,0.14965982591229257,0.01,0.01,0.01
135,Bangor,-4.129263,53.22739,0.01,0.01,0.01,0.46760084012612957,0.01,0.01,0.01,0.05606610299002131,0.22577032438816982,0.01,0.01,0.01
136,Tywyn,-4.087249,52.58701,0.01,0.01,0.01,0.12964469240803367,0.01,0.01,0.01,0.01,0.10831582293239847,0.01,0.01,0.01
137,Aberystwyth,-4.08292,52.4153,0.01,0.01,0.01,0.23595408830485545,0.01,0.01,0.01,0.01,0.2673607612003625,0.01,0.01,0.01
138,Lampeter,-4.0785089999999995,52.1129,0.01,0.01,0.01,0.013965907273036888,0.01,0.01,0.01,0.01,0.19953611052932135,0.01,0.01,0.01
139,Barnstaple,-4.058338,51.07816,0.01,0.01,0.01,0.10825049398978409,0.01,0.01,0.01,0.01,0.3090828047169169,0.01,0.01,0.01
140,Tain,-4.05523,57.8115,0.16872630710615408,0.01,0.036388549602434976,0.012366357033147375,0.01,0.01,0.01,0.3262041772545163,0.09378279222724635,0.01,0.01,0.01
141,Okehampton,-4.004263,50.73831,0.01,0.01,0.01,0.1782488911831876,0.01,0.01,0.01,0.01,0.14590776601505218,0.01,0.01,0.01
142,Llandeilo,-3.9914300000000003,51.88469,0.01,0.01,0.01,0.017318678774378943,0.01,0.01,0.01,0.01,0.25861939998523165,0.01,0.01,0.01
143,Motherwell,-3.9810968,55.78321,0.626994698191431,0.18941779917855917,0.17485541868036525,0.12835413734512396,0.01,0.01,0.01,0.626994698191431,0.22178510656254258,0.01,0.01,0.01
144,Golspie,-3.976086,57.97341,0.07255728418221861,0.01,0.031296296842884506,0.01,0.01,0.01,0.01,0.14027740899699614,0.010606711231753819,0.01,0.01,0.01
145,Airdrie,-3.9625660000000003,55.86626999999999,0.5491324299987458,0.165895272556482,0.1531412964660844,0.1124146975150355,0.01,0.01,0.01,0.6090377835152595,0.1809979606437818,0.01,0.01,0.01
146,Swansea,-3.9436459999999998,51.62144,0.01,0.01,0.01,0.03250304691387791,0.01,0.01,0.01,0.01,0.5262017322831557,0.01,0.01,0.01
147,Stirling,-3.9369029,56.116519999999994,0.4259762697853054,0.5331411195102868,0.039372280821576455,0.08028212115802769,0.01,0.01,0.01,0.5133843672426023,0.25715735416783864,0.01,0.01,0.01
148,Tregaron,-3.934385,52.22,0.01,0.01,0.01,0.027422903171693564,0.01,0.01,0.01,0.01,0.19095676252411165,0.01,0.01,0.01
149,Tregaron,-3.934385,52.22,0.01,0.01,0.01,0.027422903171693564,0.01,0.01,0.01,0.01,0.19095676252411165,0.01,0.01,0.01
150,Castle Douglas,-3.9314139999999997,54.940419999999996,0.24147420886392215,0.01,0.2071791076227224,0.04847774530977075,0.01,0.01,0.013736518167862727,0.2601812959125585,0.07408761878032462,0.01,0.01,0.05133213443704524
151,Dolgellau,-3.8844,52.74215,0.01,0.01,0.01,0.20393412229863886,0.01,0.01,0.01,0.027168926068921535,0.09216843208370265,0.01,0.01,0.01
152,Aberfeldy,-3.866969,56.62175,0.1444134925216337,0.3163024704699738,0.046717647026494016,0.06350647410789484,0.01,0.01,0.01,0.19036322827279728,0.15259217070768127,0.01,0.01,0.01
153,Machynlleth,-3.853485,52.59027,0.01,0.01,0.01,0.18622430047662158,0.01,0.01,0.01,0.031897996137344196,0.13221017428750137,0.01,0.01,0.01
154,Brora,-3.8525480000000005,58.012159999999994,0.14857355629849212,0.01,0.06408456674374996,0.010889313435370992,0.01,0.01,0.01,0.2872421943285658,0.07051361339744551,0.01,0.01,0.01
155,Llandudno,-3.827609,53.324059999999996,0.01,0.01,0.01,0.3656069869920014,0.01,0.01,0.01,0.04870763699524914,0.2021594609094347,0.01,0.01,0.01
156,Llandudno,-3.827609,53.324059999999996,0.01,0.01,0.01,0.3656069869920014,0.01,0.01,0.01,0.04870763699524914,0.2021594609094347,0.01,0.01,0.01
157,Aviemore,-3.823812,57.19449,0.1369632450919789,0.01,0.04430749943401818,0.030115097371750114,0.01,0.01,0.01,0.2527594306329166,0.14681465275350275,0.01,0.01,0.01
158,Dalbeattie,-3.8225269999999996,54.934219999999996,0.19189143285703825,0.01,0.16463826926614078,0.038523633861091505,0.01,0.01,0.010915949020391388,0.18036277313537885,0.05259920665093234,0.01,0.01,0.040791920905663276
159,Falkirk,-3.7839131,56.00188000000001,0.4267312759933282,0.5340860661740654,0.05916309600837378,0.12063662144307762,0.01,0.01,0.01,0.5464376929662675,0.23767796503083496,0.01,0.01,0.01
