,placename,masel,maself,mesel,meself,meseln,mesels,mesen,mysel,myself,myseln,mysels,mysen,longitude,latitude
122,Cumnock,1.0,0.20000004800000198,0.1543209866666667,0.11666666,0.01,0.01,0.01,0.6072649568626561,0.4411764705882353,0.01,0.01,0.01,-4.265828900000002,55.45355
123,Aberaeron,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.9411764705882352,0.01,0.01,0.01,-4.2581619,52.24279
124,Alness,0.5320197378747369,0.01,0.07662835333333333,0.05747126,0.01,0.01,0.031830239086717005,0.8461538444378697,0.5672751764705882,0.01,0.01,0.01,-4.256825,57.69595
125,Glasgow,0.8285714417959187,0.20000004800000198,0.1543209866666667,0.11666666,0.01,0.01,0.01,0.6816239327202498,0.4607843529411764,0.01,0.01,0.01,-4.251806,55.86424
126,Dalwhinnie,0.4433497815622807,0.6206897048275882,0.01,0.16091954,0.01,0.01,0.031830239086717005,0.38461538667455614,0.6281270588235294,0.01,0.01,0.01,-4.242783,56.9366
127,Inverness,0.5320197378747369,0.01,0.07662835333333333,0.05747126,0.01,0.01,0.031830239086717005,0.8461538444378697,0.5672751764705882,0.01,0.01,0.01,-4.224721,57.47776999999999
128,Saltash,0.01,0.01,0.01,0.53333334,0.01,0.01,0.01,0.01,0.6862744705882354,0.01,0.01,0.01,-4.21643,50.409209999999995
129,Bideford,0.01,0.01,0.01,0.36666666,0.01,0.01,0.01,0.01,0.7843137647058823,0.01,0.01,0.01,-4.206666,51.01668
130,Invergordon,0.5320197378747369,0.01,0.07662835333333333,0.05747126,0.01,0.01,0.031830239086717005,0.8461538444378697,0.5672751764705882,0.01,0.01,0.01,-4.1728819999999995,57.688109999999995
131,Llanelli,0.01,0.01,0.01,0.03333334,0.01,0.01,0.01,0.01,0.9803921176470588,0.01,0.01,0.01,-4.160248,51.68089000000001
132,Plymouth,0.01,0.01,0.01,0.53333334,0.01,0.01,0.01,0.01,0.6862744705882354,0.01,0.01,0.01,-4.1426565,50.37546
133,Tavistock,0.01,0.01,0.01,0.53333334,0.01,0.01,0.01,0.01,0.6862744705882354,0.01,0.01,0.01,-4.141654,50.551120000000004
134,Porthmadog,0.01,0.01,0.01,0.63333334,0.01,0.01,0.01,0.07435897585759367,0.6078431764705882,0.01,0.01,0.01,-4.1333839999999995,52.92784
135,Bangor,0.01,0.01,0.01,0.66666666,0.01,0.01,0.01,0.07435897585759367,0.5882352941176471,0.01,0.01,0.01,-4.129263,53.22739
136,Tywyn,0.01,0.01,0.01,0.4,0.01,0.01,0.01,0.01,0.7647058823529412,0.01,0.01,0.01,-4.087249,52.58701
137,Aberystwyth,0.01,0.01,0.01,0.36666666,0.01,0.01,0.01,0.01,0.7843137647058823,0.01,0.01,0.01,-4.08292,52.4153
138,Lampeter,0.01,0.01,0.01,0.03333334,0.01,0.01,0.01,0.01,0.9803921176470588,0.01,0.01,0.01,-4.0785089999999995,52.1129
139,Barnstaple,0.01,0.01,0.01,0.16666666,0.01,0.01,0.01,0.01,0.9019608235294116,0.01,0.01,0.01,-4.058338,51.07816
140,Tain,0.5320197378747369,0.01,0.07662835333333333,0.03448276,0.01,0.01,0.01,0.8461538444378697,0.5943204705882352,0.01,0.01,0.01,-4.05523,57.8115
141,Okehampton,0.01,0.01,0.01,0.43333334,0.01,0.01,0.01,0.01,0.7450979999999999,0.01,0.01,0.01,-4.004263,50.73831
142,Llandeilo,0.01,0.01,0.01,0.03333334,0.01,0.01,0.01,0.01,0.9803921176470588,0.01,0.01,0.01,-3.9914300000000003,51.88469
143,Motherwell,0.8285714417959187,0.20000004800000198,0.1543209866666667,0.15,0.01,0.01,0.01,0.6816239327202498,0.4411764705882353,0.01,0.01,0.01,-3.9810968,55.78321
144,Golspie,0.5320197378747369,0.01,0.15325670444444445,0.03448276,0.01,0.01,0.01,0.8461538444378697,0.5537525882352942,0.01,0.01,0.01,-3.976086,57.97341
145,Airdrie,0.8285714417959187,0.20000004800000198,0.1543209866666667,0.15,0.01,0.01,0.01,0.7559829041163049,0.4215685882352941,0.01,0.01,0.01,-3.9625660000000003,55.86626999999999
146,Swansea,0.01,0.01,0.01,0.03333334,0.01,0.01,0.01,0.01,0.9803921176470588,0.01,0.01,0.01,-3.9436459999999998,51.62144
147,Stirling,0.6000000308571436,0.600000024000001,0.037037037777777775,0.1,0.01,0.01,0.01,0.5948717934761341,0.5686274117647061,0.01,0.01,0.01,-3.9369029,56.116519999999994
148,Tregaron,0.01,0.01,0.01,0.06666666,0.01,0.01,0.01,0.01,0.9607843529411764,0.01,0.01,0.01,-3.934385,52.22
149,Tregaron,0.01,0.01,0.01,0.06666666,0.01,0.01,0.01,0.01,0.9607843529411764,0.01,0.01,0.01,-3.934385,52.22
150,Castle Douglas,0.6571428835918374,0.01,0.3765432088888888,0.11666666,0.01,0.01,0.03076923047100592,0.5824786345511505,0.3954248235294118,0.01,0.01,0.12244898214077468,-3.9314139999999997,54.940419999999996
151,Dolgellau,0.01,0.01,0.01,0.6,0.01,0.01,0.01,0.07435897585759367,0.6274509411764706,0.01,0.01,0.01,-3.8844,52.74215
152,Aberfeldy,0.34285716783673525,0.600000024000001,0.07407407333333334,0.13333334,0.01,0.01,0.01,0.3717948703648915,0.6470588235294117,0.01,0.01,0.01,-3.866969,56.62175
153,Machynlleth,0.01,0.01,0.01,0.46666666,0.01,0.01,0.01,0.07435897585759367,0.7058823529411765,0.01,0.01,0.01,-3.853485,52.59027
154,Brora,0.5320197378747369,0.01,0.15325670444444445,0.03448276,0.01,0.01,0.01,0.8461538444378697,0.5537525882352942,0.01,0.01,0.01,-3.852548000000001,58.012159999999994
155,Llandudno,0.01,0.01,0.01,0.6,0.01,0.01,0.01,0.07435897585759367,0.6274509411764706,0.01,0.01,0.01,-3.827609,53.324059999999996
156,Llandudno,0.01,0.01,0.01,0.6,0.01,0.01,0.01,0.07435897585759367,0.6274509411764706,0.01,0.01,0.01,-3.827609,53.324059999999996
157,Aviemore,0.3546798252498246,0.01,0.07662835333333333,0.06896552,0.01,0.01,0.01,0.5384615377751479,0.6957403529411765,0.01,0.01,0.01,-3.823812,57.19449
158,Dalbeattie,0.6571428835918374,0.01,0.3765432088888888,0.11666666,0.01,0.01,0.03076923047100592,0.5081196586935569,0.41503270588235297,0.01,0.01,0.12244898214077468,-3.8225269999999996,54.934219999999996
159,Falkirk,0.6000000308571436,0.600000024000001,0.05555555555555556,0.15,0.01,0.01,0.01,0.6320512836357002,0.5196078823529412,0.01,0.01,0.01,-3.7839131,56.00188000000001
160,Kingsbridge,0.01,0.01,0.01,0.53333334,0.01,0.01,0.01,0.01,0.6862744705882354,0.01,0.01,0.01,-3.777493,50.28395
