,placename,'ee,deesel,thasel,thaself,thaseln,thasels,thasen,theesel,theeself,theeseln,theesels,theesen,thysen,yesel,yeself,you,yoursel,yourself,yourselfs,yourseln,yoursels,yourselt,yourselve,yourselves,yoursen,longitude,latitude
47,Armagh,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-6.652792,54.350280000000005
48,Armagh,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-6.652792,54.350280000000005
49,Magherafelt,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.8571428565306122,0.2653060624739643,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-6.607980499999999,54.75536999999999
50,Louth,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-6.4889423,53.925230000000006
51,Wexford,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-6.4633381,52.33692
52,Craigavon,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-6.4175653,54.442930000000004
53,Drogheda,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-6.3560985,53.717859999999995
54,Rosslare,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-6.3414908,52.25131
55,Newry,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-6.34023,54.1751
56,Ballymena,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.8571428565306122,0.2653060624739643,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-6.2802213,54.86529
57,Banbridge,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-6.2704803,54.34873
58,Dublin,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-6.2603097000000005,53.34981
59,Antrim,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.21428571413265304,0.8163265156184911,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-6.2072498,54.719530000000006
60,Antrim,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.21428571413265304,0.8163265156184911,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-6.2072498,54.719530000000006
61,Wicklow,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-6.044589,52.980819999999994
62,Kilkeel,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-6.007004,54.06312
63,Belfast,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-5.93012,54.597280000000005
64,Down,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-5.7156921999999994,54.32875
65,Balivanich,0.01,0.01,0.2146001437855325,0.01,0.01,0.01,0.18852722925158344,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5911330045777621,0.208303914963585,0.01,0.01,1.0,1.0,0.01,0.01,0.01,-7.3743509000000005,57.472269999999995
66,Western Isles,0.01,0.01,0.2146001437855325,0.01,0.01,0.01,0.18852722925158344,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5541871924612948,0.271639675235892,0.01,0.01,0.7999999930400001,1.0,0.01,0.01,0.01,-7.0194034,57.759890000000006
67,Dunvegan,0.01,0.01,0.2146001437855325,0.01,0.01,0.01,0.18852722925158344,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5541871924612948,0.271639675235892,0.01,0.01,0.7999999930400001,1.0,0.01,0.01,0.01,-6.581398200000001,57.4366
68,Stornoway,0.01,0.01,0.2146001437855325,0.01,0.01,0.01,0.18852722925158344,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.8497536936787473,0.08163257809245544,0.01,0.01,0.40000000232000005,1.0,0.01,0.01,0.01,-6.384869200000001,58.209430000000005
69,Scilly Isles,1.0,0.01,0.01,0.18181818033057856,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02380952355442177,0.8367346601416048,0.01,1.0,0.19333333619466667,0.01,0.01,0.01,0.01,-6.327496599999999,49.92773
70,Portree,0.01,0.01,0.2146001437855325,0.01,0.01,0.01,0.18852722925158344,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.48029556608550317,0.33497525183471455,0.01,0.01,0.7999999930400001,1.0,0.01,0.01,0.01,-6.1960231,57.41246999999999
