placename,bap,bap (only if crusty),bap (only if soft),barm,barmcake,batch,breadbun,breadcake,breadroll,bun,butty,cake,cob,cob (only if crusty),cookie,dinner roll,flour bap,flourcake,Glasgow (only if browner on top),morning roll,muffin,oven bottom bread,rhol bara,roll,roll (only if crusty),roll (only if soft),softie,split,stottie,stottiecake,teacake,longitude,latitude
Magherafelt,0.78461538,0.000000000,0.015384615,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.038461538,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.0000000000,0.000000000,0.00000000,0.000000000,0.0000000000,0.015384615,0.000000000,0.000000000,0.13076923,0.000000000,0.0153846154,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000, -6.6079805,54.75537
Louth,0.72916667,0.000000000,0.000000000,0.000000000,0.0000000000,0.041666667,0.000000000,0.000000000,0.020833333,0.000000000,0.000000000,0.000000000,0.020833333,0.000000000,0.00000000,0.0000000000,0.000000000,0.00000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.18750000,0.000000000,0.0000000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000, -6.4889423,53.92523
Wexford,0.24358974,0.000000000,0.092307692,0.015384615,0.0000000000,0.015384615,0.000000000,0.000000000,0.282051282,0.015384615,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.0000000000,0.000000000,0.00000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.25897436,0.000000000,0.0769230769,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000, -6.4633381,52.33692
Craigavon,0.55357143,0.000000000,0.000000000,0.000000000,0.0000000000,0.035714286,0.000000000,0.000000000,0.089285714,0.071428571,0.000000000,0.000000000,0.017857143,0.000000000,0.00000000,0.0000000000,0.000000000,0.00000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.23214286,0.000000000,0.0000000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000, -6.4175653,54.44293
Drogheda,0.65277778,0.000000000,0.000000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.194444444,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.0000000000,0.000000000,0.00000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.15277778,0.000000000,0.0000000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000, -6.3560985,53.71786
Rosslare,0.24358974,0.000000000,0.092307692,0.015384615,0.0000000000,0.015384615,0.000000000,0.000000000,0.282051282,0.015384615,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.0000000000,0.000000000,0.00000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.25897436,0.000000000,0.0769230769,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000, -6.3414908,52.25131
Newry,0.72916667,0.000000000,0.000000000,0.000000000,0.0000000000,0.041666667,0.000000000,0.000000000,0.020833333,0.000000000,0.000000000,0.000000000,0.020833333,0.000000000,0.00000000,0.0000000000,0.000000000,0.00000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.18750000,0.000000000,0.0000000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000, -6.3402300,54.17510
Ballymena,0.81333333,0.000000000,0.013333333,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.0000000000,0.000000000,0.00000000,0.000000000,0.0000000000,0.013333333,0.000000000,0.000000000,0.14666667,0.000000000,0.0133333333,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000, -6.2802213,54.86529
Banbridge,0.71527778,0.000000000,0.000000000,0.000000000,0.0000000000,0.041666667,0.000000000,0.000000000,0.048611111,0.000000000,0.000000000,0.000000000,0.020833333,0.000000000,0.00000000,0.0000000000,0.000000000,0.00000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.17361111,0.000000000,0.0000000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000, -6.2704803,54.34873
Dublin,0.44047619,0.000000000,0.014285714,0.014285714,0.0000000000,0.014285714,0.000000000,0.000000000,0.190476190,0.014285714,0.000000000,0.000000000,0.000000000,0.000000000,0.00000000,0.0000000000,0.000000000,0.00000000,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000,0.24047619,0.000000000,0.0714285714,0.000000000,0.0000000000,0.000000000,0.000000000,0.000000000, -6.2603097,53.34981
