placename,gone,went,longitude,latitude
Barrow-in-Furness,1.0000000,0.000000000, -3.2188940,54.10897
Peebles,0.7100592,0.289940828, -3.1936420,55.65307
Edinburgh,0.7015131,0.298486933, -3.1882670,55.95325
Cardiff,0.9792100,0.020790021, -3.1790900,51.48158
Llangollen,0.9537671,0.046232877, -3.1716600,52.96921
Kirkcaldy,0.7015131,0.298486933, -3.1581370,56.11682
Welshpool,0.9911032,0.008896797, -3.1464070,52.66035
Mold,0.9540034,0.045996593, -3.1419030,53.16720
Mold,0.9540034,0.045996593, -3.1419030,53.16720
Taunton,0.9847870,0.015212982, -3.1068490,51.01534
Wick,0.7537879,0.246212121, -3.0937160,58.43894
John o' Groats,0.7537879,0.246212121, -3.0688997,58.63734
Dalkeith,0.7015131,0.298486933, -3.0666060,55.89312
Oswestry,0.9889381,0.011061947, -3.0564120,52.85715
Blackpool,0.9632466,0.036753446, -3.0356748,53.81751
Birkenhead,0.9580745,0.041925466, -3.0230090,53.38999
Cupar,0.7534247,0.246575342, -3.0101370,56.32023
Southport,0.9629057,0.037094281, -3.0101130,53.64571
Bridgwater,0.9794661,0.020533881, -3.0036320,51.12789
Langholm,0.8123894,0.187610619, -2.9989130,55.15306
Newport,0.9797366,0.020263425, -2.9976640,51.58415
Axminster,1.0000000,0.000000000, -2.9949370,50.78273
Wrexham,0.9540034,0.045996593, -2.9924940,53.04304
Liverpool,0.9578783,0.042121685, -2.9915726,53.40837
Weston-super-Mare,0.9798793,0.020120724, -2.9772550,51.34741
Dundee,0.7295597,0.270440252, -2.9707210,56.46202
Kirkwall,0.7537879,0.246212121, -2.9622491,58.98467
Ambleside,1.0000000,0.000000000, -2.9613330,54.42874
Orkney Islands,0.7537879,0.246212121, -2.9605206,58.98094
Lyme Regis,1.0000000,0.000000000, -2.9366390,50.72516
Carlisle,0.8519417,0.148058252, -2.9329310,54.89247
Chester,0.9540034,0.045996593, -2.8930750,53.19339
Forfar,0.7295597,0.270440252, -2.8890620,56.64356
Morecambe,1.0000000,0.000000000, -2.8649680,54.07417
Selkirk,0.7918782,0.208121827, -2.8385240,55.55066
Galashiels,0.7969925,0.203007519, -2.8144490,55.62373
Lancaster,1.0000000,0.000000000, -2.8007399,54.04657
St Andrews,0.7534247,0.246575342, -2.7967214,56.33978
Hawick,0.8072727,0.192727273, -2.7809140,55.42706
Bridport,1.0000000,0.000000000, -2.7583010,50.73358
Shrewsbury,0.9720670,0.027932961, -2.7553268,52.70730
Penrith,0.8530120,0.146987952, -2.7527080,54.66410
Kendal,1.0000000,0.000000000, -2.7462900,54.32801
Street,0.9790356,0.020964361, -2.7429190,51.12468
Glastonbury,0.9790356,0.020964361, -2.7184540,51.14743
Hereford,1.0000000,0.000000000, -2.7159740,52.05640
Ludlow,0.9788360,0.021164021, -2.7139129,52.36775
Preston,0.9958564,0.004143646, -2.7030900,53.76320
Whitchurch,0.9901381,0.009861933, -2.6820450,52.96872
Wells,0.9800797,0.019920319, -2.6445979,51.20935
Yeovil,0.9866489,0.013351135, -2.6333080,50.94206
Wigan,0.9954955,0.004504505, -2.6325074,53.54506
Warrington,0.9704433,0.029556650, -2.5969501,53.39004
Arbroath,0.7295597,0.270440252, -2.5915430,56.55911
Bristol,0.9799800,0.020020020, -2.5879100,51.45451
Guernsey,1.0000000,0.000000000, -2.5852780,49.46569
Ross-on-Wye,0.9862069,0.013793103, -2.5824460,51.91445
Jedburgh,0.8072727,0.192727273, -2.5549369,55.47772
Sedbergh,1.0000000,0.000000000, -2.5281740,54.32363
Sedbergh,1.0000000,0.000000000, -2.5281740,54.32363
Nantwich,0.9904215,0.009578544, -2.5241020,53.06718
Banff,0.7568579,0.243142145, -2.5240380,57.66651
Dunbar,0.7567568,0.243243243, -2.5167370,56.00209
Cinderford,0.9870968,0.012903226, -2.5009579,51.82530
Banchory,0.7469136,0.253086420, -2.4909599,57.05386
Blackburn,0.9947735,0.005226481, -2.4875290,53.74858
Market Drayton,0.9758842,0.024115756, -2.4834850,52.90355
Telford,0.9753695,0.024630542, -2.4672611,52.67759
Montrose,0.7169811,0.283018868, -2.4661150,56.70692
Turriff,0.7378517,0.262148338, -2.4623000,57.53893
Weymouth,1.0000000,0.000000000, -2.4576210,50.61443
Crewe,0.9904215,0.009578544, -2.4438209,53.10040
Fortuneswell,1.0000000,0.000000000, -2.4422190,50.55919
Dorchester,0.9788881,0.021111893, -2.4411810,50.71116
Alston,0.8115299,0.188470067, -2.4386850,54.81217
Kelso,0.8093525,0.190647482, -2.4322070,55.60003
Wincanton,0.9876391,0.012360939, -2.4160070,51.05569
Clitheroe,0.9952681,0.004731861, -2.3930830,53.87110
Sark,1.0000000,0.000000000, -2.3666256,49.43007
Bath,0.9870801,0.012919897, -2.3590167,51.38106
Kidderminster,0.9800995,0.019900498, -2.2496839,52.38860
Manchester,0.9685864,0.031413613, -2.2426305,53.48076
Burnley,0.9767802,0.023219814, -2.2405035,53.78929
Gloucester,0.9871795,0.012820513, -2.2381560,51.86424
Newcastle-under-Lyme,1.0000000,0.000000000, -2.2273002,53.01321
Worcester,0.9901961,0.009803922, -2.2215750,52.19364
Trowbridge,0.9860918,0.013908206, -2.2088530,51.31966
Shaftesbury,0.9762470,0.023752969, -2.1980830,51.00460
Alderney,0.9773585,0.022641509, -2.1973557,49.71500
Stoke-on-Trent,1.0000000,0.000000000, -2.1794040,53.00267
Colne,0.9758842,0.024115756, -2.1769910,53.85564
Blandford Forum,0.9630996,0.036900369, -2.1653530,50.85691
Rochdale,0.9669876,0.033012380, -2.1561000,53.60971
Jersey,1.0000000,0.000000000, -2.1312500,49.21444
Wolverhampton,0.9800995,0.019900498, -2.1288200,52.58697
Stafford,0.9756691,0.024330900, -2.1206600,52.80669
Macclesfield,0.9700080,0.029992002, -2.1192870,53.25866
Hexham,0.8127753,0.187224670, -2.1121439,54.97266
Aberdeen,0.7187500,0.281250000, -2.0942780,57.14972
Dudley,0.9807692,0.019230769, -2.0811120,52.51225
Cheltenham,1.0000000,0.000000000, -2.0782533,51.89939
Bromsgrove,0.9809524,0.019047619, -2.0619060,52.33559
Skipton,0.9791304,0.020869565, -2.0162787,53.96285
Fraserburgh,0.7378517,0.262148338, -2.0076310,57.69335
Berwick,0.8153310,0.184668990, -2.0053950,55.77024
Poole,0.9619048,0.038095238, -1.9872480,50.71505
Walsall,0.9794872,0.020512821, -1.9829190,52.58621
Cirencester,0.9880240,0.011976048, -1.9682430,51.71849
Evesham,1.0000000,0.000000000, -1.9467700,52.09215
Buxton,0.9752203,0.024779736, -1.9148300,53.25908
Keighley,0.9789104,0.021089631, -1.9123580,53.86780
Birmingham,0.9800995,0.019900498, -1.8904010,52.48624
Bournemouth,0.9619048,0.038095238, -1.8807690,50.71916
Halifax,0.9892857,0.010714286, -1.8575400,53.72702
Salisbury,0.9683544,0.031645570, -1.7944720,51.06878
Ringwood,0.9619048,0.038095238, -1.7888170,50.84495
Huddersfield,0.9894180,0.010582011, -1.7850351,53.64579
Peterhead,0.7405063,0.259493671, -1.7840660,57.50812
Swindon,1.0000000,0.000000000, -1.7797176,51.55577
Bradford,0.9791667,0.020833333, -1.7593980,53.79598
