placename,where_is_x,where_is_x_at,where_to_is_x,where_x_to,longitude,latitude
Welshpool,0.9878215,0.0100605397,0.00000000000,0.00211800837, -3.1464070,52.66035
Mold,0.9936759,0.0063241107,0.00000000000,0.00000000000, -3.1419030,53.16720
Mold,0.9936759,0.0063241107,0.00000000000,0.00000000000, -3.1419030,53.16720
Taunton,0.9924650,0.0043057051,0.00000000000,0.00322927879, -3.1068490,51.01534
Wick,0.9914355,0.0085645325,0.00000000000,0.00000000000, -3.0937160,58.43894
John o' Groats,0.9914501,0.0085498873,0.00000000000,0.00000000000, -3.0688997,58.63734
Dalkeith,0.9984150,0.0014717675,0.00011321289,0.00000000000, -3.0666060,55.89312
Oswestry,0.9903793,0.0088510333,0.00000000000,0.00076965507, -3.0564120,52.85715
Blackpool,0.9887167,0.0112832712,0.00000000000,0.00000000000, -3.0356748,53.81751
Birkenhead,0.9947972,0.0050363226,0.00000000000,0.00016649000, -3.0230090,53.38999
Cupar,0.9982851,0.0017149390,0.00000000000,0.00000000000, -3.0101370,56.32023
Southport,0.9915589,0.0084411034,0.00000000000,0.00000000000, -3.0101130,53.64571
Bridgwater,0.9931321,0.0042924596,0.00000000000,0.00257547575, -3.0036320,51.12789
Langholm,0.9917524,0.0082475699,0.00000000000,0.00000000000, -2.9989130,55.15306
Newport,0.9960378,0.0004952783,0.00247639173,0.00099055669, -2.9976640,51.58415
Axminster,0.9942085,0.0043436293,0.00000000000,0.00144787645, -2.9949370,50.78273
Wrexham,0.9931283,0.0068716715,0.00000000000,0.00000000000, -2.9924940,53.04304
Liverpool,0.9947418,0.0050899220,0.00000000000,0.00016826188, -2.9915726,53.40837
Weston-super-Mare,0.9923428,0.0034686436,0.00157070652,0.00261784420, -2.9772550,51.34741
Dundee,0.9975160,0.0024839578,0.00000000000,0.00000000000, -2.9707210,56.46202
Kirkwall,0.9914647,0.0085352921,0.00000000000,0.00000000000, -2.9622491,58.98467
Ambleside,0.9870334,0.0129666012,0.00000000000,0.00000000000, -2.9613330,54.42874
Orkney Islands,0.9914647,0.0085352921,0.00000000000,0.00000000000, -2.9605206,58.98094
Lyme Regis,0.9936468,0.0050825921,0.00000000000,0.00127064803, -2.9366390,50.72516
