index,placename,longitude,latitude,oursel,ourself,ourselfs,ourseln,ourselns,oursels,ourselves,oursen,oursens,us,ussel,usself,usselfs,ussels,usselves,ussen,ussens,wesels,weselves
53,Drogheda,-6.3560985,53.717859999999995,0.01,0.01,0.01,0.01,0.01,0.01,0.9334828047862959,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
54,Rosslare,-6.3414908,52.25131,0.01,0.01,0.01,0.01,0.01,0.01,0.854149381248206,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
55,Newry,-6.34023,54.1751,0.01,0.6473560665287323,0.01,0.01,0.01,0.01,0.6270911901102081,0.01,0.01,0.74335238441927,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
56,Ballymena,-6.2802213,54.86529,0.01,0.3878456050961374,0.01,0.01,0.01,0.6617726497951519,0.2663975898583439,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
57,Banbridge,-6.2704803,54.34873,0.01,0.2568726553066194,0.01,0.01,0.01,0.01,0.7526369568989371,0.01,0.01,0.7374106189727158,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
58,Dublin,-6.2603097000000005,53.34981,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
59,Antrim,-6.2072498,54.719530000000006,0.01,0.3893279437224754,0.01,0.01,0.01,0.16607548311180173,0.674594760691516,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
60,Antrim,-6.2072498,54.719530000000006,0.01,0.3893279437224754,0.01,0.01,0.01,0.16607548311180173,0.674594760691516,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
61,Wicklow,-6.044589,52.980819999999994,0.01,0.01,0.01,0.01,0.01,0.01,0.9498865157829844,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
62,Kilkeel,-6.007004,54.06312,0.01,0.25285838100348546,0.01,0.01,0.01,0.01,0.7345136956739564,0.01,0.01,0.7258867434746921,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
63,Belfast,-5.93012,54.597280000000005,0.01,0.2674529803211116,0.01,0.01,0.01,0.01,0.8004039951237891,0.01,0.01,0.7677838169628102,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
64,Down,-5.7156921999999994,54.32875,0.01,0.25969858675116303,0.01,0.01,0.01,0.01,0.7653952015792689,0.01,0.01,0.7455230895399234,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
65,Balivanich,-7.3743509000000005,57.472269999999995,0.3849260148813471,0.37584884125849627,0.4514757826066267,0.01,0.01,0.35098329724437277,0.2878990349808547,0.15422267820221836,0.09419166694526024,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
66,Western Isles,-7.0194034,57.759890000000006,0.30330032635772214,0.38966844002498807,0.46807611093947454,0.01,0.01,0.3638886139813255,0.33539706609855435,0.159893297077381,0.09765500353550202,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
67,Dunvegan,-6.581398200000001,57.4366,0.2905230269572366,0.37325266367251847,0.4483572115782036,0.01,0.01,0.3485588785171331,0.30411887005478105,0.15315738434882398,0.09354103757604267,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
