index,placename,longitude,latitude,oursel,ourself,ourselfs,ourseln,ourselns,oursels,ourselves,oursen,oursens,us,ussel,usself,usselfs,ussels,usselves,ussen,ussens,wesels,weselves
86,Falmouth,-5.066269999999999,50.152570000000004,0.01,0.43737054258491365,0.01,0.01,0.01,0.07160004236552354,0.1983337404988917,0.01,0.01,0.28610270412903277,0.01,0.01,0.01,0.01,0.19723132635789198,0.01,0.01,0.01,0.01
87,Rothesay,-5.055793,55.83596,0.2931257432988159,0.1440862253724164,0.35499931874121343,0.01,0.01,0.27631344928052354,0.09509121277833925,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
88,Truro,-5.051041000000001,50.2632,0.01,0.6047271926633786,0.01,0.01,0.01,0.09899727667616252,0.2906955506338036,0.01,0.01,0.39557781843015,0.01,0.01,0.01,0.01,0.27270045574806084,0.01,0.01,0.01,0.01
89,Milford Haven,-5.0426971,51.71431,0.01,0.3274680136856567,0.01,0.01,0.01,0.012253343077373517,0.1459830948848861,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
90,Stranraer,-5.024055000000001,54.903369999999995,0.31364663757495376,0.10152874288202372,0.33352841376271297,0.01,0.01,0.22477698317548145,0.09561630729498798,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
91,Fishguard,-4.975989,51.99393,0.01,0.24758947149395039,0.01,0.01,0.01,0.01,0.11277567930947803,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
92,Inchnadamph,-4.974295,58.15221,0.05702034692103105,0.04258861039031037,0.01,0.01,0.01,0.10511627478145118,0.01,0.030734963135762114,0.018619553683833154,0.022858688096006975,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.32022018945747893,0.01
93,Haverfordwest,-4.971319,51.80048,0.01,0.33918667267113284,0.01,0.01,0.01,0.01,0.17042246336742942,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
94,Dunoon,-4.926214,55.95097,0.26841261381642906,0.13193846412775845,0.32506969184635803,0.01,0.01,0.25301774698926016,0.08344509217430249,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
95,Pembroke,-4.908637000000001,51.674040000000005,0.01,0.4300470081137624,0.01,0.01,0.01,0.01,0.2276055002875473,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
96,Girvan,-4.8542179,55.240159999999996,0.3402474029217244,0.114379949482578,0.31562617962687245,0.01,0.01,0.2606471158487364,0.07136730359714628,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
97,Wadebridge,-4.836456,50.51665,0.01,0.3396516728224996,0.01,0.01,0.01,0.055602908279746475,0.14440405386043004,0.01,0.01,0.22218062854015927,0.01,0.01,0.01,0.01,0.15316520754813415,0.01,0.01,0.01,0.01
98,Invergarry,-4.800261,57.07095,0.07516318512907652,0.07371105871280052,0.01,0.01,0.01,0.05899382781743493,0.01,0.030734963135762114,0.018619553683833154,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
99,St Austell,-4.7834252,50.340379999999996,0.01,0.3671658135703768,0.01,0.01,0.01,0.060107129418088275,0.15958872589222095,0.01,0.01,0.24017880012078463,0.01,0.01,0.01,0.01,0.16557265145423122,0.01,0.01,0.01,0.01
100,Greenock,-4.7719830000000005,55.956480000000006,0.41236442384871225,0.2026981071043725,0.4994071414265892,0.01,0.01,0.38871316804836137,0.15128272245096147,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
101,Helensburgh,-4.734014,56.00232,0.28351081396026356,0.13935999812255576,0.3433548506487217,0.01,0.01,0.26724998641224995,0.09056015463145911,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
102,Bodmin,-4.7188629,50.4715,0.01,0.3162919337146959,0.01,0.01,0.01,0.05177878628954271,0.1315121383777499,0.01,0.01,0.20690002805208726,0.01,0.01,0.01,0.01,0.14263118232463168,0.01,0.01,0.01,0.01
103,Tenby,-4.703579,51.672740000000005,0.01,0.33918667267113284,0.01,0.01,0.01,0.01,0.17042246336742942,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
104,Camelford,-4.682364,50.62206,0.01,0.24233095943437144,0.01,0.01,0.01,0.039670954654222865,0.09069410419345154,0.01,0.01,0.1585190039973855,0.01,0.01,0.01,0.01,0.10927863651800998,0.01,0.01,0.01,0.01
105,Irvine,-4.6696364,55.61156999999999,0.5766966182803576,0.2403943153084036,0.5349652895761875,0.01,0.01,0.38084435167465297,0.157449774341625,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
106,Cardigan,-4.660864,52.0837,0.01,0.343762553881197,0.01,0.01,0.01,0.01,0.13254611766500465,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
107,Holyhead,-4.633038,53.30944,0.01,0.11815407926882265,0.01,0.01,0.01,0.019342493280375593,0.16979260087776052,0.01,0.01,0.1374037607161499,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
108,Ayr,-4.629179,55.45856,0.61984253980231,0.258379567751097,0.5749890553992805,0.01,0.01,0.4093374622436577,0.17244991636964052,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
109,Dumbarton,-4.564554,55.94529,0.41200320994227957,0.23297475183765864,0.4727081175692627,0.01,0.01,0.3499841007734008,0.1370212947535133,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
110,Bude,-4.543678,50.826640000000005,0.01,0.29924056397434506,0.01,0.01,0.01,0.054055041269571696,0.14355941982455733,0.01,0.01,0.21599559117688022,0.01,0.01,0.01,0.01,0.14890141309555716,0.01,0.01,0.01,0.01
111,Isle of Man,-4.5126330999999995,54.27697,0.22478849016017707,0.2841299572180636,0.01,0.01,0.01,0.18605475633203375,0.2312633917529611,0.44427138444490666,0.01,0.22028030764149445,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
112,Kilmarnock,-4.498792,55.61472,0.40833406484611223,0.2285715728904314,0.5086553628497543,0.01,0.01,0.36211418883609914,0.16008995277673932,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
113,Newton Stewart,-4.483164,54.9603,0.2342678818151004,0.1320498588866444,0.2760495762760322,0.01,0.01,0.17555877392613667,0.06945864544654345,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
114,Liskeard,-4.4647190000000005,50.45552,0.01,0.33830913405938445,0.01,0.01,0.01,0.05538312705774584,0.14366312536861656,0.01,0.01,0.22130241674232037,0.01,0.01,0.01,0.01,0.15255979251636012,0.01,0.01,0.01,0.01
115,Altnaharra,-4.442655,58.28023,0.05702034692103105,0.04258861039031037,0.01,0.01,0.01,0.10511627478145118,0.01,0.030734963135762114,0.018619553683833154,0.022858688096006975,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.32022018945747893,0.01
116,Pwllheli,-4.417633900000001,52.888819999999996,0.01,0.1641306663706843,0.01,0.01,0.01,0.017912747665447367,0.1501954228015585,0.01,0.01,0.06362361839649613,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
117,Lairg,-4.402414,58.022059999999996,0.05702034692103105,0.04258861039031037,0.01,0.01,0.01,0.10511627478145118,0.01,0.030734963135762114,0.018619553683833154,0.022858688096006975,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.32022018945747893,0.01
118,Launceston,-4.360451599999999,50.636829999999996,0.01,0.3137201131680338,0.01,0.01,0.01,0.051357764656468796,0.1300927863476961,0.01,0.01,0.2052176906715542,0.01,0.01,0.01,0.01,0.14147142525783252,0.01,0.01,0.01,0.01
