,placename,forget,forgetten,forgot,forgotten,longitude,latitude
109,Dumbarton,0.01,0.19053709954667494,0.7336499712511093,0.7826086999999999,-4.564554,55.94529
110,Bude,0.01,0.01,0.10812557335143627,0.9683377,-4.543678,50.82664000000001
111,Isle of Man,0.01,0.01,0.6246888923349689,0.8170731999999999,-4.5126331,54.27697
112,Kilmarnock,0.01,0.01,0.7512925048430193,0.78,-4.498792,55.61472
113,Newton Stewart,0.01,0.01,0.7111067225004492,0.7917675999999999,-4.483164,54.9603
114,Liskeard,0.01,0.01,0.08306672409728705,0.9756757,-4.4647190000000005,50.45552
115,Altnaharra,0.01,0.01,0.5237992902949502,0.8466165000000001,-4.442655,58.28023
116,Pwllheli,0.01,0.01,0.5754649928598186,0.8314872999999999,-4.417633900000001,52.88882
117,Lairg,0.01,0.01,0.5237992902949502,0.8466165000000001,-4.402414,58.02206
118,Launceston,0.01,0.01,0.10812557335143627,0.9683377,-4.360451599999998,50.63683
119,Carmarthen,0.01,0.01,0.22466879867543035,0.9342105,-4.312131,51.85762
120,Llangefni,0.01,0.01,0.6473869073416271,0.8104265,-4.311401999999998,53.25578
121,Caernarfon,0.01,0.01,0.6496764371004767,0.8097561,-4.273911,53.13955
122,Cumnock,0.01,0.18486355213461492,0.7287520222147631,0.7841191,-4.265828900000002,55.45355
123,Aberaeron,0.01,0.01,0.3166193517445302,0.9072848,-4.2581619,52.24279
124,Alness,0.01,0.01,0.5237992902949502,0.8466165000000001,-4.256825,57.69595
125,Glasgow,0.01,0.18797310758641686,0.7697316133880188,0.7720774,-4.251806,55.86424
126,Dalwhinnie,0.01,0.01,0.6428171023816006,0.8117647,-4.242783,56.9366
127,Inverness,0.01,0.01,0.5529916484617678,0.8380681999999999,-4.224721,57.47776999999999
128,Saltash,0.01,0.01,0.08306672409728705,0.9756757,-4.21643,50.40921
129,Bideford,0.01,0.01,0.1127189074267279,0.9669927,-4.206666,51.01668
130,Invergordon,0.01,0.01,0.5296475902002635,0.8449040000000001,-4.172882,57.68811
131,Llanelli,0.01,0.01,0.2297062149204028,0.9327354,-4.160248,51.68089000000001
132,Plymouth,0.01,0.01,0.08306672409728705,0.9756757,-4.1426565,50.37546
133,Tavistock,0.01,0.01,0.07917233109911463,0.9768161,-4.141654,50.55112
134,Porthmadog,0.01,0.01,0.6100015336611997,0.8213739999999999,-4.133384,52.92784
135,Bangor,0.01,0.01,0.659896781288746,0.8067633000000001,-4.129263,53.22739
136,Tywyn,0.01,0.01,0.3447802194518577,0.8990385000000001,-4.087249,52.58701
137,Aberystwyth,0.01,0.01,0.21159856296867632,0.9380379,-4.08292,52.4153
138,Lampeter,0.01,0.01,0.2661012484808097,0.9220779,-4.078509,52.1129
139,Barnstaple,0.01,0.01,0.19246194763224875,0.9436416,-4.058338,51.07816
140,Tain,0.01,0.01,0.5546110253062977,0.8375940000000001,-4.05523,57.8115
141,Okehampton,0.01,0.01,0.11084125670882863,0.9675425,-4.004263,50.73831
142,Llandeilo,0.01,0.01,0.17438123976171868,0.9489362,-3.99143,51.88469
143,Motherwell,0.01,0.18289690116509805,0.7657125058340424,0.7733224,-3.9810968,55.78321
144,Golspie,0.01,0.01,0.5376331123838993,0.8425655999999999,-3.976086,57.97341
145,Airdrie,0.01,0.1827473051674168,0.7678786870234607,0.7726900999999999,-3.962566,55.86626999999999
146,Swansea,0.01,0.01,0.20399131656122896,0.9402655,-3.943646,51.62144
147,Stirling,0.01,0.1827473051674168,0.7678786870234607,0.7726900999999999,-3.9369029,56.11652
148,Tregaron,0.01,0.01,0.31873014218654605,0.9066667,-3.934385,52.22
149,Tregaron,0.01,0.01,0.31873014218654605,0.9066667,-3.934385,52.22
150,Castle Douglas,0.01,0.01,0.7256802603597345,0.7875,-3.931414,54.94042
151,Dolgellau,0.01,0.01,0.421525295216121,0.8765653,-3.8844,52.74215
