placename,off,off_of,longitude,latitude
Telford,0.9887203,0.011279743, -2.4672611,52.67759
Montrose,0.9861676,0.013832433, -2.4661150,56.70692
Turriff,0.9859249,0.014075067, -2.4623000,57.53893
Weymouth,0.9734950,0.026504981, -2.4576210,50.61443
Crewe,0.9896578,0.010342243, -2.4438209,53.10041
Fortuneswell,0.9723926,0.027607362, -2.4422190,50.55919
Dorchester,0.9722603,0.027739726, -2.4411810,50.71116
Alston,0.9922163,0.007783682, -2.4386850,54.81217
Kelso,0.9914849,0.008515080, -2.4322070,55.60003
Wincanton,0.9760632,0.023936847, -2.4160070,51.05569
Clitheroe,0.9942897,0.005710343, -2.3930830,53.87110
Sark,0.9754585,0.024541515, -2.3666256,49.43007
Bath,0.9790772,0.020922802, -2.3590167,51.38106
Kidderminster,0.9897972,0.010202775, -2.2496839,52.38860
Manchester,0.9916392,0.008360762, -2.2426305,53.48076
Burnley,0.9945199,0.005480127, -2.2405035,53.78929
Gloucester,0.9837112,0.016288801, -2.2381560,51.86424
Newcastle-under-Lyme,0.9922564,0.007743556, -2.2273002,53.01321
Worcester,0.9875962,0.012403799, -2.2215750,52.19364
Trowbridge,0.9803518,0.019648168, -2.2088530,51.31966
Shaftesbury,0.9775410,0.022458969, -2.1980830,51.00460
Alderney,0.9750194,0.024980622, -2.1973557,49.71500
Stoke-on-Trent,0.9922919,0.007708066, -2.1794040,53.00267
Colne,0.9941275,0.005872538, -2.1769910,53.85564
Blandford Forum,0.9722947,0.027705251, -2.1653530,50.85691
Rochdale,0.9928393,0.007160725, -2.1561000,53.60971
Jersey,0.9758404,0.024159640, -2.1312500,49.21444
Wolverhampton,0.9911744,0.008825635, -2.1288200,52.58697
Stafford,0.9887356,0.011264422, -2.1206600,52.80669
Macclesfield,0.9910390,0.008960956, -2.1192870,53.25866
Hexham,0.9945493,0.005450734, -2.1121439,54.97266
Aberdeen,0.9843710,0.015629035, -2.0942780,57.14972
Dudley,0.9915686,0.008431440, -2.0811120,52.51226
Cheltenham,0.9842942,0.015705780, -2.0782533,51.89939
Bromsgrove,0.9890821,0.010917893, -2.0619060,52.33559
