index,placename,longitude,latitude,merger,no merger
212,Birkenhead,-3.023009,53.389990000000004,0.01,0.9559075499003528
213,Cupar,-3.010137,56.32023,0.01,0.9232946132234944
214,Southport,-3.010113,53.64571,0.01,0.9483892629103531
215,Bridgwater,-3.003632,51.12789,0.564026660499173,0.41735857220091044
216,Langholm,-2.998913,55.153059999999996,0.01,0.9079968840089266
217,Newport,-2.997664,51.58415,0.3145516445276097,0.6575261814708314
218,Axminster,-2.9949369999999997,50.78273,0.42877301923519995,0.522659518717988
219,Wrexham,-2.9924939999999998,53.043040000000005,0.01,0.9479541384397684
220,Liverpool,-2.9915726,53.40837,0.01,0.9757652887882938
221,Weston-super-Mare,-2.977255,51.347409999999996,0.43661052999329486,0.5332643065636528
222,Dundee,-2.9707209999999997,56.462019999999995,0.01,0.9567370951670993
223,Kirkwall,-2.9622491,58.984669999999994,0.01,0.922289420123426
224,Ambleside,-2.961333,54.428740000000005,0.01,0.9370176228033085
