placename,how,it_being,that,the fact that,longitude,latitude
Shrewsbury,0.3832021,0.27821522,0.3070866,0.03149606, -2.7553268,52.70730
Penrith,0.4138756,0.20574163,0.3373206,0.04306220, -2.7527080,54.66410
Kendal,0.3413462,0.25480769,0.3653846,0.03846154, -2.7462900,54.32801
Street,0.3112583,0.21192053,0.3973510,0.07947020, -2.7429190,51.12468
Glastonbury,0.2836879,0.21276596,0.4255319,0.07801418, -2.7184540,51.14743
Hereford,0.3457557,0.23188406,0.3726708,0.04968944, -2.7159740,52.05640
Ludlow,0.3659148,0.31077694,0.2781955,0.04511278, -2.7139129,52.36775
Preston,0.3546798,0.27093596,0.3448276,0.02955665, -2.7030900,53.76320
Whitchurch,0.3750000,0.25520833,0.3281250,0.04166667, -2.6820450,52.96872
Wells,0.2785714,0.22857143,0.4142857,0.07857143, -2.6445979,51.20935
Yeovil,0.2884615,0.20512821,0.4294872,0.07692308, -2.6333080,50.94206
Wigan,0.3282051,0.26153846,0.3794872,0.03076923, -2.6325074,53.54506
Warrington,0.3385417,0.25520833,0.3750000,0.03125000, -2.5969501,53.39004
Arbroath,0.3114754,0.23497268,0.3934426,0.06010929, -2.5915430,56.55911
Bristol,0.2727273,0.24242424,0.4242424,0.06060606, -2.5879100,51.45451
Guernsey,0.3409611,0.16475973,0.3981693,0.09610984, -2.5852780,49.46569
Ross-on-Wye,0.3312757,0.24279835,0.3641975,0.06172840, -2.5824460,51.91445
Jedburgh,0.3122029,0.24564184,0.3993661,0.04278922, -2.5549369,55.47772
Sedbergh,0.3448276,0.27586207,0.3379310,0.04137931, -2.5281740,54.32363
Nantwich,0.3711340,0.25257732,0.3350515,0.04123711, -2.5241020,53.06718
Banff,0.3297297,0.23243243,0.3783784,0.05945946, -2.5240380,57.66651
Dunbar,0.2817680,0.24861878,0.4309392,0.03867403, -2.5167370,56.00209
Cinderford,0.2879581,0.27225131,0.3769634,0.06282723, -2.5009579,51.82530
Banchory,0.3189189,0.23243243,0.3891892,0.05945946, -2.4909599,57.05386
Blackburn,0.3619048,0.27142857,0.3285714,0.03809524, -2.4875290,53.74858
Market Drayton,0.4077449,0.25056948,0.3006834,0.04100228, -2.4834850,52.90355
Telford,0.4136253,0.27250608,0.2700730,0.04379562, -2.4672611,52.67759
Montrose,0.3114754,0.23497268,0.3934426,0.06010929, -2.4661150,56.70692
Turriff,0.3189189,0.23243243,0.3891892,0.05945946, -2.4623000,57.53893
Weymouth,0.3130252,0.18907563,0.4348739,0.06302521, -2.4576210,50.61443
Crewe,0.3473684,0.26842105,0.3315789,0.05263158, -2.4438209,53.10040
Fortuneswell,0.3382353,0.17647059,0.4222689,0.06302521, -2.4422190,50.55919
Dorchester,0.3130252,0.18907563,0.4348739,0.06302521, -2.4411810,50.71116
Alston,0.3384615,0.23461538,0.3807692,0.04615385, -2.4386850,54.81217
Kelso,0.3217116,0.24564184,0.3898574,0.04278922, -2.4322070,55.60003
Wincanton,0.3106383,0.20425532,0.4148936,0.07021277, -2.4160070,51.05569
Clitheroe,0.3574661,0.24886878,0.3574661,0.03619910, -2.3930830,53.87110
Sark,0.3808354,0.19164619,0.3390663,0.08845209, -2.3666256,49.43007
Bath,0.2573529,0.22058824,0.4338235,0.08823529, -2.3590167,51.38106
Kidderminster,0.3799020,0.27450980,0.3014706,0.04411765, -2.2496839,52.38860
Manchester,0.3567839,0.26633166,0.3467337,0.03015075, -2.2426305,53.48076
Burnley,0.3456221,0.27188940,0.3364055,0.04608295, -2.2405035,53.78929
Gloucester,0.2487310,0.30964467,0.3959391,0.04568528, -2.2381560,51.86424
Newcastle-under-Lyme,0.4136213,0.24750831,0.2890365,0.04983389, -2.2273002,53.01321
Worcester,0.3855721,0.24875622,0.3208955,0.04477612, -2.2215750,52.19364
Trowbridge,0.2580645,0.24516129,0.4322581,0.06451613, -2.2088530,51.31966
Shaftesbury,0.3274725,0.21098901,0.3890110,0.07252747, -2.1980830,51.00460
Alderney,0.3634312,0.20316027,0.3656885,0.06772009, -2.1973557,49.71500
Stoke-on-Trent,0.4136213,0.24750831,0.2890365,0.04983389, -2.1794040,53.00267
Colne,0.3456221,0.28110599,0.3179724,0.05529954, -2.1769910,53.85564
Blandford Forum,0.3150106,0.20295983,0.4122622,0.06976744, -2.1653530,50.85691
Rochdale,0.3333333,0.27536232,0.3429952,0.04830918, -2.1561000,53.60971
Jersey,0.3596288,0.18097448,0.3758701,0.08352668, -2.1312500,49.21444
