index,placename,longitude,latitude,where_is_x,where_is_x_at,where_to_is_x,where_x_about,where_x_to
65,Antrim,-6.2072498,54.719530000000006,0.2422857795124543,0.25888588101377147,0.053905203041158194,0.053401331633126915,0.01
66,Portree,-6.1960231,57.41246999999999,0.16552872785951483,0.16090259321184902,0.01,0.0839253770151659,0.01
67,Islay,-6.177067,55.73625,0.11831072629980102,0.18035514965516922,0.08518213720470516,0.01,0.01
68,Wicklow,-6.044589,52.980819999999994,0.267133096494633,0.1759506841403657,0.07057286052205436,0.01,0.01
69,Kilkeel,-6.007004,54.06312,0.11172054392867674,0.07634543915544614,0.01,0.03084085366157909,0.01
70,Mull,-6.0008870000000005,56.4392,0.12026122210075894,0.15509265085803867,0.01,0.01,0.01
71,Belfast,-5.93012,54.597280000000005,0.5082745182275163,0.30718317962283737,0.09674324366319322,0.09583894961267517,0.01
72,Broadford,-5.9096592,57.24139,0.01,0.041907469921393534,0.01,0.027829492333114034,0.01
73,Down,-5.7156921999999994,54.32875,0.24676236065671167,0.15044280802461527,0.05334281419274211,0.0528441996364603,0.01
74,Kyle of Lochalsh,-5.7143293,57.28261,0.01,0.040790256220990986,0.01,0.027381619099212433,0.01
75,Campbeltown,-5.605373999999999,55.424119999999995,0.13154585777824157,0.16989794995923105,0.10144212323943913,0.01,0.01
76,Penzance,-5.537592,50.1188,0.23911219109678378,0.1279516888817978,0.06452448711157457,0.06392135341873639,0.20896792210930185
77,Oban,-5.471047,56.41516,0.18693944621865152,0.20250690048127098,0.01,0.01,0.01
78,Lochgilphead,-5.4323449,56.03829,0.09195042095502842,0.10537793647133839,0.01,0.01,0.01
79,Helston,-5.274996,50.10159,0.1611606080790253,0.09012084558349877,0.04882303681455346,0.04836667025035874,0.1581174676422824
80,Redruth,-5.226666000000001,50.23302,0.18947611131383482,0.10375319046040128,0.05448105639205256,0.0539718022747026,0.17644143577430602
81,Ullapool,-5.161313,57.895419999999994,0.1104407136587958,0.10956884958097407,0.01,0.06105990886314235,0.01
82,Ballachulish,-5.133719999999999,56.673930000000006,0.01,0.03249293754956142,0.01,0.01,0.01
83,Fort William,-5.1052179,56.81981999999999,0.17822515830829902,0.16279155197883008,0.01,0.01,0.01
84,Achnasheen,-5.078765799999999,57.578590000000005,0.01,0.026657704295164963,0.01,0.02714511396089401,0.01
85,Newquay,-5.0737190000000005,50.4155,0.2303970915548717,0.12458307670883899,0.06312636672816255,0.06253630177166972,0.24161089908089764
