placename,preposition_dropped,preposition_retained,longitude,latitude
Llandrindod Wells,0.011834320,0.9881657, -3.3777420,52.24170
Corwen,0.181764706,0.8182353, -3.3692420,52.98005
Cockermouth,0.016216216,0.9837838, -3.3679850,54.66326
Lockerbie,0.000000000,1.0000000, -3.3490080,55.12224
Blairgowrie,0.004070556,0.9959294, -3.3378318,56.58941
Elgin,0.004078858,0.9959211, -3.3184850,57.64945
Newtown,0.139855548,0.8601445, -3.3131060,52.51211
Ruthin,0.182408501,0.8175915, -3.3103108,53.11487
Ruthin,0.182408501,0.8175915, -3.3103108,53.11487
Sidmouth,0.004854369,0.9951456, -3.2375600,50.67865
Barrow-in-Furness,0.149262899,0.8507371, -3.2188940,54.10897
Peebles,0.004095563,0.9959044, -3.1936420,55.65307
Edinburgh,0.004207574,0.9957924, -3.1882670,55.95325
Cardiff,0.004750594,0.9952494, -3.1790900,51.48158
Llangollen,0.189978481,0.8100215, -3.1716600,52.96921
Kirkcaldy,0.004207574,0.9957924, -3.1581370,56.11682
Welshpool,0.176470588,0.8235294, -3.1464070,52.66035
Mold,0.181764706,0.8182353, -3.1419030,53.16720
Mold,0.181764706,0.8182353, -3.1419030,53.16720
Taunton,0.004830918,0.9951691, -3.1068490,51.01534
Wick,0.004078858,0.9959211, -3.0937160,58.43894
John o' Groats,0.004078858,0.9959211, -3.0688997,58.63734
Dalkeith,0.004129387,0.9958706, -3.0666060,55.89312
Oswestry,0.197934022,0.8020660, -3.0564120,52.85715
Blackpool,0.161720170,0.8382798, -3.0356748,53.81751
Birkenhead,0.184257603,0.8157424, -3.0230090,53.38999
Cupar,0.004155125,0.9958449, -3.0101370,56.32023
Southport,0.167769092,0.8322309, -3.0101130,53.64571
Bridgwater,0.004950495,0.9950495, -3.0036320,51.12789
Langholm,0.004480956,0.9955190, -2.9989130,55.15306
Newport,0.004750594,0.9952494, -2.9976640,51.58415
Axminster,0.004608295,0.9953917, -2.9949370,50.78273
Wrexham,0.190153846,0.8098462, -2.9924940,53.04304
Liverpool,0.180987203,0.8190128, -2.9915726,53.40837
Weston-super-Mare,0.004796163,0.9952038, -2.9772550,51.34741
Dundee,0.004054054,0.9959459, -2.9707210,56.46202
Kirkwall,0.004078858,0.9959211, -2.9622491,58.98467
Ambleside,0.039800995,0.9601990, -2.9613330,54.42874
Orkney Islands,0.004078858,0.9959211, -2.9605206,58.98094
Lyme Regis,0.004683841,0.9953162, -2.9366390,50.72516
Carlisle,0.018250951,0.9817490, -2.9329310,54.89247
Chester,0.181444510,0.8185555, -2.8930750,53.19339
Forfar,0.004045853,0.9959541, -2.8890620,56.64356
Morecambe,0.132326284,0.8676737, -2.8649680,54.07417
Selkirk,0.003680982,0.9963190, -2.8385240,55.55066
Galashiels,0.003627570,0.9963724, -2.8144490,55.62373
Lancaster,0.132326284,0.8676737, -2.8007399,54.04657
St Andrews,0.004155125,0.9958449, -2.7967214,56.33978
Hawick,0.003674219,0.9963258, -2.7809140,55.42706
Bridport,0.004716981,0.9952830, -2.7583010,50.73358
Shrewsbury,0.179453836,0.8205462, -2.7553268,52.70730
Penrith,0.019801980,0.9801980, -2.7527080,54.66410
Kendal,0.058309038,0.9416910, -2.7462900,54.32801
Street,0.004962779,0.9950372, -2.7429190,51.12468
Glastonbury,0.004962779,0.9950372, -2.7184540,51.14743
Hereford,0.007667732,0.9923323, -2.7159740,52.05640
Ludlow,0.040860215,0.9591398, -2.7139129,52.36775
Preston,0.154179567,0.8458204, -2.7030900,53.76320
Whitchurch,0.183747726,0.8162523, -2.6820450,52.96872
Wells,0.005000000,0.9950000, -2.6445979,51.20935
Yeovil,0.004854369,0.9951456, -2.6333080,50.94206
Wigan,0.178966790,0.8210332, -2.6325074,53.54506
Warrington,0.183600713,0.8163993, -2.5969501,53.39004
Arbroath,0.004062288,0.9959377, -2.5915430,56.55911
Bristol,0.004987531,0.9950125, -2.5879100,51.45451
Guernsey,0.004576659,0.9954233, -2.5852780,49.46569
Ross-on-Wye,0.007660389,0.9923396, -2.5824460,51.91445
Jedburgh,0.007100592,0.9928994, -2.5549369,55.47772
Sedbergh,0.043373494,0.9566265, -2.5281740,54.32363
Sedbergh,0.043373494,0.9566265, -2.5281740,54.32363
Nantwich,0.186232329,0.8137677, -2.5241020,53.06719
Banff,0.004078858,0.9959211, -2.5240380,57.66651
Dunbar,0.003674219,0.9963258, -2.5167370,56.00209
Cinderford,0.008244589,0.9917554, -2.5009579,51.82530
Banchory,0.004045853,0.9959541, -2.4909599,57.05386
Blackburn,0.131610577,0.8683894, -2.4875290,53.74858
Market Drayton,0.139152120,0.8608479, -2.4834850,52.90355
Telford,0.084537572,0.9154624, -2.4672611,52.67759
Montrose,0.004037685,0.9959623, -2.4661150,56.70692
Turriff,0.004045853,0.9959541, -2.4623000,57.53893
Weymouth,0.004434590,0.9955654, -2.4576210,50.61443
Crewe,0.186232329,0.8137677, -2.4438209,53.10041
Fortuneswell,0.004454343,0.9955457, -2.4422190,50.55919
Dorchester,0.004597701,0.9954023, -2.4411810,50.71116
Alston,0.019417476,0.9805825, -2.4386850,54.81217
Kelso,0.008450704,0.9915493, -2.4322070,55.60003
Wincanton,0.004807692,0.9951923, -2.4160070,51.05569
Clitheroe,0.055045872,0.9449541, -2.3930830,53.87110
Sark,0.004796163,0.9952038, -2.3666256,49.43007
Bath,0.004975124,0.9950249, -2.3590167,51.38106
Kidderminster,0.040169133,0.9598309, -2.2496839,52.38860
Manchester,0.154826958,0.8451730, -2.2426305,53.48076
Burnley,0.047706422,0.9522936, -2.2405035,53.78929
Gloucester,0.010995724,0.9890043, -2.2381560,51.86424
Newcastle-under-Lyme,0.083116883,0.9168831, -2.2273002,53.01321
Worcester,0.016116654,0.9838833, -2.2215750,52.19364
Trowbridge,0.009433962,0.9905660, -2.2088530,51.31966
Shaftesbury,0.004629630,0.9953704, -2.1980830,51.00460
Alderney,0.004846527,0.9951535, -2.1973557,49.71500
Stoke-on-Trent,0.067614704,0.9323853, -2.1794040,53.00267
Colne,0.034482759,0.9655172, -2.1769910,53.85564
Blandford Forum,0.006833713,0.9931663, -2.1653530,50.85691
Rochdale,0.063829787,0.9361702, -2.1561000,53.60971
Jersey,0.000000000,1.0000000, -2.1312500,49.21444
Wolverhampton,0.051249605,0.9487504, -2.1288200,52.58697
Stafford,0.063788660,0.9362113, -2.1206600,52.80669
Macclesfield,0.104213573,0.8957864, -2.1192870,53.25866
Hexham,0.020618557,0.9793814, -2.1121439,54.97266
Aberdeen,0.004037685,0.9959623, -2.0942780,57.14972
Dudley,0.040449438,0.9595506, -2.0811120,52.51226
Cheltenham,0.014237288,0.9857627, -2.0782533,51.89939
Bromsgrove,0.026512576,0.9734874, -2.0619060,52.33559
Skipton,0.033333333,0.9666667, -2.0162787,53.96285
Fraserburgh,0.004070556,0.9959294, -2.0076310,57.69335
Berwick,0.017492711,0.9825073, -2.0053950,55.77024
Poole,0.007867133,0.9921329, -1.9872480,50.71505
Walsall,0.039747634,0.9602524, -1.9829190,52.58621
Cirencester,0.014295439,0.9857046, -1.9682430,51.71849
Evesham,0.023826715,0.9761733, -1.9467700,52.09215
Buxton,0.071090047,0.9289100, -1.9148300,53.25908
Keighley,0.029962547,0.9700375, -1.9123580,53.86780
Birmingham,0.031765805,0.9682342, -1.8904010,52.48624
Bournemouth,0.010247652,0.9897523, -1.8807690,50.71916
Halifax,0.029099727,0.9709003, -1.8575400,53.72702
Salisbury,0.015138772,0.9848612, -1.7944720,51.06878
Ringwood,0.010247652,0.9897523, -1.7888170,50.84495
Huddersfield,0.028959276,0.9710407, -1.7850351,53.64579
Peterhead,0.004037685,0.9959623, -1.7840660,57.50812
Swindon,0.012690355,0.9873096, -1.7797176,51.55577
Bradford,0.018253727,0.9817463, -1.7593980,53.79598
Ashbourne,0.043762575,0.9562374, -1.7321790,53.01663
Marlborough,0.014729951,0.9852700, -1.7270620,51.42007
Stratford-upon-Avon,0.019327130,0.9806729, -1.7082980,52.19173
Alnwick,0.017608217,0.9823918, -1.7062990,55.41274
Otley,0.018253727,0.9817463, -1.6917860,53.90583
Bishop Auckland,0.026490066,0.9735099, -1.6787880,54.66382
Burton upon Trent,0.039572864,0.9604271, -1.6371359,52.81403
Newcastle,0.026315789,0.9736842, -1.6177800,54.97825
Durham,0.026666667,0.9733333, -1.5848520,54.77525
Ashington,0.018561485,0.9814385, -1.5659829,55.18298
Darlington,0.026785714,0.9732143, -1.5594580,54.52361
Leeds,0.018034265,0.9819657, -1.5490774,53.80076
Harrogate,0.018121413,0.9818786, -1.5418120,53.99212
Leamington Spa,0.018493151,0.9815068, -1.5200789,52.28519
Coventry,0.016859195,0.9831408, -1.5196930,52.40682
Blyth,0.023904382,0.9760956, -1.5102770,55.12696
Wakefield,0.018143332,0.9818567, -1.5059240,53.68330
Andover,0.017796610,0.9822034, -1.4919233,51.21120
Witney,0.009127789,0.9908722, -1.4850544,51.78594
Barnsley,0.014567527,0.9854325, -1.4797260,53.55263
Derby,0.034420290,0.9655797, -1.4746186,52.92253
Sheffield,0.022592792,0.9774072, -1.4700850,53.38113
Nuneaton,0.020992366,0.9790076, -1.4653820,52.52049
Northallerton,0.022271715,0.9777283, -1.4299590,54.33796
South Shields,0.026431718,0.9735683, -1.4274060,54.99942
Chesterfield,0.028125000,0.9718750, -1.4216290,53.23505
Southampton,0.008372093,0.9916279, -1.4043509,50.90970
Wetherby,0.014156508,0.9858435, -1.3848160,53.92706
Sunderland,0.026666667,0.9733333, -1.3838010,54.90687
Rotherham,0.013015184,0.9869848, -1.3635009,53.43260
Castleford,0.017820018,0.9821800, -1.3459680,53.72347
Thirsk,0.028503563,0.9714964, -1.3413770,54.23385
Banbury,0.021375134,0.9786249, -1.3397750,52.06290
Stockton,0.022573363,0.9774266, -1.3289821,54.57046
Newbury,0.015030060,0.9849699, -1.3231139,51.40141
Isle of Wight,0.008279669,0.9917203, -1.3047340,50.69385
Isle of Wight,0.008279669,0.9917203, -1.3047340,50.69385
Abingdon,0.015105740,0.9848943, -1.2879529,51.67078
Shetland Islands,0.004078858,0.9959211, -1.2659409,60.52965
Rugby,0.017083202,0.9829168, -1.2650320,52.37088
Oxford,0.015384615,0.9846154, -1.2577263,51.75202
Middlesbrough,0.027149321,0.9728507, -1.2349560,54.57423
Hartlepool,0.022371365,0.9776286, -1.2129260,54.69174
Loughborough,0.020012129,0.9799879, -1.2061660,52.77210
Mansfield,0.030214683,0.9697853, -1.1986740,53.14720
Nottingham,0.019784173,0.9802158, -1.1581086,52.95478
Bicester,0.011527378,0.9884726, -1.1535899,51.89960
Leicester,0.013865962,0.9861340, -1.1397592,52.63688
Doncaster,0.012129380,0.9878706, -1.1284620,53.52282
Worksop,0.019243105,0.9807569, -1.1227450,53.30930
Basingstoke,0.015400411,0.9845996, -1.0923964,51.26654
Portsmouth,0.008387698,0.9916123, -1.0879769,50.81977
York,0.023337223,0.9766628, -1.0872979,53.95997
Selby,0.014212396,0.9857876, -1.0671890,53.78352
Helmsley,0.025000000,0.9750000, -1.0562636,54.24651
Towcester,0.021929825,0.9780702, -0.9896880,52.13511
Reading,0.015432099,0.9845679, -0.9781303,51.45426
Retford,0.020013342,0.9799867, -0.9455030,53.32136
Petersfield,0.008530806,0.9914692, -0.9389900,51.00759
Northampton,0.023913043,0.9760870, -0.9026560,52.24048
Melton Mowbray,0.012773723,0.9872263, -0.8871260,52.76640
Aylesbury,0.020642202,0.9793578, -0.8084000,51.81561
Newark-on-Trent,0.015819209,0.9841808, -0.8065700,53.07004
Malton,0.027037176,0.9729628, -0.7978970,54.13684
Chichester,0.008555133,0.9914449, -0.7749360,50.83761
Gainsborough,0.012203390,0.9877966, -0.7744650,53.40058
Milton Keynes,0.015368852,0.9846311, -0.7594171,52.04062
Aldershot,0.012519562,0.9874804, -0.7557509,51.24837
High Wycombe,0.015535992,0.9844640, -0.7482290,51.62861
Midhurst,0.008754864,0.9912451, -0.7372740,50.98690
Kettering,0.020696143,0.9793039, -0.7302490,52.39632
Wellingborough,0.024623803,0.9753762, -0.6939640,52.30242
Corby,0.017274472,0.9827255, -0.6842333,52.49230
Bognor Regis,0.008754864,0.9912451, -0.6730610,50.78300
Scunthorpe,0.012278308,0.9877217, -0.6544130,53.58865
Grantham,0.011329305,0.9886707, -0.6435820,52.91252
Whitby,0.025806452,0.9741935, -0.6133470,54.48633
Slough,0.012251149,0.9877489, -0.5950406,51.51054
Guildford,0.012288786,0.9877112, -0.5704090,51.23622
Woking,0.012403101,0.9875969, -0.5600349,51.31677
Lincoln,0.019986676,0.9800133, -0.5405790,53.23069
Bedford,0.012409514,0.9875905, -0.4667782,52.13864
Heathrow,0.010780287,0.9892197, -0.4542955,51.47002
Driffield,0.027241771,0.9727582, -0.4433770,54.00600
Beverley,0.020761246,0.9792388, -0.4350930,53.84196
Luton,0.007911392,0.9920886, -0.4200255,51.87867
Scarborough,0.025751073,0.9742489, -0.3997520,54.28311
Worthing,0.005752637,0.9942474, -0.3728820,50.81787
Dorking,0.010989011,0.9890110, -0.3323780,51.23220
Hull,0.012587413,0.9874126, -0.3274198,53.76762
Horsham,0.010574018,0.9894260, -0.3258580,51.06288
Biggleswade,0.012820513,0.9871795, -0.2642200,52.08694
