placename,goal_theme_ditransitive,prepositional_dative,theme_goal_ditransitive,longitude,latitude
Bromsgrove,0.07922168,0.6066713,0.31410702, -2.0619060,52.33559
Skipton,0.20371209,0.4825713,0.31371661, -2.0162787,53.96285
Fraserburgh,0.43090909,0.5000000,0.06909091, -2.0076310,57.69335
Berwick,0.37859779,0.5284133,0.09298893, -2.0053950,55.77024
Poole,0.12185930,0.7751256,0.10301508, -1.9872480,50.71505
Walsall,0.07654146,0.6038271,0.31963147, -1.9829190,52.58621
Cirencester,0.08219178,0.7147462,0.20306205, -1.9682430,51.71849
Evesham,0.08518803,0.6454336,0.26937836, -1.9467700,52.09215
Buxton,0.10622155,0.5093576,0.38442084, -1.9148300,53.25908
Keighley,0.20966229,0.4751407,0.31519700, -1.9123580,53.86780
Birmingham,0.07552448,0.6230769,0.30139860, -1.8904010,52.48624
Bournemouth,0.11683417,0.7801508,0.10301508, -1.8807690,50.71916
Halifax,0.19659574,0.4421277,0.36127660, -1.8575400,53.72702
Salisbury,0.12529833,0.7720764,0.10262530, -1.7944720,51.06878
Ringwood,0.11916462,0.7800983,0.10073710, -1.7888170,50.84495
Huddersfield,0.19864177,0.4524618,0.34889643, -1.7850351,53.64579
Peterhead,0.42727273,0.5036364,0.06909091, -1.7840660,57.50812
Swindon,0.08165057,0.7708516,0.14749781, -1.7797176,51.55577
Bradford,0.19509202,0.4625767,0.34233129, -1.7593980,53.79598
Ashbourne,0.09227614,0.5297334,0.37799043, -1.7321790,53.01663
Marlborough,0.08567881,0.7901490,0.12417219, -1.7270620,51.42007
Stratford-upon-Avon,0.08973487,0.6410605,0.26920462, -1.7082980,52.19173
Alnwick,0.36268657,0.5298507,0.10746269, -1.7062990,55.41274
Otley,0.19702602,0.4671623,0.33581165, -1.6917860,53.90583
Bishop Auckland,0.27798507,0.5242537,0.19776119, -1.6787880,54.66382
Burton upon Trent,0.07962963,0.6179012,0.30246914, -1.6371359,52.81403
Newcastle,0.28409091,0.5397727,0.17613636, -1.6177800,54.97825
Durham,0.27579737,0.5328330,0.19136961, -1.5848520,54.77525
Ashington,0.26846591,0.5994318,0.13210227, -1.5659829,55.18298
Darlington,0.27414903,0.5124195,0.21343146, -1.5594580,54.52361
Leeds,0.19488684,0.4668902,0.33822297, -1.5490774,53.80076
Harrogate,0.24148607,0.4501548,0.30835913, -1.5418120,53.99212
Leamington Spa,0.08955224,0.6255088,0.28493894, -1.5200789,52.28519
Coventry,0.09520451,0.6093089,0.29548660, -1.5196930,52.40682
Blyth,0.27389444,0.5977175,0.12838802, -1.5102770,55.12696
Wakefield,0.19851008,0.4662577,0.33523225, -1.5059240,53.68330
Andover,0.12530005,0.7681229,0.10657705, -1.4919233,51.21120
Witney,0.08861363,0.7484516,0.16293473, -1.4850544,51.78594
Barnsley,0.19721376,0.4610361,0.34175011, -1.4797260,53.55263
Derby,0.07503991,0.5875466,0.33741352, -1.4746186,52.92253
Sheffield,0.17859093,0.4931731,0.32823594, -1.4700850,53.38113
Nuneaton,0.10144020,0.5911083,0.30745147, -1.4653820,52.52049
Northallerton,0.29118774,0.4942529,0.21455939, -1.4299590,54.33796
South Shields,0.28380952,0.5333333,0.18285714, -1.4274060,54.99942
Chesterfield,0.12752161,0.5021614,0.37031700, -1.4216290,53.23505
Southampton,0.15488722,0.7578947,0.08721805, -1.4043509,50.90970
Wetherby,0.24458599,0.4496815,0.30573248, -1.3848160,53.92706
Sunderland,0.28046422,0.5377176,0.18181818, -1.3838010,54.90687
Rotherham,0.20781528,0.4606276,0.33155713, -1.3635009,53.43260
Castleford,0.23694268,0.4535032,0.30955414, -1.3459680,53.72347
Thirsk,0.30164159,0.4705882,0.22777018, -1.3413770,54.23385
Banbury,0.08829713,0.6699369,0.24176594, -1.3397750,52.06290
Stockton,0.28929605,0.5062681,0.20443587, -1.3289821,54.57046
Newbury,0.10177215,0.7797468,0.11848101, -1.3231139,51.40141
Isle of Wight,0.14677641,0.7626886,0.09053498, -1.3047340,50.69385
Isle of Wight,0.14677641,0.7626886,0.09053498, -1.3047340,50.69385
Abingdon,0.07335711,0.7799287,0.14671421, -1.2879529,51.67078
Shetland Islands,0.43169399,0.5027322,0.06557377, -1.2659409,60.52965
Rugby,0.09961686,0.6136654,0.28671775, -1.2650320,52.37088
Oxford,0.06779661,0.7812018,0.15100154, -1.2577263,51.75202
Middlesbrough,0.30036630,0.5018315,0.19780220, -1.2349560,54.57423
Hartlepool,0.29440628,0.5093229,0.19627085, -1.2129260,54.69174
Loughborough,0.09981168,0.6114250,0.28876334, -1.2061660,52.77210
Mansfield,0.13380737,0.5067873,0.35940530, -1.1986740,53.14720
Nottingham,0.11169170,0.5486610,0.33964729, -1.1581086,52.95478
Bicester,0.09051095,0.7401460,0.16934307, -1.1535899,51.89960
Leicester,0.10820896,0.6057214,0.28606965, -1.1397592,52.63688
