placename,dont_have,havent,havent_got,longitude,latitude
Blandford Forum,0.7205882,0.00000000,0.27941176, -2.1653530,50.85691
Rochdale,0.5227273,0.02272727,0.45454545, -2.1561000,53.60971
Jersey,0.6944444,0.00000000,0.30555556, -2.1312500,49.21444
Wolverhampton,0.5333333,0.00000000,0.46666667, -2.1288200,52.58697
Stafford,0.5166667,0.00000000,0.48333333, -2.1206600,52.80669
Macclesfield,0.5074074,0.02962963,0.46296296, -2.1192870,53.25866
Hexham,0.7118644,0.01694915,0.27118644, -2.1121439,54.97266
Aberdeen,0.8750000,0.03125000,0.09375000, -2.0942780,57.14972
Dudley,0.5409836,0.00000000,0.45901639, -2.0811120,52.51226
Cheltenham,0.5416667,0.00000000,0.45833333, -2.0782533,51.89939
Bromsgrove,0.5166667,0.00000000,0.48333333, -2.0619060,52.33559
Skipton,0.6219512,0.04878049,0.32926829, -2.0162787,53.96285
Fraserburgh,0.8750000,0.03125000,0.09375000, -2.0076310,57.69335
Berwick,0.7887324,0.01408451,0.19718310, -2.0053950,55.77024
Poole,0.6805556,0.00000000,0.31944444, -1.9872480,50.71505
Walsall,0.5409836,0.00000000,0.45901639, -1.9829190,52.58621
Cirencester,0.6451613,0.00000000,0.35483871, -1.9682430,51.71849
Evesham,0.5454545,0.00000000,0.45454545, -1.9467700,52.09215
Buxton,0.4783951,0.03395062,0.48765432, -1.9148300,53.25908
Keighley,0.6144578,0.04819277,0.33734940, -1.9123580,53.86780
Birmingham,0.5409836,0.00000000,0.45901639, -1.8904010,52.48624
Bournemouth,0.6406250,0.00000000,0.35937500, -1.8807690,50.71916
Halifax,0.6404494,0.04494382,0.31460674, -1.8575400,53.72702
Salisbury,0.6406250,0.00000000,0.35937500, -1.7944720,51.06878
Ringwood,0.6093750,0.00000000,0.39062500, -1.7888170,50.84495
Huddersfield,0.6179775,0.04494382,0.33707865, -1.7850351,53.64579
Peterhead,0.8750000,0.03125000,0.09375000, -1.7840660,57.50812
Swindon,0.6078431,0.00000000,0.39215686, -1.7797176,51.55577
Bradford,0.6000000,0.04705882,0.35294118, -1.7593980,53.79598
Ashbourne,0.4853801,0.02923977,0.48538012, -1.7321790,53.01663
Marlborough,0.6086957,0.00000000,0.39130435, -1.7270620,51.42007
Stratford-upon-Avon,0.5172414,0.00000000,0.48275862, -1.7082980,52.19173
Alnwick,0.7118644,0.01694915,0.27118644, -1.7062990,55.41274
Otley,0.6235294,0.04705882,0.32941176, -1.6917860,53.90583
Bishop Auckland,0.6779661,0.01694915,0.30508475, -1.6787880,54.66382
Burton upon Trent,0.5280899,0.00000000,0.47191011, -1.6371359,52.81403
Newcastle,0.7118644,0.01694915,0.27118644, -1.6177800,54.97825
Durham,0.7118644,0.01694915,0.27118644, -1.5848520,54.77525
Ashington,0.7118644,0.01694915,0.27118644, -1.5659829,55.18298
Darlington,0.6181818,0.01818182,0.36363636, -1.5594580,54.52361
Leeds,0.6235294,0.04705882,0.32941176, -1.5490774,53.80076
Harrogate,0.6551724,0.04597701,0.29885057, -1.5418120,53.99212
Leamington Spa,0.5254237,0.00000000,0.47457627, -1.5200789,52.28519
Coventry,0.5438596,0.00000000,0.45614035, -1.5196930,52.40682
Blyth,0.6779661,0.01694915,0.30508475, -1.5102770,55.12696
Wakefield,0.6470588,0.02352941,0.32941176, -1.5059240,53.68330
Andover,0.4901961,0.07843137,0.43137255, -1.4919233,51.21120
Witney,0.5744681,0.00000000,0.42553191, -1.4850544,51.78594
Barnsley,0.5092593,0.02314815,0.46759259, -1.4797260,53.55263
Derby,0.5409836,0.01639344,0.44262295, -1.4746186,52.92253
Sheffield,0.5098039,0.02450980,0.46568627, -1.4700850,53.38113
Nuneaton,0.5438596,0.00000000,0.45614035, -1.4653820,52.52049
Northallerton,0.6410256,0.06410256,0.29487179, -1.4299590,54.33796
South Shields,0.6779661,0.01694915,0.30508475, -1.4274060,54.99942
Chesterfield,0.5670996,0.02164502,0.41125541, -1.4216290,53.23505
Southampton,0.5781250,0.03125000,0.39062500, -1.4043509,50.90970
Wetherby,0.6941176,0.04705882,0.25882353, -1.3848160,53.92706
Sunderland,0.6779661,0.01694915,0.30508475, -1.3838010,54.90687
Rotherham,0.5238095,0.02380952,0.45238095, -1.3635009,53.43260
Castleford,0.6551724,0.02298851,0.32183908, -1.3459680,53.72347
Thirsk,0.7283951,0.04938272,0.22222222, -1.3413770,54.23385
Banbury,0.4642857,0.00000000,0.53571429, -1.3397750,52.06290
Stockton,0.6181818,0.01818182,0.36363636, -1.3289821,54.57046
Newbury,0.6279070,0.04651163,0.32558140, -1.3231139,51.40141
Isle of Wight,0.6093750,0.06250000,0.32812500, -1.3047340,50.69385
Isle of Wight,0.6093750,0.06250000,0.32812500, -1.3047340,50.69385
Abingdon,0.4883721,0.04651163,0.46511628, -1.2879529,51.67078
Shetland Islands,0.8750000,0.03125000,0.09375000, -1.2659409,60.52965
Rugby,0.5526316,0.00000000,0.44736842, -1.2650320,52.37088
Oxford,0.5319149,0.04255319,0.42553191, -1.2577263,51.75202
Middlesbrough,0.6181818,0.01818182,0.36363636, -1.2349560,54.57423
Hartlepool,0.6440678,0.01694915,0.33898305, -1.2129260,54.69174
Loughborough,0.6190476,0.00000000,0.38095238, -1.2061660,52.77210
Mansfield,0.5584416,0.01298701,0.42857143, -1.1986740,53.14720
Nottingham,0.5737705,0.00000000,0.42622951, -1.1581086,52.95478
Bicester,0.4716981,0.00000000,0.52830189, -1.1535899,51.89960
Leicester,0.6307692,0.00000000,0.36923077, -1.1397592,52.63688
Doncaster,0.5809524,0.02380952,0.39523810, -1.1284620,53.52282
Worksop,0.5523810,0.02380952,0.42380952, -1.1227450,53.30930
Basingstoke,0.7142857,0.08163265,0.20408163, -1.0923964,51.26654
Portsmouth,0.5833333,0.06666667,0.35000000, -1.0879769,50.81977
York,0.6705882,0.02352941,0.30588235, -1.0872979,53.95997
Selby,0.6829268,0.02439024,0.29268293, -1.0671890,53.78352
Helmsley,0.6578947,0.05263158,0.28947368, -1.0562636,54.24651
Towcester,0.4649682,0.00000000,0.53503185, -0.9896880,52.13511
Reading,0.7021277,0.04255319,0.25531915, -0.9781303,51.45426
Retford,0.5555556,0.04166667,0.40277778, -0.9455030,53.32136
Petersfield,0.5925926,0.07407407,0.33333333, -0.9389900,51.00759
Northampton,0.5231788,0.00000000,0.47682119, -0.9026560,52.24048
Melton Mowbray,0.5593220,0.00000000,0.44067797, -0.8871260,52.76640
Aylesbury,0.4901961,0.00000000,0.50980392, -0.8084000,51.81561
Newark-on-Trent,0.5862069,0.00000000,0.41379310, -0.8065700,53.07004
Malton,0.6666667,0.02222222,0.31111111, -0.7978970,54.13684
Chichester,0.6428571,0.07142857,0.28571429, -0.7749360,50.83761
Gainsborough,0.6111111,0.02777778,0.36111111, -0.7744650,53.40058
Milton Keynes,0.5582822,0.00000000,0.44171779, -0.7594171,52.04062
Aldershot,0.7021277,0.08510638,0.21276596, -0.7557509,51.24837
High Wycombe,0.6363636,0.03636364,0.32727273, -0.7482290,51.62861
