placename,aint,am_not,amnt,arent,ent,int,m_not,longitude,latitude
Kingsbridge,0.04931413,0.10876761,0.00000000000,0.00100555570,0.00020111114,0.00000000000,0.8407116, -3.7774930,50.28395
Pitlochry,0.03972894,0.11453627,0.00026574542,0.00000000000,0.00000000000,0.00000000000,0.8454690, -3.7297110,56.70436
Colwyn Bay,0.04702636,0.09089516,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.8620785, -3.7276400,53.29318
Totnes,0.04123947,0.11325770,0.00000000000,0.00134205147,0.00012484200,0.00000000000,0.8440359, -3.6857970,50.43374
Grantown-on-Spey,0.03976820,0.11404115,0.00077976855,0.00116965283,0.00000000000,0.00000000000,0.8442412, -3.6096280,57.33041
Dumfries,0.04812185,0.10524008,0.00042335936,0.00500975239,0.00063503903,0.00000000000,0.8405699, -3.6051200,55.07086
Whitehaven,0.05189301,0.10774157,0.00000000000,0.00376718779,0.00000000000,0.00000000000,0.8365982, -3.5892330,54.54970
Dartmouth,0.04120963,0.11357283,0.00000000000,0.00133804241,0.00012446906,0.00000000000,0.8437550, -3.5788070,50.35252
Bridgend,0.08777004,0.10317554,0.00000000000,0.00023609963,0.00035414945,0.00000000000,0.8084642, -3.5769450,51.50429
Paignton,0.03460442,0.12423667,0.00000000000,0.00117609807,0.00000000000,0.00000000000,0.8399828, -3.5642350,50.43508
Workington,0.05817696,0.12075057,0.00000000000,0.00314045694,0.00094213708,0.00000000000,0.8169899, -3.5427520,54.64357
Llanidloes,0.04273897,0.10891544,0.00000000000,0.00275735294,0.00000000000,0.00000000000,0.8455882, -3.5401950,52.44779
Exeter,0.03190224,0.12612199,0.00000000000,0.00124364659,0.00000000000,0.00000000000,0.8407321, -3.5338990,50.71841
Torquay,0.03434353,0.12473913,0.00000000000,0.00117956628,0.00000000000,0.00000000000,0.8397378, -3.5253150,50.46192
Thurso,0.04739040,0.12828348,0.00082352981,0.00044919808,0.00000000000,0.00000000000,0.8230534, -3.5220800,58.59357
Livingston,0.03497568,0.10874690,0.00083559641,0.00035811275,0.00000000000,0.00000000000,0.8550837, -3.5180680,55.90071
Rhyl,0.04454529,0.09319627,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.8622584, -3.4916340,53.31914
Tiverton,0.03149796,0.12650277,0.00000000000,0.00156287569,0.00000000000,0.00000000000,0.8404364, -3.4912070,50.90205
Tiverton,0.03149796,0.12650277,0.00000000000,0.00156287569,0.00000000000,0.00000000000,0.8404364, -3.4912070,50.90205
Minehead,0.05778100,0.13346164,0.00000000000,0.00144497650,0.00000000000,0.00000000000,0.8073124, -3.4811520,51.20428
Dunfermline,0.04522789,0.11657723,0.00023982972,0.00000000000,0.00000000000,0.00000000000,0.8379551, -3.4521510,56.07174
Perth,0.04623952,0.10999875,0.00150168940,0.00075084470,0.00000000000,0.00000000000,0.8415092, -3.4308381,56.39499
Prestatyn,0.04532583,0.09754118,0.00000000000,0.00000000000,0.00013813586,0.00000000000,0.8569949, -3.4076130,53.33651
Builth Wells,0.04654197,0.13114398,0.00000000000,0.00260983036,0.00000000000,0.00000000000,0.8197042, -3.4045920,52.15002
Braemar,0.03195425,0.11419442,0.00201816347,0.00302724521,0.00000000000,0.00000000000,0.8488059, -3.3979439,57.00647
Brecon,0.09961966,0.10064365,0.00000000000,0.00029256875,0.00000000000,0.00000000000,0.7994441, -3.3914630,51.94895
Merthyr Tydfil,0.11648129,0.08356926,0.00000000000,0.00040444894,0.00000000000,0.00000000000,0.7995450, -3.3816460,51.74873
Llandrindod Wells,0.04565757,0.10818859,0.00000000000,0.00297766749,0.00000000000,0.00000000000,0.8431762, -3.3777420,52.24170
Corwen,0.05459196,0.10487896,0.00000000000,0.00037434490,0.00000000000,0.00000000000,0.8401547, -3.3692420,52.98005
Cockermouth,0.04684148,0.10582596,0.00000000000,0.00434097613,0.00052795656,0.00000000000,0.8424636, -3.3679850,54.66326
Lockerbie,0.04700158,0.10077079,0.00044621751,0.00423906634,0.00066932626,0.00000000000,0.8468730, -3.3490080,55.12224
Blairgowrie,0.03792098,0.09943106,0.00209734577,0.00043393361,0.00021696680,0.00000000000,0.8598997, -3.3378318,56.58941
Elgin,0.04596828,0.13030677,0.00170956406,0.00113970937,0.00000000000,0.00000000000,0.8208757, -3.3184850,57.64945
Newtown,0.04152076,0.10305153,0.00000000000,0.00300150075,0.00000000000,0.00000000000,0.8524262, -3.3131060,52.51211
Ruthin,0.05227931,0.08475036,0.00000000000,0.00054269175,0.00000000000,0.00000000000,0.8624276, -3.3103108,53.11487
Ruthin,0.05227931,0.08475036,0.00000000000,0.00054269175,0.00000000000,0.00000000000,0.8624276, -3.3103108,53.11487
Sidmouth,0.03362367,0.12516230,0.00000000000,0.00124431941,0.00000000000,0.00000000000,0.8399697, -3.2375600,50.67865
Barrow-in-Furness,0.04881461,0.11551405,0.00037811472,0.00031509560,0.00000000000,0.00000000000,0.8349781, -3.2188940,54.10897
Peebles,0.05193451,0.11685264,0.00125143393,0.00125143393,0.00000000000,0.00000000000,0.8287100, -3.1936420,55.65307
Edinburgh,0.03191709,0.11948452,0.00135239281,0.00055577787,0.00013894447,0.00000000000,0.8465513, -3.1882670,55.95325
Cardiff,0.04810769,0.10224133,0.00015362508,0.00066570869,0.00020483344,0.00005120836,0.8485756, -3.1790900,51.48158
Llangollen,0.05775659,0.10653708,0.00000000000,0.00074285007,0.00000000000,0.00000000000,0.8349635, -3.1716600,52.96921
Kirkcaldy,0.03397780,0.11575728,0.00110198281,0.00037999407,0.00014249778,0.00000000000,0.8486404, -3.1581370,56.11682
Welshpool,0.04155789,0.10847871,0.00000000000,0.00062155555,0.00031077777,0.00000000000,0.8490311, -3.1464070,52.66035
Mold,0.04356938,0.09493345,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.8614972, -3.1419030,53.16720
Mold,0.04356938,0.09493345,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.8614972, -3.1419030,53.16720
Taunton,0.04616261,0.12219795,0.00000000000,0.00085486322,0.00018996960,0.00000000000,0.8305946, -3.1068490,51.01534
Wick,0.04787686,0.12955129,0.00080037307,0.00043656713,0.00000000000,0.00000000000,0.8213349, -3.0937160,58.43894
John o' Groats,0.04785597,0.12949476,0.00080002380,0.00043637662,0.00000000000,0.00000000000,0.8214129, -3.0688997,58.63734
Dalkeith,0.03067028,0.11855002,0.00125612088,0.00043314513,0.00016242942,0.00000000000,0.8489280, -3.0666060,55.89312
Oswestry,0.05312139,0.10763952,0.00000000000,0.00054654764,0.00027327382,0.00000000000,0.8384193, -3.0564120,52.85715
Blackpool,0.04926969,0.08594618,0.00000000000,0.00028044897,0.00018696598,0.00037393196,0.8639428, -3.0356748,53.81751
Birkenhead,0.04026144,0.08697001,0.00009455974,0.00066191819,0.00026397928,0.00000000000,0.8717481, -3.0230090,53.38999
Cupar,0.03969939,0.10288535,0.00150134603,0.00015531166,0.00000000000,0.00000000000,0.8557586, -3.0101370,56.32023
Southport,0.03993313,0.09849534,0.00000000000,0.00047766898,0.00000000000,0.00000000000,0.8610939, -3.0101130,53.64571
Bridgwater,0.04762320,0.12180549,0.00000000000,0.00078499782,0.00017444396,0.00000000000,0.8296119, -3.0036320,51.12789
