placename,should_have,should_of,longitude,latitude
Jedburgh,0.8835610,0.11643900, -2.5549369,55.47772
Jersey,0.8652248,0.13477516, -2.1312500,49.21444
John o' Groats,0.9087806,0.09121936, -3.0688997,58.63734
Keighley,0.8893149,0.11068505, -1.9123580,53.86780
Kelso,0.8934700,0.10653001, -2.4322070,55.60003
Kendal,0.8657375,0.13426254, -2.7462900,54.32801
Keswick,0.8251904,0.17480961, -3.1347060,54.60128
Kettering,0.8514573,0.14854267, -0.7302490,52.39632
Kidderminster,0.8678485,0.13215149, -2.2496839,52.38860
Kildare,0.9032481,0.09675191, -6.8194708,53.21204
Kilkeel,0.9256104,0.07438962, -6.0070040,54.06312
Kilkenny,0.9002077,0.09979235, -7.2447879,52.65415
Killarney,0.9403118,0.05968817, -9.5044265,52.05994
Kilmarnock,0.9219422,0.07805778, -4.4987920,55.61472
King's Lynn,0.8467071,0.15329289,  0.4022963,52.75168
Kingsbridge,0.8709075,0.12909250, -3.7774930,50.28395
Kirkcaldy,0.9420224,0.05797759, -3.1581370,56.11682
Kirkwall,0.9081601,0.09183990, -2.9622491,58.98467
Kyle of Lochalsh,0.8988487,0.10115132, -5.7143293,57.28261
Lairg,0.9103510,0.08964896, -4.4024140,58.02206
Lampeter,0.8994975,0.10050251, -4.0785090,52.11290
Lancaster,0.8642927,0.13570728, -2.8007399,54.04657
Langholm,0.8444187,0.15558132, -2.9989130,55.15306
Laois,0.9101545,0.08984551, -7.3323007,52.99430
Launceston,0.8738208,0.12617925, -4.3604516,50.63683
Leamington Spa,0.8967871,0.10321293, -1.5200789,52.28519
Leeds,0.9090974,0.09090264, -1.5490774,53.80076
Leicester,0.8715584,0.12844156, -1.1397592,52.63688
Leitrim,0.9127225,0.08727753, -8.0020132,54.12469
Lewes,0.9315709,0.06842908,  0.0087800,50.87387
Limerick,0.9451071,0.05489286, -8.6267343,52.66384
Lincoln,0.8854046,0.11459537, -0.5405790,53.23069
Liskeard,0.8676220,0.13237798, -4.4647190,50.45552
Liverpool,0.8009452,0.19905484, -2.9915726,53.40837
Livingston,0.9495266,0.05047341, -3.5180680,55.90071
Llandeilo,0.9016719,0.09832809, -3.9914300,51.88469
Llandrindod Wells,0.8828779,0.11712214, -3.3777420,52.24170
Llandudno,0.8444189,0.15558108, -3.8276090,53.32406
Llandudno,0.8444189,0.15558108, -3.8276090,53.32406
Llanelli,0.8781085,0.12189153, -4.1602480,51.68089
Llangefni,0.8833422,0.11665782, -4.3114020,53.25579
Llangollen,0.8305179,0.16948207, -3.1716600,52.96921
Llanidloes,0.8923767,0.10762332, -3.5401950,52.44779
Lochgilphead,0.9379945,0.06200553, -5.4323449,56.03829
Lockerbie,0.8324040,0.16759603, -3.3490080,55.12224
London,0.9417525,0.05824754, -0.1277583,51.50735
Longford,0.9195271,0.08047293, -7.7932573,53.72763
Loughborough,0.8892400,0.11075998, -1.2061660,52.77210
Loughrea,0.9535419,0.04645810, -8.5660931,53.19891
Louth,0.9191801,0.08081987, -6.4889423,53.92523
Louth_Lincs,0.8657430,0.13425703, -0.0077110,53.36596
Lowestoft,0.8877395,0.11226047,  1.7534490,52.48114
Ludlow,0.8357934,0.16420664, -2.7139129,52.36775
Luton,0.8915225,0.10847750, -0.4200255,51.87867
Lyme Regis,0.8438157,0.15618432, -2.9366390,50.72516
Macclesfield,0.8918265,0.10817346, -2.1192870,53.25866
Machynlleth,0.8945846,0.10541537, -3.8534850,52.59027
Magherafelt,0.9185804,0.08141962, -6.6079805,54.75537
Maldon,0.8656260,0.13437398,  0.6714480,51.73181
Mallow,0.9379401,0.06205989, -8.6539164,52.13898
Malton,0.8992335,0.10076646, -0.7978970,54.13684
Manchester,0.8702206,0.12977937, -2.2426305,53.48076
Mansfield,0.8505259,0.14947411, -1.1986740,53.14720
March,0.8576022,0.14239785,  0.0886220,52.55172
Margate,0.8898019,0.11019813,  1.3868339,51.38965
Market Drayton,0.8273981,0.17260194, -2.4834850,52.90355
Market Weighton,0.8359418,0.16405820, -0.6677465,53.86484
Marlborough,0.8718808,0.12811923, -1.7270620,51.42007
