placename,needs to be Xed,needs Xed,needs Xing,longitude,latitude
Shrewsbury,0.8911016,0.0015124779,0.10738593, -2.7553268,52.70730
Penrith,0.9036258,0.0084538794,0.08792035, -2.7527080,54.66410
Kendal,0.8394317,0.0096148710,0.15095347, -2.7462900,54.32801
Street,0.9456029,0.0006799637,0.05371714, -2.7429190,51.12468
Glastonbury,0.9429815,0.0006869705,0.05633158, -2.7184540,51.14743
Hereford,0.9545455,0.0000000000,0.04545455, -2.7159740,52.05640
Ludlow,0.9131044,0.0028030834,0.08409250, -2.7139129,52.36775
Preston,0.8158586,0.0085980416,0.17554335, -2.7030900,53.76320
Whitchurch,0.8712583,0.0015894040,0.12715232, -2.6820450,52.96872
Wells,0.9437500,0.0010416667,0.05520833, -2.6445979,51.20935
Yeovil,0.9375776,0.0009316770,0.06149068, -2.6333080,50.94206
Wigan,0.8324686,0.0046120143,0.16291941, -2.6325074,53.54506
Warrington,0.8511120,0.0000000000,0.14888797, -2.5969501,53.39004
Arbroath,0.9066470,0.0221565731,0.07119645, -2.5915430,56.55911
Bristol,0.9426628,0.0000000000,0.05733722, -2.5879100,51.45451
Guernsey,0.9183468,0.0015120968,0.08014113, -2.5852780,49.46569
Ross-on-Wye,0.9560586,0.0000000000,0.04394141, -2.5824460,51.91445
Jedburgh,0.8990345,0.0234566222,0.07750884, -2.5549369,55.47772
Sedbergh,0.8357521,0.0102441523,0.15400376, -2.5281740,54.32363
Sedbergh,0.8357521,0.0102441523,0.15400376, -2.5281740,54.32363
Nantwich,0.8622067,0.0014977534,0.13629556, -2.5241020,53.06719
Banff,0.9264931,0.0122511485,0.06125574, -2.5240380,57.66651
Dunbar,0.9043591,0.0243981783,0.07124268, -2.5167370,56.00209
Cinderford,0.9398798,0.0000000000,0.06012024, -2.5009579,51.82530
Banchory,0.9150943,0.0207547170,0.06415094, -2.4909599,57.05386
Blackburn,0.8145150,0.0056810112,0.17980401, -2.4875290,53.74858
Market Drayton,0.8673792,0.0014573719,0.13116347, -2.4834850,52.90355
Telford,0.8986815,0.0027758501,0.09854268, -2.4672611,52.67759
Montrose,0.9240977,0.0143312102,0.06157113, -2.4661150,56.70692
Turriff,0.9284650,0.0119225037,0.05961252, -2.4623000,57.53893
Weymouth,0.9314472,0.0016322089,0.06692057, -2.4576210,50.61443
Crewe,0.8580889,0.0014191107,0.14049196, -2.4438209,53.10041
Fortuneswell,0.9279547,0.0016189962,0.07042634, -2.4422190,50.55919
Dorchester,0.9355372,0.0016528926,0.06280992, -2.4411810,50.71116
Alston,0.9368101,0.0095984642,0.05359143, -2.4386850,54.81217
Kelso,0.9055736,0.0244023200,0.07002405, -2.4322070,55.60003
Wincanton,0.9451160,0.0009800719,0.05390395, -2.4160070,51.05569
Clitheroe,0.8203871,0.0061935484,0.17341935, -2.3930830,53.87110
Sark,0.9214304,0.0015109544,0.07705868, -2.3666256,49.43007
Bath,0.9322382,0.0000000000,0.06776181, -2.3590167,51.38106
Kidderminster,0.9140233,0.0044090631,0.08156767, -2.2496839,52.38860
Manchester,0.8505475,0.0013545547,0.14809798, -2.2426305,53.48076
Burnley,0.8224026,0.0059397119,0.17165767, -2.2405035,53.78929
Gloucester,0.9328358,0.0000000000,0.06716418, -2.2381560,51.86424
Newcastle-under-Lyme,0.8680440,0.0000000000,0.13195601, -2.2273002,53.01321
Worcester,0.9265664,0.0013474062,0.07208623, -2.2215750,52.19364
