variant,longitude,latitude,preposition_dropped,preposition_retained
preposition_retained,-302340.8426877705,6810329.367001604,0.13078683855193834,0.8692131614480616
preposition_retained,-235122.783430119,7356562.753238509,0.20328885087879783,0.7967111491212021
preposition_retained,-83292.47127676032,6733250.127288361,0.14835826581470266,0.8516417341852973
preposition_retained,-89990.67635728238,6766853.0779722445,0.1340333854496528,0.8659666145503472
preposition_retained,-198709.19838012022,7103356.908346299,0,1
preposition_retained,-36448.205411635485,7126269.245641505,0,1
preposition_retained,-20321.595683293683,6860280.99787033,0.15356610786595806,0.8464338921340419
preposition_retained,-470293.7904636496,7858404.849876296,0.13681800026874608,0.863181999731254
preposition_retained,127819.2657186526,6810390.559092446,0.07866666666666668,0.9213333333333333
preposition_retained,-145242.32450067103,6567316.593412411,0.14507339705085812,0.8549266029491419
preposition_retained,-305715.6043706594,7232523.0785782365,0.1724360956489454,0.8275639043510545
preposition_retained,-81290.94683229725,6872105.2395477295,0.39403689075532866,0.6059631092446714
preposition_retained,-77251.71910886333,6854992.488078196,0.2920892304248103,0.7079107695751896
preposition_retained,-500803.2346248529,7482096.331226675,0.1079028137248193,0.8920971862751806
preposition_retained,-519821.5462377352,7481475.042255444,0.09891361500456412,0.9010863849954359
preposition_retained,44783.41926401803,6937196.845840512,0.10836499467831147,0.8916350053216886
preposition_retained,-420508.5972351555,6495596.626000306,0.20185340126621013,0.7981465987337899
preposition_retained,-398390.9728874031,6507550.883798935,0.21413967462260403,0.7858603253773959
preposition_retained,-318926.7788990235,7184214.978049844,0.16810588489415512,0.8318941151058448
preposition_retained,-311776.939512404,7178981.980654017,0.1387481578971798,0.8612518421028201
preposition_retained,-485403.2517407151,6557303.545004205,0.18128892801243346,0.8187110719875665
preposition_retained,-169214.40911359945,6851856.7320276825,0.14591619841615192,0.8540838015838481
preposition_retained,-172442.50736736818,7132511.69410009,0,1
preposition_retained,-126877.41377094889,6916110.576139366,0,1
preposition_retained,-60176.97901353705,7025783.4768399205,0,1
preposition_retained,-497010.24561505363,6525540.8245142605,0.21587470378316895,0.784125296216831
preposition_retained,-333020.3385031096,7058895.725626909,0,1
preposition_retained,-391629.5383361104,7538674.766064084,0.11441734454589153,0.8855826554541084
preposition_retained,-378997.4477988529,6827297.124914644,0.08861482710549017,0.9113851728945098
preposition_retained,-376008.51947105356,6843946.45436555,0.1108428381182234,0.8891571618817765
preposition_retained,-463116.68893373496,6742629.946657462,0.1355668264442923,0.8644331735557077
preposition_retained,-604725.8680814368,7566042.28975638,0.085255770621765245,0.9147442293782347
preposition_retained,-14221.988900614286,6711533.69399216,0,1
preposition_retained,195193.04981197478,6887593.315555863,0.23199902896346558,0.7680009710365344
preposition_retained,-302111.4020852964,6866894.2867713105,0.16827561062457327,0.8317243893754268
