placename,needs to be Xed,needs Xed,needs Xing,longitude,latitude
Southend,0.5190387,0.02155856,0.4594027,  0.7077123,51.54593
Bury St Edmunds,0.4569836,0.03291536,0.5101010,  0.7104932,52.24292
Thetford,0.4636822,0.03113928,0.5051785,  0.7516570,52.41286
Ashford,0.5205311,0.02607889,0.4533900,  0.8750190,51.14647
Faversham,0.5268109,0.02714589,0.4460432,  0.8893580,51.31599
Colchester,0.5007043,0.02720549,0.4720902,  0.8918740,51.89593
New Romney,0.5064215,0.02278612,0.4707923,  0.9394730,50.98512
Canterbury,0.5243326,0.02731745,0.4483500,  1.0789089,51.28023
Ipswich,0.4910785,0.02818569,0.4807358,  1.1482200,52.05674
Clacton,0.5026638,0.02850293,0.4688332,  1.1530350,51.78953
