variant,longitude,latitude,need_to_be_xed,need_xed,need_xing
needs Xed,-735597.0244318814,7314533.01844208,0.3969141590430084,0.4587430336701647,0.1443428072868269
needs Xing,-76168.50253980121,6889633.496961147,0.42033611530580345,0.15918073645449116,0.4204831482397054
needs to be Xed,-169171.45092210232,6874021.0070969695,0.712,0,0.288
needs Xed,-714400.101328582,7254491.56446006,0.34204527782104815,0.5323738682439637,0.12558085393498827
needs to be Xed,-20842.06996249763,6640622.096461417,0.5234405974314552,0.01903787165588159,0.45752153091266323
needs Xing,-272044.8981779596,7001591.76587012,0.4366358027262055,0.010746794778243418,0.552617402495551
needs Xing,144923.06020107592,6970327.7086967295,0.4605615376660445,0.0024107864133939773,0.5370276759205614
needs Xing,134803.32811958273,6972723.919408803,0.4302803947812721,0.006930483713645088,0.5627891215050828
needs Xed,-437643.0045775469,7350310.456595217,0.39837539787862836,0.42157638188146124,0.18004822023991032
needs to be Xed,-425521.7591835397,7349109.814531086,0.4176865179728046,0.38867891588618864,0.19363456614100674
needs Xing,-173598.07047349686,7269952.112051287,0.38867384962600193,0.02219361117903087,0.5891325391949672
needs to be Xed,-164153.79166629,6968680.921983317,0.598,0,0.402
needs Xed,-813586.8251605514,7361208.676721838,0.38318496294455445,0.4936238736772175,0.12319116337822808
needs Xing,-125619.81521955911,7080297.127915944,0.3006601015592724,0.02811195521089131,0.6712279432298363
needs Xing,-271751.0258542144,6570360.119708541,0.4847819465556218,0.02622694059370129,0.48899111285067687
needs Xing,-273581.11828285584,6553371.8054395765,0.47399712769077185,0.015859532769650082,0.510143339539578
needs Xing,-231668.32812377118,6893283.013297537,0.47822463683009475,0.014492448541673175,0.507282914628232
needs Xed,-508123.8269784001,7547531.546302262,0.3639041306317964,0.49906263803706535,0.13703323133113823
needs Xed,-526988.0278882283,7558877.1181585705,0.36310411277888877,0.5044162489778253,0.13247963824328587
needs to be Xed,-401320.1226486465,7375630.562739154,0.47784347267975147,0.292737339383293,0.2294191879369555
needs Xed,-330699.14900888456,7650945.583272922,0.4165138503162789,0.43950970724563587,0.14397644243808527
needs Xed,-351562.20269539667,7581707.427770629,0.24915148718506086,0.5501867259647344,0.20066178685020475
needs Xed,-384291.69146149023,7572710.5359689975,0.3148366465860075,0.4578025496530786,0.22736080376091392
needs Xed,-753291.780695079,7267010.799287512,0.4012801588830526,0.427644864589424,0.1710749765275234
needs Xed,-562808.3023161971,7525829.592341042,0.20342333148361494,0.5395301023632715,0.25704656615311366
needs Xed,-548383.6340186954,7548661.951353563,0.2925898656931983,0.5344076762410658,0.17300245806573605
needs Xing,-186881.8253098582,7296892.292625123,0.3188782830255814,0.007049521503935017,0.6740721954704836
needs Xing,-176424.91762270124,7318368.335266828,0.4472636279314346,0.05955061230782815,0.49318575976073725
needs Xing,32335.195129703767,6580363.918488307,0.4436739949931778,0.06262913278052475,0.49369687222629755
needs to be Xed,-354916.25895299803,7549115.074480226,1,0,0
needs Xed,-369412.06040511647,7894036.479940738,0.36663909477500595,0.42269013695740804,0.210670768267586
needs to be Xed,-849538.4343237581,7235543.298687504,0.5509991518546686,0.2697591892102591,0.1792416589350722
needs Xing,-216713.44509162122,6816804.355574689,0.3912133053179162,0.01974329688468556,0.5890433977973981
needs Xing,-393391.83719485876,6571634.40722599,0.45153291021867936,0.03193279144855073,0.5165342983327699
needs Xed,-421223.2794979973,7558789.4223075,0.37830336139040804,0.451719537297514,0.16997710131207788
needs to be Xed,-438254.0261305621,7581647.086001243,0.40412911248236666,0.3984221588392909,0.1974487286783425
needs to be Xed,-563974.5966212383,6472740.496640867,0.5811273289014934,0.02065462946114617,0.39821804163736035
needs to be Xed,130183.24642513857,6635704.558994562,0.5400548837204062,0.02468890313728463,0.43525621314230917
needs to be Xed,146207.3197705107,6643944.718683718,0.5113274725714695,0.033115196165786856,0.45555733126274356
needs Xed,-568310.2570167056,7723379.654955692,0.29027569073976195,0.39642113199950235,0.31330317726073564
needs to be Xed,-223488.46062079063,7903174.362922962,0.47391944437586614,0.3355053124032285,0.19057524322090538
needs Xed,-355514.6012160119,7489659.636790694,0.3061586423289487,0.40820771561947317,0.2856336420515781
needs to be Xed,-313303.02954363805,7483872.309299967,0.4318784871257548,0.36648511243401827,0.201636400440227
needs Xed,-540369.0648275939,7408617.258729385,0.31788138051426584,0.48050537354254125,0.20161324594319288
needs to be Xed,-473308.8788717854,7531436.41809017,1,0,0
needs Xing,-249150.38623591006,6775616.313486872,0.4595104356262167,0.05033085400226572,0.4901587103715176
needs to be Xed,-428863.6816166446,7969871.774816619,0.5463642339531001,0.3130643664960166,0.14057139955088332
needs to be Xed,-442615.86887026404,7961733.039632204,0.47872712248469707,0.36221292004230443,0.1590599574729985
needs Xing,-71643.2205237166,6966833.591114978,0.362490591812496,0.018694532943759615,0.6188148752437443
needs Xing,192365.31210684407,6909024.939138601,0.3903635102823572,0.03545418244236609,0.5741823072752767
needs Xed,-531214.7176341581,7549756.133186505,0.3553913665556291,0.5195424949565509,0.12506613848782
needs Xing,-8992.833744243813,7088662.3541106675,0.40714108713046027,0.017292014967599068,0.5755668979019407
needs to be Xed,-84129.80535455822,6665344.940044256,0.49443923558996455,0.028892126533490974,0.47666863787654445
needs to be Xed,-63497.63942390041,6663185.155266548,0.5347995213211985,0.027430099568373716,0.43777037911042793
needs Xing,-206780.40692813744,7118625.730250776,0.36382030559700435,0.010831106714394433,0.6253485876886012
needs Xing,-171633.72673895874,7168664.057554648,0.41871101216611556,0.030749346522585586,0.5505396413112988
needs Xing,-135022.30468992217,7302268.484021072,0.2976225311328197,0.028092592148215995,0.6742848767189643
needs Xing,63836.495953875114,6595554.204347913,0.48524479714001423,0.019384404536357962,0.4953707983236278
needs to be Xed,-553404.699650926,6764128.865791112,0.5682548580637454,0.03377841912257961,0.397966722813675
needs to be Xed,-561350.4733967175,6748632.247116624,0.5694432272673978,0.033715019828651306,0.39684175290395096
needs Xing,-270752.0447438356,7479201.311204906,0.3437020831122584,0.2974982542005204,0.3587996626872211
needs Xed,-309569.93041988567,7445194.826567962,0.35372240977915753,0.3739668098892274,0.27231078033161504
needs Xing,-302340.8426877705,6810329.367001604,0.4161200363794107,0.03447632083820369,0.5494036427823856
needs Xing,-235122.783430119,7356562.753238509,0.32088548664266425,0.03215624695903185,0.6469582663983038
needs Xing,-83292.47127676032,6733250.127288361,0.48396378687641733,0.018723654969543653,0.497312558154039
needs to be Xed,-89990.67635728238,6766853.0779722445,0.48492446490287533,0.08556536087453767,0.42951017422258697
needs Xing,-198709.19838012022,7103356.908346299,0.31757639347431665,0.019541217089295435,0.662882389436388
needs to be Xed,-36448.205411635485,7126269.245641505,0.6699999999999999,0,0.33
needs Xing,-20321.595683293683,6860280.99787033,0.42304776164107283,0.0471962860026378,0.5297559523562894
needs to be Xed,-470293.7904636496,7858404.849876296,0.472898809009567,0.2985561659196999,0.22854502507073315
needs Xing,127819.2657186526,6810390.559092446,0.4772286369945443,0.044096714033857294,0.47867464897159834
needs Xing,-145242.32450067103,6567316.593412411,0.28829439832533205,0.038465396888645295,0.6732402047860225
needs Xing,-305715.6043706594,7232523.0785782365,0.41516983587364653,0.004628154145851257,0.5802020099805021
needs Xing,-81290.94683229725,6872105.2395477295,0.44217648407343746,0.030988904114528256,0.5268346118120343
needs Xing,-77251.71910886333,6854992.488078196,0.4277808025435534,0.05311087763268842,0.5191083198237583
needs Xed,-500803.2346248529,7482096.331226675,0.35980452666424706,0.5140729670210786,0.12612250631467434
needs Xed,-519821.5462377352,7481475.042255444,0.346399504061573,0.4675785552796651,0.18602194065876201
needs Xing,44783.41926401803,6937196.845840512,0.42253076404821654,0.011166656019166898,0.5663025799326167
needs to be Xed,-420508.5972351555,6495596.626000306,0.569406536852476,0.022498069727637113,0.408095393419887
needs to be Xed,-398390.9728874031,6507550.883798935,0.515580604821728,0.016016508521264,0.46840288665700797
needs Xing,-318926.7788990235,7184214.978049844,0.41610732639910364,0.004167445095369341,0.579725228505527
needs to be Xed,-311776.939512404,7178981.980654017,0.5016498629589002,0.01762618719234198,0.4807239498487578
